,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,20121231,20111231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,4667101.67,4557805.88,4903251.86,4887704.21,4451521.29,4500307.37,3677704.71,3558670.02,3417190.22,2846334.69,2272301.45,2400568.12,2523322.49,2593734.33,2748137.42,1501886.29,1141612.49,369939.37,394918.42,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,852014.64,395902.30,400191.70,401850.10,520575.84,206770.56,311147.18,415523.80,523043.02,653546.08,838649.14,1024092.20,1210285.26,1402561.63,1805447.77,2661139.31,3459293.09,6211598.56,8732492.70,0.0
43,递延所得税资产,9255565.27,9255565.27,9943843.30,9943843.30,7956363.66,7506363.66,8155158.83,8128992.07,7983756.30,7132748.54,7537092.99,7705891.50,5933080.65,6028170.42,6524294.31,6839090.51,4138636.90,3599441.27,3087520.69,0.0
44,其他非流动资产,0,0,406128.00,406128.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,109538675.94,107023589.98,111544859.51,107360082.68,94271111.09,48645964.12,45457371.39,44993599.03,42821481.89,41949431.15,42322576.69,43370767.26,42225325.21,43373232.67,45586748.10,47827740.22,45495823.45,49784437.00,52823462.18,0.0
46,资产总计,1020597497.35,1015175121.74,1046222025.38,1044820120.17,998594570.96,974506230.67,948795545.48,962511681.61,930144514.70,889097343.70,875118418.43,593255361.94,556376782.49,512659985.38,538375356.60,507551241.67,419999585.46,389879608.53,344976103.43,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,
48,短期借款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000.00,0,0,0,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,129677007.02,132018331.76,167255269.62,169818848.49,147923252.56,134878349.29,127781724.84,149173499.82,0,109983043.87,0,103692114.71,0,90881937.77,0,0,0,0,0,0.0
51,应付票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,129677007.02,132018331.76,0,169818848.49,0,134878349.29,127781724.84,149173499.82,131380180.87,109983043.87,101540844.25,103692114.71,103318615.14,90881937.77,119127744.03,124421399.00,109941046.25,133872712.57,139249307.12,0.0
53,预收款项,30349804.11,30208101.80,33795200.70,33509487.48,26902237.91,32067593.66,28693446.24,28750049.98,20912572.47,31728334.74,33388647.21,27817818.09,15177223.84,13057138.55,12567898.55,12624675.58,18598026.57,3777516.67,2594387.60,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,27984779.18,26178905.71,26291228.01,26102604.20,27686069.45,25081092.77,23285765.79,21917670.71,25720744.99,22233800.30,20413210.33,18707750.74,22504189.72,18978316.26,19575661.10,22572573.75,16920597.05,9271080.49,12585436.11,0.0
56,应交税费,-1330678.30,2658531.08,4170657.79,11042257.82,-1281656.77,3405574.69,4832291.96,8699908.71,8551524.93,2209271.25,3950934.92,13579213.36,4772842.41,4042571.23,13046955.09,17740966.49,13476349.92,25343710.29,21680551.59,0.0
57,其他应付款(合计),29031835.74,30731851.72,26636884.57,18136421.95,33688921.95,26662957.20,21485641.86,14193048.80,0,15067291.45,0,9037993.93,0,9749536.32,0,0,0,0,0,0.0
58,应付利息,0,0,15329.28,15329.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.00,11900000.00,27300000.00,0.0
60,其他应付款,0,30731851.72,0,18121092.67,33688921.95,26662957.20,21485641.86,14193048.80,22239514.65,15067291.45,18837686.48,9037993.93,12320452.96,9749536.32,11544262.98,12847627.55,9267983.28,4721449.85,5180482.96,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
