,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,561483738.00,455682968.00,632057440.00,602601689.00,409557031.00,461017225.00,644603434.00,280886334.00,118475267.00,138361103.00,104047335.00,94317290.00,195844913.00,108348005.00,125935443.00,306059863.00,343351489.00,275243946.00,179610363.00,428883191.00,323182953.00,262937680.00,412531650.00,406882790.00,454620089.00,327571988.00,445236405.00,420065506.00,379788680.00,401478011.00,526891707.00,486998782.00,455106770.00,580256806.00,549434418.00,566110337.00,437270019.00,425395152.00,430978403.00,183173834.00,192369371.00,167258132.00,101543488.00,168087328.00,130137359.00,78073591.00,160270415.00,106445621.00,78436998.00,55386290.24,99775611.53,146260355.00,71923106.00,91668073.00,152944060.00,167218462.00,176003894.00,191875270.00,252726640.00,104301660.00,116666375.00,94977104.00,0.0
3,交易性金融资产,204134045.00,196000000.00,135700000.00,34730320.00,52879.00,0,0.00,5091324.00,861324.00,0,0,0,0,0.00,0,1581600.00,353800.00,0.00,2570137.00,0,137412.00,3557061.00,0.00,2003000.00,2854800.00,6447800.00,8144200.00,6950324.00,5431588.00,0,0,10532423.00,11819156.00,12793389.00,10413767.00,13594054.00,20035236.00,6534580.00,750510.00,0,329800.00,19800.00,21400.00,0,340350.00,0,638934.00,2110400.00,1742964.00,0,86760.00,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,2016677.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1214174252.00,1458154439.00,1000893179.00,796869851.00,1025538474.00,1117792219.00,707727159.00,908552431.00,1238124278.00,0,729064089.00,0,934015361.00,0,472212418.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,4025960.00,0.00,1428650.00,4533118.00,0.00,5497953.00,4728321.00,6374698.00,3730300.00,6652281.00,7947415.00,8635480.00,9878535.00,10522086.00,8707408.00,6343600.00,3529243.00,5964884.00,4718519.00,3069861.00,624512.00,369116.00,1392893.00,1926116.00,650000.00,759066.00,898314.00,749865.00,959037.00,213705.00,82361.00,3478459.00,5141675.00,1838556.00,5579426.00,5130000.00,4199436.00,1060440.00,1969300.00,6168355.00,4704562.00,2659000.00,80000.00,80000.00,3558458.00,800000.00,1150000.00,0,764938.00,247120.00,0,0,0,0,0,0,0,0,0,0,2218592.00,0,0.0
7,应收账款,1210148292.00,1458154439.00,999464529.00,792336733.00,1025538474.00,1112294266.00,702998838.00,902177733.00,1234393978.00,1126104180.00,721116674.00,722898453.00,924136826.00,784931069.00,463505010.00,391465009.00,681536897.00,669070192.00,463881145.00,463748441.00,567820442.00,539271884.00,424248438.00,425746543.00,575068412.00,583400651.00,405305473.00,411538719.00,500100189.00,438307571.00,383836700.00,542398456.00,618351892.00,579934909.00,601864729.00,523346269.00,589842821.00,581267555.00,378955694.00,320488635.00,329564395.00,339493621.00,280228420.00,240363659.00,320002242.00,345705799.00,267037757.00,214295459.00,321137183.00,294994398.37,232833623.06,306660322.00,331373896.00,233708249.00,230585158.00,225804076.00,202647002.00,149001343.00,145013118.00,121119429.00,85632220.00,98018113.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
