,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,42026852335.76,55184958872.05,47480726321.22,47281783657.02,37907279923.65,42588738104.77,48003177041.98,68104884888.26,48357836262.59,61056544237.90,48705456796.56,45503088103.30,40731013451.39,39792330790.91,38489360469.62,36801674322.00,30711965219.20,25237664671.72,19711973089.84,16193922419.66,16129540797.51,17723399681.27,11191633008.38,9943755630.76,10026948380.13,8738323053.57,6885939735.48,5556479361.60,3818033882.92,2748741267.34,3387757194.65,3574279930.71,3474193246.34,56071364.03,47264107.73,58981425.12,51389991.57,69186185.32,62481118.06,83825905.44,38400113.28,23002218.10,39445406.16,40118447.14,46838800.00,52828773.48,36711556.59,56138678.61,57976045.07,68234655.32,45869037.62,80914857.40,92292482.59,100263377.75,146017169.34,173886544.30,198685856.31,208182744.70,225158183.86,218350457.26,177231583.52,241037569.34,301229973.59,302286507.64,25231020.58,8718865.01,10587711.33,3294460.42,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581683.16,0,1525302.81,1626370.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12789400.00,13000000.00,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,38768916345.82,39833615833.24,38478979993.44,34437662054.65,31462931412.04,28145407994.72,24318286958.66,18910317711.12,0,17777937722.30,0,9500835321.78,0,12919549338.35,0,0,0,0,0,0,0,3685732604.34,0,1744285741.59,0,0,0,1412117303.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,40000.00,70000.00,0,60000.00,0,0,1892000.00,1892000.00,0,0,0,0,3970000.00,0,0,0,0,0,1100000.00,1100000.00,0,0,0,0,0,5654187.97,500000.00,1405000.00,3250820.30,1641236.73,50000.00,820000.00,0,320000.00,0,0,1913602.20,3420000.00,340000.00,970000.00,1310786.50,1466135.90,1665643.00,1960073.86,836600.00,5296537.90,1137470.00,685222.00,2511333.00,4192500.00,1185155.71,1043122.01,1614000.00,6459246.00,1400000.00,1060460.00,874611.40,2000000.00,0,0,0.0
7,应收账款,38768916345.82,39833615833.24,38478979993.44,34437662054.65,31462931412.04,28145407994.72,24318286958.66,18910317711.12,17099072641.12,17777867722.30,13246948404.83,9500775321.78,12466974203.11,12919549338.35,10326786555.76,7177477339.32,7814526666.74,8680395647.73,6636245246.17,5137478783.26,4824178675.73,3685732604.34,2071976626.08,1744285741.59,1646309353.96,1955870006.54,1788751778.24,1411017303.86,1198581536.43,1075637501.77,802414601.15,305516919.51,795359884.62,35610421.67,27397613.02,28103452.31,25642417.62,21202758.23,14494136.82,18879242.62,25085978.97,32394829.60,26656317.52,38879628.65,35180919.41,47857568.26,40489362.82,46664410.16,65803550.38,71085636.32,56048090.18,65304383.82,69282652.96,76313203.04,78229770.05,101828758.76,92870342.25,92462563.87,82928437.83,89401107.66,87534353.78,81917499.29,66028850.13,78040356.81,74121117.40,74066067.31,51256585.52,28470698.58,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
