,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,556327820.37,493219297.58,444735907.17,392641365.93,591041479.28,410871700.43,420695941.07,300172577.42,411940011.44,333547485.33,249725599.98,236418718.04,320064190.84,261713234.96,376294513.57,501963721.44,402667889.66,432609789.60,378707360.20,390651190.56,401377720.82,380117930.64,679782393.41,633832698.37,241799828.02,197457547.47,227289701.33,386246077.76,348602389.75,312921495.17,311534386.16,315805545.24,288875725.86,321899015.84,72898139.20,102408635.74,101065878.72,102314779.57,156585762.27,133534242.19,142168126.49,222822432.37,295269782.89,349091813.57,266930490.51,227614100.51,260935282.09,301447356.86,272173235.58,228735411.52,280249382.36,210885878.90,176368688.20,106587777.77,120648631.37,105551166.71,103764124.88,67972561.95,91699111.26,118228290.68,105334476.96,77657953.81,101880899.86,42637656.84,21976241.63,15051133.34,4289320.14,0.0
3,交易性金融资产,2118215842.47,1948403109.59,1975000000.00,1920000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50700.00,0,0.00,0,73615.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,438691396.34,408642653.70,534872345.29,534295361.78,564810743.73,518729288.47,580702147.01,537346631.98,477622419.29,453131790.29,0,362697131.48,0,372043877.17,0,355333545.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,49459931.39,72358648.06,76316300.27,88891625.55,80424146.00,77825502.14,77714339.07,86956165.17,78312154.28,42953955.76,63919540.58,65247210.07,53909571.92,54667656.36,72750153.83,48263265.27,37183906.36,26711532.66,33178718.68,26001620.91,15883828.12,20617580.67,18903727.36,26382509.02,17894687.75,19273039.19,7222873.18,20229778.57,16966280.28,22375332.51,13618350.22,11731831.90,14641600.96,5328530.30,9119687.61,13099875.10,8225471.28,6589805.49,6830070.20,12501029.41,4986708.00,5077033.69,5752031.34,7283246.10,1776543.00,11967773.00,1492473.14,10375440.33,15533840.18,3786241.02,12808573.45,3624159.26,5696141.00,12550481.50,2065650.46,5546915.00,2657841.00,4045989.00,2177482.50,5196431.10,5501474.33,0,0,10000.00,500100.00,0.0
7,应收账款,438691396.34,408642653.70,485412413.90,461936713.72,488494443.46,429837662.92,500278001.01,459521129.84,399908080.22,366175625.12,340337275.69,319743175.72,299646384.61,306796667.10,300401534.01,300665889.50,262905758.45,276915038.22,199784629.68,217464102.94,188517270.22,181805048.70,178806229.54,180724535.37,152796128.13,146837541.28,145842243.95,127683263.31,114241236.46,101123551.89,98661997.38,107415435.24,90378308.63,70780460.00,73595756.20,100357105.43,94735594.62,77295126.95,90920653.62,89736888.24,82600997.23,71974230.43,85217507.95,77257506.17,79963876.42,71702039.83,70607504.53,77010794.12,71627699.39,68903126.58,64544142.83,63349345.37,50060183.82,43351661.11,46666126.91,41947557.74,43601517.79,30844774.33,27149014.56,48887509.07,53712981.41,47682178.92,38588123.46,40929062.62,41278451.37,27815719.99,31109767.92,0.0
8,应收款项融资,34162953.63,70481689.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,49065830.96,16145023.01,28489359.74,21595732.87,17034282.24,14382432.46,25100074.51,23820943.75,32221790.10,29764974.72,34260133.83,33400577.61,21281807.38,14962006.25,22243078.31,16283785.84,19326901.65,13225836.67,3301416.52,8793968.85,7199566.45,5325722.04,10453601.68,22338889.36,20552696.77,11507199.66,29068498.86,38423660.72,32162305.88,14424405.92,18220969.01,12746739.24,42262101.28,23531579.16,132777728.00,130771986.35,129476618.94,132053930.00,79580716.87,69985811.07,26675067.47,20593454.76,27956610.94,24029783.56,20709997.90,17532206.86,36076136.05,39624090.67,43834354.10,51238397.06,43720377.68,36778374.52,32461080.75,23996496.74,45776438.37,54371914.13,54512048.96,67123671.00,51350636.69,33150393.82,43634933.07,58432872.05,42310944.28,28786364.51,40420228.94,23144443.11,13877338.36,0.0
