,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,0,0,12704128.07,12633794.45,24693234.54,21015815.62,20269206.72,14745145.96,129987139.68,25278781.40,22157921.93,30797339.58,35881120.04,43654195.61,31346960.54,30051980.20,14102375.23,27790806.36,44974546.14,41943211.37,46171529.67,237456209.51,237093341.07,163320679.80,95156098.81,72895725.48,62171959.00,93908222.87,71411766.07,105936224.83,176279427.67,242174941.91,214803889.99,117434588.73,130686289.51,105588767.40,140967663.77,85621501.61,133561527.20,129045671.29,168139063.28,135625251.26,108068848.67,129984532.09,121754751.06,94221065.90,80694727.57,54549525.02,55859585.18,79198413.70,58100707.24,53983979.27,53016989.73,93099937.09,87089153.12,67417759.14,72750990.18,75065284.22,75375793.98,110148407.99,93289127.66,42807422.44,40776571.92,39777866.07,29040981.58,51138784.16,54149864.83,65814495.23,42746296.73,38611553.34,35969915.80,33536943.51,30602553.22,22554370.41,25762622.83,16632381.28,4940862.88,13219268.95,4816040.24,3457904.40,2129116.40,0,3375323.88,3126765.46,0,0,0.0
10,其他应收款(合计),3449808039.36,10702123664.83,10693464108.26,11936227616.10,10483547658.08,14466441377.85,10907127520.25,10840165577.69,9003155901.33,7089999109.94,7140267012.13,8929388139.55,7622874686.29,7290861860.33,5972743721.48,5337825345.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,2133408183.59,2426527942.85,3276030222.94,3462939726.98,2851182518.87,0,2236635743.73,2046666807.26,1680094492.75,1312405960.24,959981309.52,886849823.09,956061374.02,1167601937.14,911976578.20,852378511.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,1316399855.77,0,7417433885.32,0,7632365139.21,14466441377.85,8670491776.52,8793498770.43,7323061408.58,5777593149.70,6180285702.61,8042538316.46,6666813312.27,6123259923.19,5060767143.28,4485446834.06,8878208.78,24237019.05,15274292.93,60977842.65,53461995.08,73692396.51,62476190.32,62896322.68,8051741.24,16914559.20,12128982.29,100066085.63,98671958.01,14300099.10,15829429.35,49415699.93,45450351.69,61993995.35,64360370.43,40375120.26,33567505.77,35559566.39,35275110.32,34460573.74,29147614.51,32382609.10,37620983.84,27706169.08,26909443.01,38794685.77,51047943.84,62447928.21,65095296.98,103091499.48,91470215.10,71181090.39,93833429.85,80430534.82,106697584.19,146682734.36,146568553.44,130950100.90,132131376.54,119393492.55,130942519.88,167836005.30,165798204.77,176980677.85,169250687.89,179138353.71,182506109.00,152021119.44,156394148.41,139610556.08,130723086.81,118926217.73,105727358.54,131041971.80,116643383.09,70044048.61,65475529.49,61756440.48,57259872.53,37905048.47,13747895.92,0,15035603.06,18786736.90,0,0,0.0
14,买入返售金融资产,700080000.00,299578000.00,54000000.00,1485724000.00,0,0,0,0,0,0,0,0,0,0,0,8640700000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,3671561518.77,3654686141.03,1500975798.38,1450099420.27,3820492279.08,2458990009.77,2443499654.00,602668141.26,569383412.60,638585903.98,491590698.78,454070511.56,438532189.02,434062864.97,415248064.71,394973460.96,136120866.31,136764451.34,144300662.41,137173189.84,140378715.52,192607193.51,203589999.17,195550807.73,133875351.00,142514329.30,152092904.12,156372532.36,134399921.33,146661582.47,137910458.16,181353069.26,150232941.89,171671789.56,163234941.17,192997092.74,194231854.87,241874882.74,290528633.05,274383636.14,273917647.69,295829807.54,292414001.73,264949508.34,259192691.54,274736754.32,223851076.13,190825303.32,200444761.44,167990020.96,168849254.82,165909637.33,156074553.91,155248067.68,143166303.48,138354998.81,135040771.94,119629269.41,123145158.35,121695057.72,128615900.68,95322609.55,98691315.84,130874775.69,125760745.54,139666336.08,149427354.48,155934765.82,129836331.84,106566588.25,95085030.96,105196497.35,90675196.82,92580583.09,70606398.16,65905810.36,75640416.46,63735765.42,66737523.32,20903742.97,16100357.81,0,29991687.02,18422998.67,0,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000.00,0,110000.00,110000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489362.50,1947894.75,3120406.78,651389.21,344299.97,1704345.07,194925.70,204771.73,319652.05,2826116.97,1273768.87,705338.07,673749.78,4530721.51,1733742.34,2163490.73,2186093.41,4396545.67,3403966.22,1693955.77,3196159.89,5172796.74,1972946.10,2522517.47,3806983.39,2625228.46,2307190.82,3105823.25,1761874.89,0,1630919.60,251011.14,0,0,0.0
