,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,23286013.16,34040133.17,43145844.05,40069887.27,28748495.86,137998439.93,155897731.35,256040593.28,249371846.07,235944859.21,310156825.88,350219872.10,258533000.65,309961614.27,303773090.13,354333605.37,299290720.22,330448070.24,346341310.95,315838989.93,268416755.99,279166233.40,288145456.66,452276599.38,388439576.81,398446912.11,330533983.91,257203744.15,175723647.70,258530055.63,346228396.97,392899840.00,338313999.16,290462457.04,308445387.70,505128405.17,454493700.91,504772938.00,428743135.10,365794319.93,417979085.90,433979077.99,569518407.63,381969069.58,291903578.38,270167732.64,213899914.08,168829303.69,91305391.54,161946116.36,147425545.23,127378234.97,121992699.79,52289144.52,56269606.49,59450258.85,91021070.95,36253070.29,40585601.41,42314345.45,37719190.89,23771191.99,16453920.56,12998468.56,10183368.58,22413806.03,13040431.70,16832894.50,23388094.54,15105149.17,10041183.71,12047869.63,14923781.65,35155103.02,45182077.27,40599531.74,41414812.04,23073492.25,21399602.50,23197.00,3419224.30,0,0,0,731981.23,0.0
10,其他应收款(合计),7834651.47,13763297.06,16518808.46,10880970.82,12852261.94,16660692.65,25789373.21,30737790.87,20270783.64,0,36343204.66,0,34053680.62,0,48694696.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,55410.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484063.41,484063.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,7834651.47,0,16518808.46,0,12852261.94,16660692.65,25733963.21,30737790.87,20270783.64,34905006.12,36343204.66,45917124.18,34053680.62,52160226.98,48694696.80,48055276.45,30565562.25,33678057.55,37087509.63,37946758.66,36369987.60,56867584.47,59465240.28,49366789.52,44734353.42,109645085.99,59899551.72,103023815.17,97539308.57,127452402.04,115387229.58,70049334.49,142583098.18,138670615.01,131798109.66,69462666.52,60036103.60,104058670.05,115574650.67,177958027.37,103808459.63,112727381.89,85781146.99,129578980.17,90564352.68,94578958.60,127172687.62,66515721.16,10269911.35,65961399.06,48745494.80,44019499.42,37535850.27,133919946.92,128260149.60,84410880.85,55335893.72,82835227.33,93448560.57,59772377.21,40739150.19,75472479.62,61352943.77,72294023.84,47421151.15,33731295.65,43617314.64,59267131.17,40990832.27,60800272.79,44796637.60,59970690.81,17937876.57,36871562.22,29463635.22,24156503.28,46730002.70,46951042.38,34161138.31,31451136.56,41753736.35,0,17656513.90,26975813.62,6103035.56,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,486927290.67,426860088.91,436752658.58,536764384.53,487637557.55,512884490.15,560380821.99,693939517.67,596416727.45,505642487.41,561127124.94,644063161.33,670227166.39,597595340.04,616772013.23,677208021.17,663464822.76,642289630.01,820110667.74,1045852042.64,758670796.36,789360479.86,861230975.64,1013642733.37,787570721.12,577797594.60,740877863.33,837400704.89,711932906.05,598642818.04,699682939.18,865712122.56,693808854.74,582589335.57,572096696.82,514484325.28,391564916.66,302456324.04,323718580.75,323720018.94,279923478.39,257672024.99,263414927.89,321852356.25,332187014.88,301111744.43,275329730.49,304585080.30,260586512.17,202780254.27,227454587.90,229104649.41,193263996.98,185879079.57,189511369.49,207846005.14,174887489.00,152772289.11,142504543.11,159437900.99,143014208.72,107095038.19,113753591.32,135733448.42,127477007.14,134145294.88,107679751.05,97595599.22,84995158.37,56896994.46,67703623.82,72280202.15,51527500.86,52307852.57,60203116.67,60591221.43,66858441.81,85346668.48,84710823.81,112531994.21,86036315.41,0,58899429.94,34096244.02,29182772.87,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162700.00,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023149.49,3269990.18,7560789.96,9669393.18,4274470.03,2779272.63,762355.00,1976252.37,1645259.32,2757892.81,2798032.25,3995063.67,1188519.58,1661615.85,764449.42,806713.78,723794.13,2432929.97,2955635.92,1755240.36,57904.38,552867.46,378981.60,387340.67,1315978.76,658810.00,288140.00,2484375.62,3002100.69,0,3523071.97,1962764.97,951948.36,0.0
