,报表日期,20190930,20190630,20181231,20180630,20171231,20170630,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,
2,货币资金,749901863.26,839069343.42,309351754.54,275846677.36,231914456.89,175530083.72,136755402.66,95451901.23,87139389.63,0.0
3,交易性金融资产,0,0,0,0.00,0.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0.00,0.00,0,0,0,0,0.0
5,应收票据及应收账款,238911358.25,254168676.97,303389759.22,391489699.03,349857279.36,0,312400569.65,0,0,0.0
6,应收票据,128756708.60,132619228.13,117759335.56,0,145273084.86,161630441.21,123069354.26,99295070.90,146640087.97,0.0
7,应收账款,110154649.65,121549448.84,185630423.66,0,204584194.50,199866746.17,189331215.39,159726359.99,151359514.96,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,32392264.38,14516374.22,17433980.27,14328955.24,25613529.83,23157392.98,33418008.75,21870749.23,37962393.69,0.0
10,其他应收款(合计),3549751.55,2222638.89,2643262.16,3769603.98,3849317.40,0,1601723.82,0,0,0.0
11,应收利息,0,0,0,0,0,0,0.00,0,0,0.0
12,应收股利,0,0,0,0,0,0,0.00,312759.75,0.00,0.0
13,其他应收款,0,2222638.89,0,3769603.98,3849317.40,1535346.09,1601723.82,741936.73,4721409.01,0.0
14,买入返售金融资产,0,0,0,0,0,0,0.00,0,0,0.0
15,存货,217041682.96,223790954.35,256498146.25,241443931.56,227151250.57,214442320.51,182751730.51,162263984.32,161899601.22,0.0
16,划分为持有待售的资产,0,0,0,0.00,0.00,0,0.00,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0.00,0.00,0,0.00,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,7375341.89,9902077.69,13495267.21,15716596.74,16400383.52,21347611.41,17880587.38,51992484.04,32031306.89,0.0
21,流动资产合计,1249172262.29,1343670065.54,902812169.65,942595463.91,854786217.57,797509942.09,684808022.77,591655246.19,621753703.37,0.0
22,非流动资产,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0.00,0,0,0.0
24,可供出售金融资产,0,0,0,0.00,0.00,0,0.00,0,0,0.0
25,持有至到期投资,0,0,0,0.00,0.00,0,0.00,0,0,0.0
26,长期应收款,0,0,0,0.00,0.00,0,0.00,0,0,0.0
27,长期股权投资,958805.29,966996.16,983670.71,970191.12,994347.66,985901.43,1005426.12,1002769.54,2512549.56,0.0
28,投资性房地产,0,0,0,0.00,0.00,0,0.00,0,0,0.0
29,在建工程(合计),85839307.66,64285417.64,43011758.87,90449245.33,68550677.38,0,69092316.30,0,0,0.0
30,在建工程,0,38716447.78,20324902.15,90449245.33,50386877.20,29897199.05,45023961.05,35126553.68,8165553.31,0.0
