,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19891231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,现金及存放中央银行款项,283706000000.00,252230000000.00,239471000000.00,269794000000.00,246856000000.00,278528000000.00,287648000000.00,307400000000.00,281949000000.00,310212000000.00,279706000000.00,289977000000.00,269541000000.00,311258000000.00,303936000000.00,278178000000.00,296144000000.00,291715000000.00,297223000000.00,298618000000.00,266705000000.00,306298000000.00,277325000000.00,259604000000.00,258110000000.00,229924000000.00,256845000000.00,236166000000.00,212952000000.00,219347000000.00,182474068000.00,180414435000.00,171898949000.00,160635236000.00,136993533000.00,95491599000.00,79335482000.00,76586858000.00,66631494000.00,61505223000.00,56488499000.00,54243952000.00,45429179000.00,42228168000.00,39545282000.00,39767901000.00,45982794000.00,47903586000.00,48588082000.00,40726387000.00,32224219000.00,27491307000.00,23652724920.00,26288176000.00,19626796004.00,17780422959.00,16393786002.00,21759697445.00,15050087635.00,16653354395.00,18620858865.00,19107287720.00,16439387321.00,19112716170.00,13983440786.00,18251867553.00,15692342206.00,9625566355.00,9921978228.00,16331140883.00,11811750731.00,7974372109.00,6543304851.00,20996645479.00,11699980188.00,20996645479.00,10445810248.00,6852419883.00,8393075363.00,4164685301.90,6102149919.02,3812543409.58,4798571748.49,4693041444.44,5773042853.72,3392828333.30,2995280932.13,325498952.39,2415344283.97,139552669.01,1358785418.86,63204110.61,33100000.00,804200000.00,382760000.00,0.0
3,存放同业款项,79303000000.00,85684000000.00,107528000000.00,97580000000.00,69911000000.00,85098000000.00,95314000000.00,99752000000.00,106100000000.00,130208000000.00,167090000000.00,172323000000.00,173066000000.00,166882000000.00,123078000000.00,158130000000.00,180871000000.00,109046000000.00,107963000000.00,63144000000.00,67568000000.00,66969000000.00,100035000000.00,95690000000.00,85821000000.00,71914000000.00,60849000000.00,59910000000.00,75075000000.00,94295000000.00,70359847000.00,106987239000.00,85888422000.00,39884342000.00,27071033000.00,19052801000.00,15185949000.00,8523729000.00,9861586000.00,8844875000.00,11242958000.00,15592536000.00,17814178000.00,20812896000.00,32810795000.00,21500809000.00,4526435000.00,5876983000.00,3226310000.00,4013690000.00,4020796000.00,4592325000.00,2125555996.00,3081003000.00,3537739251.00,3931163771.00,6219392299.00,6579429957.00,19331284438.00,15107170591.00,3730014986.00,5157821187.00,4966514296.00,5051265436.00,5050028368.00,8221749607.00,8827781897.00,12086183114.00,2537891634.00,10318985776.00,14053517520.00,3388461052.00,1159025908.00,4119665048.00,4023732449.00,4084884480.00,3653368803.00,893918242.00,1077371874.00,1018428647.86,1168664366.93,1114262513.97,1241193475.78,1423026249.49,2326520150.64,1905858573.30,936379955.85,0,443970081.37,0,164944688.69,0,0,0,0,0.0
4,拆出资金,48701000000.00,79369000000.00,85584000000.00,82884000000.00,100231000000.00,72934000000.00,88096000000.00,81997000000.00,77644000000.00,59015000000.00,79892000000.00,64518000000.00,69009000000.00,97450000000.00,50172000000.00,67070000000.00,87212000000.00,76636000000.00,104189000000.00,69267000000.00,46360000000.00,45841000000.00,48567000000.00,44582000000.00,47292000000.00,27241000000.00,22833000000.00,36031000000.00,51658000000.00,65426000000.00,17401541000.00,26319620000.00,18451946000.00,8446567000.00,8035012000.00,8877563000.00,7141762000.00,8475988000.00,7810415000.00,5318759000.00,5015728000.00,5361139000.00,8416666000.00,7998342000.00,9836695000.00,9236676000.00,5879022000.00,9726142000.00,5567810000.00,2642656000.00,4815723000.00,2733519000.00,7173419087.00,3369176000.00,4747360012.00,5107769013.00,6362069595.00,3284950887.00,3302210174.00,3291484925.00,3142435921.00,2691452378.00,4381848083.00,3450876083.00,4028269740.00,2148352458.00,2307645387.00,2538973075.00,4412803933.00,4729542871.00,5509267116.00,6138850527.00,6610224497.00,4493848241.00,6409627977.00,4350699741.00,4399484514.00,1984509789.00,1706783730.00,1461820342.59,1818133275.45,1415756170.49,1995047317.91,2341834903.17,2339935711.66,1494869814.76,1407151333.17,0,1064068058.56,0,868337444.88,0,0,0,0,0.0
5,贵金属,47719000000.00,51191000000.00,49796000000.00,65624000000.00,54173000000.00,56835000000.00,72022000000.00,69194000000.00,74793000000.00,87501000000.00,89534000000.00,94644000000.00,108137000000.00,93787000000.00,101482000000.00,92173000000.00,69349000000.00,63744000000.00,62657000000.00,56914000000.00,54639000000.00,45254000000.00,41473000000.00,40898000000.00,34258000000.00,21286000000.00,8396000000.00,3219000000.00,4986000000.00,2431000000.00,0,0,0,0,0,2000.00,2000.00,2000.00,786000.00,2227000.00,2946000.00,3302000.00,4694000.00,5342000.00,7080000.00,9225000.00,21964000.00,44830000.00,63674000.00,8200000.00,2501000.00,21851000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,交易性金融资产,263007000000.00,206682000000.00,179084000000.00,154602000000.00,163945000000.00,148768000000.00,103460000000.00,104893000000.00,76845000000.00,39575000000.00,41327000000.00,49083000000.00,44044000000.00,57179000000.00,15984000000.00,41148000000.00,37060000000.00,19757000000.00,17597000000.00,37246000000.00,40790000000.00,25811000000.00,14808000000.00,25217000000.00,25165000000.00,10421000000.00,14371000000.00,21654000000.00,7653000000.00,4238000000.00,6925435000.00,5459603000.00,3313771000.00,2607902000.00,16545462000.00,1157750000.00,2020150000.00,0,554058000.00,543137000.00,1352405000.00,1132048000.00,1408176000.00,1785393000.00,1363916000.00,41441000.00,1403646000.00,1596643000.00,1443787000.00,1477625000.00,1547134000.00,1873281000.00,2171288450.00,427358000.00,536379910.00,889094093.00,19720481332.00,847592044.00,6597234486.00,6376398162.00,8613411318.00,959606349.00,5155903789.00,4084190345.00,5000014810.00,739965450.00,1955976296.00,2207302903.00,864102144.00,1728718566.00,964333210.00,104949028.00,346636367.00,79088000.00,59304000.00,79088000.00,29677860.00,29670180.00,118261380.00,22788878.23,0,0,0,0,71406121.61,9542466.57,11044717.46,14663436.23,19383436.23,13191227.91,3617127.91,0,0,0,0,0.0
7,衍生金融工具资产,40439000000.00,18500000000.00,23713000000.00,17916000000.00,19850000000.00,21460000000.00,25650000000.00,21574000000.00,19395000000.00,16080000000.00,6275000000.00,5882000000.00,4188000000.00,8730000000.00,5832000000.00,11603000000.00,7676000000.00,8144000000.00,5471000000.00,5090000000.00,5758000000.00,4300000000.00,4904000000.00,2740000000.00,3675000000.00,3397000000.00,1358000000.00,1060000000.00,913000000.00,967000000.00,691295000.00,802983000.00,507868000.00,810577000.00,622094000.00,451537000.00,464637000.00,371734000.00,320302000.00,201606000.00,110577000.00,99996000.00,173611000.00,162354000.00,200250000.00,290751000.00,195456000.00,279010000.00,374149000.00,291816000.00,159325000.00,92532000.00,40102003.00,22763000.00,1525393.00,743385.00,0,5730440.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8,买入返售金融资产,54472000000.00,62216000000.00,28198000000.00,15642000000.00,44335000000.00,36985000000.00,32764000000.00,73704000000.00,92297000000.00,41934000000.00,19136000000.00,1498000000.00,810000000.00,8876000000.00,37655000000.00,52162000000.00,34045000000.00,117291000000.00,254285000000.00,306869000000.00,183048000000.00,178636000000.00,203975000000.00,290688000000.00,347114000000.00,271692000000.00,247154000000.00,303984000000.00,345983000000.00,186473000000.00,133653945000.00,117195402000.00,39572213000.00,34303887000.00,71940734000.00,110133052000.00,136932597000.00,98263433000.00,73615299000.00,54961502000.00,57209126000.00,40923396000.00,36026915000.00,37957939000.00,32474987000.00,34733353000.00,43906829000.00,59190949000.00,63748019000.00,33768925000.00,39226885000.00,33021597000.00,22231482198.00,11271768000.00,5964482295.00,7399699393.00,1111722138.00,8665334291.00,7364273033.00,6685749479.00,13732170673.00,11631472961.00,6737982619.00,4743362919.00,5346129610.00,7594274132.00,2616329610.00,4382022138.00,6188022138.00,405022138.00,1168171065.00,5070022138.00,1889266604.00,6401022138.00,2823022138.00,6387266604.00,1419418138.00,63022138.00,167992138.00,72845471.33,72845471.33,77992138.00,78500000.00,88500000.00,202450000.00,231400000.00,246400000.00,0,397000000.00,0,0,0,0,0,0,0.0
