,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,6877654970.05,3395757472.31,3527820378.10,4841058243.20,9396715596.15,6868515314.53,4612031889.30,3801061694.75,2891744403.39,1471865550.16,1115039651.86,1923148683.29,3315872619.92,1657851557.04,340702627.32,454955452.27,905178581.40,620470614.37,458881956.82,547752522.37,608157022.60,680122111.58,482192735.50,394466126.97,456720040.77,390795699.07,514175073.22,613832971.87,620108950.78,686803473.38,1031600168.11,1298236005.91,1416626869.48,2624597958.07,2323487223.18,2821997106.18,3363694780.06,2430685698.29,2723860762.07,2887257061.87,2689872546.12,2847529458.61,1991284957.81,2090985885.12,2844192249.39,3974928349.12,4800776133.67,4013832523.80,3788318112.95,3841952949.77,5079029291.14,6152252359.73,5546392272.81,5614244348.67,5332548049.84,4902520454.72,4096696214.68,4287499032.76,4716564126.11,4230831800.50,4486937645.31,4289917900.02,4182894168.66,4003444381.49,2113267651.20,2237891472.23,0,1314814921.39,1238482233.15,923128338.20,0,1208957864.18,1016107042.83,308282401.99,684544173.00,841085924.67,126859754.59,98602522.66,73888042.59,51518339.62,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15190000.00,12985000.00,11613000.00,12691000.00,13083000.00,12593000.00,16317000.00,17689000.00,16513000.00,17297000.00,17885000.00,18277000.00,21511000.00,16222500.00,18144000.00,17088000.00,17344000.00,16259119.00,25539119.00,26712000.00,149421576.24,195302663.00,176596712.00,108673891.00,156935340.00,432430.00,0,0,2428145.00,0,44796125.00,27043464.34,26067409.95,26067409.95,30915612.62,30915612.62,28070593.78,21176642.67,12707529.46,12707529.46,16354265.42,16652045.42,34879102.50,34879102.50,34879102.50,34879102.50,0,34428322.50,35442577.50,35442577.50,0,36019652.50,51866320.81,564765977.41,736569527.50,700000000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,7720063477.90,10593152436.50,6270984428.45,8747485204.57,5641660202.88,8972585600.59,8417818687.35,8265065379.70,0,9207952057.62,0,4064271919.75,0,2957512801.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,6750416728.75,9600896149.48,5279328023.25,7877333769.65,4571393244.38,7615323856.46,7239203136.20,6944193104.44,7032093659.17,8200094473.85,5692688187.52,3088010863.83,2522801414.90,1812913926.49,258966796.26,84160722.78,196734469.84,369285953.62,336946874.68,376839486.67,725155614.11,262650777.62,339156173.44,36837706.00,416876227.87,427956750.70,441021478.81,625356955.32,1027743080.08,982538729.43,1092799111.27,919362282.21,898101570.44,178250987.78,668532935.45,794071911.91,1199107490.16,823197391.71,1063628447.44,898020900.47,1506743471.21,1352435783.63,1167628779.84,1155056076.76,331910716.83,21458430.23,25958655.70,679332312.98,978770304.04,656522033.14,144017463.43,21739953.55,93509447.53,262429598.66,399424278.39,724440695.11,626231341.93,555931323.31,761093698.71,1160970274.60,1469217544.53,1370855101.33,1062616241.39,613590350.24,349040897.09,64898944.06,0,263933244.36,243250000.00,242427729.44,0,40390000.00,4878196.10,3300000.00,53700000.00,11192000.00,106730000.00,111230000.00,236700000.00,44892000.00,0.0
7,应收账款,969646749.15,992256287.02,991656405.20,870151434.92,1070266958.50,1357261744.13,1178615551.15,1320872275.26,1186367908.78,1007857583.77,2025084692.77,976261055.92,1436453114.43,1144598875.42,472892630.02,413806540.33,678276915.03,732271348.40,772280816.32,681602981.18,705592989.03,783904394.98,808078220.00,148032335.83,126112892.19,121630531.13,147565749.51,115305850.89,218191383.46,323427918.46,397982168.48,354783225.09,365566240.71,485385969.56,385072527.44,366431470.70,584616343.89,756077927.59,603786409.92,509298688.34,773390803.40,748219284.84,731904921.84,801249799.22,620522394.80,831709852.21,882202898.15,1141403930.93,1390185303.87,1499401614.65,1403660616.74,1427631189.86,1394568649.50,1425114857.61,1286024558.11,1278335857.07,1172155090.00,1087293844.34,1445156327.83,1267814100.22,1082329393.32,1105601090.28,1176027216.30,1274985234.99,1299183125.17,1278866721.06,0,1709376605.61,1637341889.52,1644285327.50,0,1663190510.63,1897623861.03,1504722019.29,1438839113.14,1176907032.40,1085216754.32,996595792.26,913198233.43,933152567.18,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
