,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,712098001.37,430984752.13,950119089.71,450425340.15,400271822.49,301957617.43,198354610.83,239238768.72,213355721.23,309114873.56,202574337.23,294655681.44,257421207.89,240498889.18,277115382.30,234750151.77,325491250.41,224706199.32,195775484.60,360041285.12,263778849.65,333299684.85,482131313.11,675872994.42,477226302.37,432390277.52,475758905.65,655476604.52,345187519.69,378201202.34,845119728.80,630174202.65,534044343.95,809422730.26,83092046.85,63580150.46,74463091.47,48919249.05,88649983.98,189694085.93,186314358.35,88730263.62,100121957.50,94489640.58,121834891.17,184022270.35,136954573.94,68948058.00,63509325.27,53698282.97,44519502.46,67721541.01,65106685.69,27910713.74,18396867.57,15632649.00,26207841.01,31779405.12,53010753.81,83015561.35,65263831.94,22996516.28,26870959.61,53248220.63,42450010.70,18239499.07,25005209.70,26087988.19,16649073.96,21812386.81,21788068.91,32521807.37,68971650.82,8943726.26,6137325.79,49588569.67,57350447.91,25115674.72,27009524.87,38517318.30,52696819.59,0,18285713.38,8881181.20,5054172.85,8534998.18,0.0
3,交易性金融资产,0,30500000.00,30500000.00,30500000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676759.00,676759.00,632924.00,632924.00,822500.08,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,875781096.57,1907191376.55,1167792623.26,1405256805.68,1345872959.30,1057767884.72,1143833060.31,1131993476.98,1059217313.39,0,1249835049.57,0,1884893835.51,0,742444888.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,1026750138.50,433434541.83,439986038.82,597433935.92,302728925.80,424662868.18,470334033.46,343390290.81,366866504.92,700143223.15,938160913.59,553697403.39,342333883.12,278312760.77,406796664.51,543347483.95,457721406.92,556724532.11,696057771.74,750488175.83,411073027.74,1078491353.95,786508391.25,777278947.60,821658491.17,610008306.30,951440012.21,570988195.24,784822508.88,989156725.43,921058399.44,663848256.49,857894298.73,43072970.91,34982825.00,20731129.33,34047200.73,34700112.90,47131124.95,12620764.03,38689748.70,78159136.48,36303787.20,43479301.70,35584580.06,49013334.58,43860187.00,29902346.57,27009418.65,23491152.62,36416868.60,41249183.77,18522582.37,3087252.30,4020923.00,1842524.24,1750000.00,6428000.00,6323500.00,1000000.00,6234700.00,2917620.89,200000.00,2655225.00,6033370.00,3299930.60,1507299.78,4274000.00,2582200.00,4000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,875781096.57,880441238.05,734358081.43,965270766.86,748439023.38,755038958.92,719170192.13,661659443.52,715827022.58,608557297.26,549691826.42,769533405.43,1331196432.12,308774514.32,464132127.66,283423708.46,217986541.00,394291391.86,264938667.86,184870918.18,231623750.46,354735717.98,253160922.63,222136852.66,200812212.16,190682512.45,170925550.49,169587355.56,201554525.04,199244331.16,86600733.69,129906507.25,146940055.25,185965671.04,51546442.62,52517404.06,53728440.05,47617857.38,46786566.63,61557355.86,46959907.99,54053351.34,77833478.39,83863536.31,97142561.66,126122754.45,98382217.61,58663379.69,102911186.64,106976361.78,132696103.70,125965165.11,193300683.59,103920478.92,28389768.10,40862330.62,26428108.96,71701606.60,74993394.19,32724867.63,65722235.57,62105535.07,61873618.74,41018384.75,57619827.49,63024711.90,82006621.35,58368837.09,62384771.58,25466794.25,28431469.68,17644450.37,13921240.37,19854029.30,19483461.37,26173473.18,29829432.73,18742266.88,25722796.72,22408477.22,28456777.22,0,28486388.10,9294503.36,11774805.83,3821618.00,0.0
8,应收款项融资,813583035.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
