,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,6961937.48,17525732.97,19088351.10,15889306.49,10251274.41,27833047.21,20762566.18,15713286.23,12267031.23,26295551.50,19512517.18,23246237.84,11706570.23,28519635.72,12667376.70,12071134.16,8982738.97,24015089.82,17356599.86,14351736.69,5644639.94,29393648.09,35465548.52,33307935.48,7561123.32,27524066.79,22399467.62,24508631.56,5757103.39,13479115.34,11734440.63,18490479.11,7619568.87,12877243.73,7048041.73,8271646.08,6422168.74,20603703.73,14609503.80,18786926.97,4440596.74,44836965.22,20501560.75,22191797.20,4209308.48,38271317.45,47375893.63,31950037.50,11402460.72,33041019.65,61988091.42,11218856.17,3745825.11,20334117.20,45375463.47,63115963.54,46570444.50,23485661.13,41409416.04,24579190.27,20891692.00,72233186.37,69499232.99,52027294.18,12920311.55,20414605.73,20448818.93,15921151.32,812942.54,1827851.00,2741209.12,7564170.00,663907.75,0.0
10,其他应收款(合计),35720671.68,44844586.33,43135648.50,37781055.42,26288813.59,44329134.53,41755949.14,22819430.46,26177172.14,0,0,33616599.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396507.20,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,35720671.68,0,43135648.50,0,0,44329134.53,41755949.14,22819430.46,26177172.14,32176188.39,63504269.55,33616599.37,33109911.81,16362513.40,82084161.78,39562819.64,26021970.73,30172075.67,21919044.32,21576865.49,22968273.53,32852694.53,36306748.93,33219329.78,23523474.95,23938050.04,25173222.36,11788923.90,11206454.10,24101773.17,22368728.04,8444312.05,9445476.53,12865748.25,15150049.65,15678297.94,9268168.40,14226343.74,12923214.68,16329859.87,10473068.26,23974658.47,25193467.44,13600380.83,15806044.45,30389670.93,33374897.47,24599588.88,22343845.64,29275094.74,34272732.92,28039360.27,20062233.08,30235720.28,29578818.52,29553728.49,20434511.30,65496362.68,28185693.51,28282147.43,22580075.84,28567804.94,21083891.72,12312316.84,14506016.34,7990924.53,6903617.25,10511571.94,4012307.33,6154179.00,2795604.13,4149898.58,2772924.44,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,133225284.75,165827123.95,172530080.14,164848765.91,148791392.30,166670807.25,162068074.58,169137321.90,139275101.39,234208721.26,237835381.72,233529356.75,196794736.37,271698276.13,263068585.13,211066054.98,194647726.82,221838956.21,238139895.58,242165229.31,221927515.71,223560887.56,281809156.01,191238929.28,159064298.40,256632048.48,225786362.71,163220437.05,166821482.72,209216558.34,203083506.06,141363823.31,122800930.49,181244450.83,191535419.11,185637343.56,176542391.45,238839240.56,224440716.52,237793830.38,211838702.26,206236136.02,193713109.26,170108794.12,176440870.49,215171161.88,157789066.22,120923137.81,116902380.82,95286824.01,134627958.29,108061382.19,99611208.07,88589949.19,73317593.90,64553139.41,46147590.38,76388498.26,68440856.68,49462145.68,38251417.09,53886997.14,38936420.86,21035547.15,19886324.72,17203667.63,18149136.54,9940217.17,6952886.58,6282312.09,8543795.91,4959287.66,8884789.68,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182499.24,112731.66,67235.00,123348.95,118759.86,463766.58,397084.27,495388.77,134398.32,264053.32,165289.97,115593.27,148516.70,226046.68,320270.20,70437.15,116927.93,94316.75,143317.65,70904.00,90219.54,0.0
