,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1179253198.70,695097875.96,778151588.19,789613916.19,1130318828.20,745913430.79,928572854.55,827768211.36,1014675181.03,822307927.87,763051493.40,727514990.47,715391085.26,656219000.91,603829087.95,549631816.11,737398409.96,637898828.89,677241903.56,715558483.45,767559126.31,714349571.78,878840152.95,903449890.79,906856558.49,730614046.22,760469667.67,913973922.65,870645948.25,593489829.89,598885442.69,76936949.18,653878574.34,58608809.44,47143076.40,60248016.26,63169814.69,68165034.34,60675996.64,82246501.42,60141689.05,45436183.51,52708122.20,68640942.58,61442890.50,54420943.09,82558471.33,76346033.78,80579989.93,123450537.92,120218899.78,157830737.29,18678141.99,18566741.71,15168339.25,17760199.95,28240893.21,81586003.86,88440317.45,6270405.78,15377360.44,27038613.14,0.0
3,交易性金融资产,69762808.93,61843609.62,58469082.54,70177189.52,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,68550.01,0,0,87567.40,0,0,0,0,0,0.00,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1920161911.50,2175160017.95,1895839161.52,1664642111.54,1421765393.87,1483654542.45,1282213999.00,1202622606.67,1087681973.74,0,946497472.53,0,946186366.57,0,825759144.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,606663607.07,500544829.42,345413892.37,346995051.74,332281936.47,196120184.22,203751605.02,220925206.52,270659536.15,134399159.04,117731801.87,222180856.33,302484599.28,104514476.79,54624098.82,102819461.39,157878755.40,55616700.83,55191585.25,63073810.64,96189663.51,23592172.69,33188143.42,36846610.04,81758925.41,27991259.10,20672069.68,11567196.57,17538050.20,1000000.00,1130155.41,2200311.73,2408057.41,2832057.67,3852898.94,4000087.50,5106379.33,4253290.94,1541760.90,2131213.81,3061347.98,5263171.63,0,0,674989.98,0,0,1384898.00,2816366.68,0,0,0,0,0,0,0,0,100000.00,0,108392.95,316384.00,320000.00,0.0
7,应收账款,1313498304.43,1674615188.53,1550425269.15,1317647059.80,1089483457.40,1287534358.23,1078462393.98,981697400.15,817022437.59,927325517.98,828765670.66,752181270.18,643701767.29,798210431.73,771135046.05,705212810.84,629566675.75,769487354.99,642438561.50,648145560.88,508795229.05,639942568.35,539515363.89,469701721.92,412332198.33,509613836.34,443502035.43,355761253.39,321197103.79,263456145.09,243306222.96,60978235.48,187904097.88,66709070.69,73044331.71,68097666.13,75158736.91,80412022.81,82929086.47,70526801.03,75717580.06,71771916.25,68119471.96,56984104.78,52491975.45,74402877.62,78006604.19,57428600.42,54611326.83,56925678.52,53497538.72,50308488.98,51196232.36,47808217.55,49475270.09,36435688.61,39279463.06,35606578.82,34792986.85,31721727.31,34791696.53,27747593.92,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
