,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,75057343.11,66883687.72,74323253.06,124064396.49,110292331.03,61706851.77,93138974.22,129990443.40,97995017.65,45114379.31,44607715.00,45667230.85,50941988.67,33566855.12,26108980.84,172959413.31,83389799.28,62556855.65,36533398.72,220366868.54,251566896.99,123949826.85,124285682.86,82456218.23,110320051.67,190048848.26,217263474.32,338850104.03,356364695.52,329769452.71,202291153.64,324422314.13,383417679.92,460441856.92,590730447.46,775348138.56,468216879.65,362323117.31,361758463.49,522988399.05,395951260.49,417890654.55,441089134.47,289288650.08,328908203.18,315636489.47,295410244.65,300674234.81,309214832.23,354272717.06,251568695.49,451004478.90,444292585.12,493601536.82,594110995.62,626397804.32,542786243.63,735542777.76,624647214.86,680247931.41,562616840.97,550588221.42,761038809.89,662591482.47,608254714.85,273481763.65,563086187.12,513179904.29,196012754.84,213774123.70,149316613.80,299320621.02,85513575.60,126790569.52,130140014.52,138050572.38,96470356.36,89271685.77,67246900.14,167044305.86,0,22751621.56,0,15327103.56,0,16674913.74,0,29444945.74,0,0,0,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449560.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000.00,10000.00,0,0,0,0,0,0,0,0,150000.00,172000.00,10700000.00,12907000.00,0,17286787.40,0,37088889.50,0,38005856.73,0,25000000.00,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,142053669.26,118836036.20,107271764.08,182367886.08,233348104.23,267320236.74,195039225.64,219483655.91,0,84395130.45,0,84612344.82,0,147432396.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,116129103.16,101300885.53,85804779.60,175934691.87,209301934.11,248377968.19,167345635.39,213552709.12,103493239.24,66187854.94,59229529.80,78592058.79,103192177.20,107892019.65,109407271.96,110342161.82,32672769.73,35068922.38,47672104.81,86576410.30,52815949.35,71567015.19,71688010.13,116488777.83,86202409.89,101253494.49,98846519.09,148908891.88,97579341.18,80963266.22,141386161.85,186865953.26,193685012.11,154145077.65,119804778.80,96824142.19,75318371.92,59447653.57,63214726.78,44871794.96,35202328.47,30763211.58,33281811.43,44515067.00,70881770.36,50832721.89,105397379.87,76557999.20,71771927.12,61217843.40,45467871.04,29645621.62,25717573.85,52237863.00,29494956.88,40425706.37,13188368.95,40709276.23,35377110.51,39295945.04,19308194.42,10359776.37,43339205.96,36206535.11,45963792.80,32345690.22,29878970.64,11070625.93,8428173.50,8229992.25,10213761.36,12515898.21,2083542.15,7085840.00,3309535.65,1394400.00,950000.00,1570000.00,338700.00,300000.00,0,800000.00,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,25924566.10,17535150.67,21466984.48,6433194.21,24046170.12,18942268.55,27693590.25,5930946.79,37524711.54,18207275.51,21480319.56,6020286.03,39226091.22,39540376.64,46629601.54,4596831.99,29307209.20,28545695.05,34009805.68,22626937.76,40291985.50,36503399.63,44391443.66,5979446.74,27590610.22,25912591.04,30786723.72,3150748.50,22087150.95,18341227.24,19230059.64,3062775.70,15735500.12,17362305.30,23363537.82,5766107.85,24795114.85,19447908.59,22713400.81,14857125.92,29905218.02,34450479.53,30238533.34,16110291.62,30447836.79,37597544.35,44284727.45,19274306.65,43511420.54,50281904.16,66089184.18,51478988.05,118741235.29,93494309.52,103507512.66,89518962.42,128422190.62,117958019.51,135332011.11,89542914.31,99993218.92,111015964.31,124832680.12,89237601.77,119972216.34,105950950.48,111149507.08,107699781.68,106594037.28,105821674.83,114218279.96,99151535.65,55100913.56,44609018.64,48732091.87,43017549.35,63024454.13,55821603.00,88276776.82,66279304.97,0,59535260.33,0,30080929.16,0,29512470.12,0,21191353.00,0,0,0,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
