,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1079172688.12,1108555688.21,1132301131.16,926086497.85,901577428.23,451470865.78,89212709.44,160099854.60,66758171.17,71355899.02,40969258.19,166923485.14,36108500.71,29164808.90,47550283.54,330786401.11,82397373.40,43388630.94,59594942.67,116384125.55,79734671.94,86992033.40,129168766.59,377399048.17,256042492.40,259892944.29,306155147.55,350604533.29,329239822.27,493644464.75,476231123.57,253363385.71,228265494.42,279583699.24,133637633.45,159224885.68,181573368.46,31955101.77,42534806.08,135826400.73,41080014.69,27948823.66,29881709.39,93654815.24,61418112.96,78191485.39,57188838.39,105621319.27,56379834.80,77881304.04,73529004.34,71815363.25,72806678.17,70511749.02,66779537.99,57034688.85,24807235.59,81087688.98,133481122.69,23901278.09,221094500.87,240423577.81,369957016.07,557544058.61,173343885.28,732583241.01,717355056.25,644879979.14,281636839.47,490034112.99,215783331.76,248456494.74,147302192.82,35825370.97,93551269.68,231573534.31,13789400.04,18972264.55,9446559.25,13375776.96,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.00,600000.00,600000.00,600000.00,600000.00,600000.00,0,0,0,0,0,0,0,0,88830000.00,88830000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,6240519.75,9608374.12,4865437.06,122500.00,9061301.07,197908469.32,196646339.16,198581693.80,0,153834848.74,0,284868530.00,0,308806992.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,2012000.00,0,0,1200000.00,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,20000.00,20000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1020000.00,800000.00,1600000.00,0,0,0,0,0,0,0,13000000.00,850000.00,0,0.0
7,应收账款,6240519.75,9608374.12,4865437.06,122500.00,9061301.07,197908469.32,196646339.16,198581693.80,175867089.36,153834848.74,215695809.61,284868530.00,296060599.18,308806992.49,309679901.25,365234244.29,272601192.55,317125076.45,320897245.28,340433626.58,222066076.14,237977207.80,255456412.39,262584195.18,333763216.17,337709255.50,193911368.41,207448405.89,146649087.34,143819549.43,107959977.19,130652481.01,34710347.25,36638541.13,43541374.73,69613733.42,28613588.72,26722962.09,37340143.07,75341092.14,37725682.94,44038846.71,41949783.68,46665315.44,41373257.47,45141907.01,51198663.56,54498934.50,69678519.18,61971994.00,63918276.21,65217755.52,59418196.27,39221434.43,39942299.73,41768485.00,303476897.74,443329979.31,624182270.69,568820749.81,644834106.78,695293786.92,539074903.61,654273090.21,679033711.03,595829735.13,380163879.62,289389184.13,155038497.33,133788656.99,217323469.34,74724700.99,71635112.90,266122466.28,336811955.96,178790629.14,161890426.67,185356926.89,149659920.23,90976884.71,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
