,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,218314620.57,352767221.38,332370855.67,458907526.19,698234453.55,879275617.99,851842698.13,717590240.81,646790086.56,528345838.58,295251832.59,214678662.94,124044611.38,109265491.84,113644096.25,77830211.74,76258865.46,79263731.30,65806364.56,36180220.99,25263488.99,23189162.12,16559196.70,25107206.27,364887043.38,353396354.36,446986168.11,366300006.03,539489292.52,493936004.58,491444856.03,419805032.62,315846124.95,216326642.69,221337079.87,164961975.61,211465244.10,219626440.69,284865256.77,44895605.59,23893145.98,26219318.02,11511097.10,48303802.96,18524394.89,37500510.47,41520826.83,48355334.05,52275100.38,54308737.30,100089406.79,41489814.72,62438606.88,52327635.36,33120388.70,23577887.73,28339725.76,24291576.80,4854641.30,23081742.04,6536497.62,60836111.84,18909918.93,11199055.46,4220438.21,2579219.20,3705997.33,5249798.39,12497274.91,12931994.01,11834205.92,11649671.40,11700212.27,15209675.58,14817487.00,7463676.00,2234077.00,5930870.97,3029928.99,1380352.99,1052674.82,0.0
10,其他应收款(合计),427973555.94,274673509.00,345997264.87,175455813.29,137407868.68,57804489.79,95259914.45,88612856.03,30243296.29,33299278.87,28562612.64,22111422.78,0,33136456.37,24648910.76,29200723.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,59665.80,217074.85,711717.00,1247267.40,818317.37,891490.08,4331399.26,3383817.54,3587208.93,12071267.18,10849157.93,6149006.49,794307.58,632252.79,0,0,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573750.00,652500.00,470250.00,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,14850000.00,0.00,12944695.68,12464938.65,764938.65,0.00,0.00,0.00,0.00,0,0,0,0,0,8745000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,274673509.00,0,175455813.29,137407868.68,57804489.79,95200248.65,88395781.18,29531579.29,32052011.47,27744295.27,21219932.70,22913487.92,29752638.83,21061701.83,17129455.88,6310815.03,6568779.96,9344444.32,6786722.13,9451623.94,10921329.77,14860582.06,16562745.34,18572350.39,15163291.52,10505187.90,19731787.07,13190212.76,13535725.32,11591791.74,18560384.06,18515030.75,9258767.59,11402790.69,8197059.57,18618208.71,16204940.67,15703262.86,14793305.61,19987371.05,20947835.38,22725094.95,18446139.40,24904664.79,24330164.29,23943733.20,23295287.73,31266108.85,30562487.34,37784508.42,25825766.02,26901944.18,25013556.29,28759014.01,27086727.52,29912175.28,29805830.41,28198741.55,26844198.60,58150552.05,55552324.64,142083117.63,131499487.23,29025711.32,29067434.12,26150875.81,25121281.50,24245737.54,24153409.36,20961750.05,20892435.89,21491021.65,21080242.95,21226780.00,17314370.00,29128395.00,23876487.65,14343292.92,10825050.61,10285810.13,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,914208598.10,1119711616.42,1121590267.47,1109172651.13,1035436820.48,883868954.99,888908859.38,786951020.57,704505107.79,425918071.64,344911314.62,428865155.59,300366566.85,327233510.77,364035424.52,418939257.14,432874068.37,454986545.70,494451875.36,534173894.99,575008973.18,568870062.43,556960295.31,580871352.69,545297287.98,517928725.09,526620855.85,528057660.61,546365856.27,528055468.15,495279350.19,482441403.94,449749640.41,398158588.54,375333958.75,366140741.67,358280773.21,353424527.38,346904995.13,328826589.29,315617095.03,303623839.34,327918736.45,322559391.77,317408751.21,305930502.25,261453734.10,253563121.47,238229938.94,218079798.22,211721910.37,198028522.92,247066645.68,241834292.20,265967301.24,273282826.53,266759338.43,272291080.56,236543665.81,231463397.57,210257787.39,205732588.13,190675869.20,212929953.38,193924458.69,192965027.45,178771596.98,161634583.23,153264697.45,141664315.44,131884325.38,128378649.16,97454392.66,74625881.29,55070210.00,47232935.00,46091907.00,40443395.97,44909068.36,84612963.59,78382126.09,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,6498061.92,6498061.92,6498061.92,6498061.92,6498061.92,6498061.92,6498061.92,6416318.40,6416318.40,6416318.40,6416318.40,6416318.40,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4145158.73,3129536.58,0,3229490.62,1037119.95,0,0,1532320.62,1600331.41,0,0,326001.72,595832.87,1003349.28,0,1338030.76,1769297.82,1626620.89,0,0,0,28596.00,71490.00,244546.36,354914.89,25049.51,972104.48,3163388.15,573171.58,642479.00,140599.00,144529.00,89528.20,121412.85,4016669.25,5835835.98,0.0
