,报表日期,20190930,20190630,20181231,20171231,20170630,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,
2,货币资金,1239828776.63,872983226.38,917831262.57,839664431.45,746112605.38,834748786.82,367305097.07,526247989.04,0.0
3,交易性金融资产,238910000.00,45743607.61,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,963139166.58,735554585.41,868140461.97,667417466.06,514360396.00,546624349.38,0,0,0.0
6,应收票据,51352974.33,74636806.67,97702437.27,56477250.84,48487232.05,36585382.06,8849488.43,0,0.0
7,应收账款,911786192.25,660917778.74,770438024.70,610940215.22,465873163.95,510038967.32,765690286.53,504007495.15,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0.0
9,预付款项,8385265.97,1624978.43,8174313.57,4916630.32,9352707.60,2650452.84,2137967.67,2457349.19,0.0
10,其他应收款(合计),14647702.32,13950363.31,41752809.85,8124876.89,11115840.29,73261734.85,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,0,41752809.85,8124876.89,11115840.29,73261734.85,58783063.87,28271982.99,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0.0
15,存货,187458510.67,280222919.15,390883452.70,241597400.04,410973475.91,99110311.05,114162838.84,91757128.14,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,13148228.88,25909666.13,21547309.75,86051804.81,118938653.00,51579354.19,4384024.67,44327511.19,0.0
21,流动资产合计,2665517651.05,1975989346.42,2248329610.41,1847772609.57,1810853678.18,1607974989.13,1321312767.08,1197069455.70,0.0
22,非流动资产,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,0,0,0,0,14473217.66,15568659.68,17256444.48,11131341.53,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),1999303.87,1034698.39,11839666.98,26246909.06,3458398.09,5177701.77,0,0,0.0
30,在建工程,0,0,0,26246909.06,3458398.09,5177701.77,726047.53,395954.18,0.0
31,工程物资,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),203561370.16,199960975.21,177326958.64,114966628.21,111268452.51,90374930.97,0,0,0.0
33,固定资产净额,0,0,177326958.64,114966628.21,111268452.51,90374930.97,94231759.28,89973462.66,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0.0
39,无形资产,33102872.11,32520469.21,33068691.99,31175907.22,31328687.07,31607213.58,89291445.05,26924829.18,0.0
40,开发支出,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,4883968.10,6629364.82,8493130.27,10133716.68,10770572.43,5480553.86,7142669.07,2743245.69,0.0
43,递延所得税资产,23590721.57,21759426.56,21028601.94,13098696.97,12767841.79,8397228.87,11418008.41,6234791.46,0.0
44,其他非流动资产,765417.38,8506281.71,10422939.75,8590894.74,3636372.87,9682130.86,1084259.00,1947500.00,0.0
45,非流动资产合计,267903653.19,270411215.90,262179989.57,204212752.88,187703542.42,166288419.59,221150632.82,139351124.70,0.0
46,资产总计,2933421304.24,2246400562.32,2510509599.98,2051985362.45,1998557220.60,1774263408.72,1542463399.90,1336420580.40,0.0
47,流动负债,,,,,,,,,
48,短期借款,20000000.00,10000000.00,0,0,0,0,79780162.68,0,0.0
49,交易性金融负债,7557091.69,1081758.53,0,0,0,0,0,0,0.0
50,应付票据及应付账款,236973966.54,200985850.54,372086181.18,212289985.69,398197539.27,116386702.84,0,0,0.0
51,应付票据,65857001.19,42772215.63,124964469.33,13188339.32,33608257.41,2532842.24,0,0,0.0
52,应付账款,171116965.35,158213634.91,247121711.85,199101646.37,364589281.86,113853860.60,256380276.62,279130329.21,0.0
53,预收款项,52432837.74,128076737.22,151135258.73,67177232.50,62248372.84,32123414.88,32182932.06,19919999.02,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,50262297.70,43590953.18,73769641.95,55624123.88,39915202.18,54265002.33,46506325.80,44798987.22,0.0
56,应交税费,26270225.62,20035544.64,23491660.11,14928998.80,15847419.19,54299381.45,64264060.48,100606468.60,0.0
57,其他应付款(合计),7541859.84,5380920.70,7098470.11,75173962.29,79740674.57,3570216.44,0,0,0.0
58,应付利息,21499.87,0,0,0,0,0,0,0,0.0
59,应付股利,0,0,0,49859530.25,75336000.00,0,60219284.00,0,0.0
60,其他应付款,0,0,7098470.11,25314432.04,4404674.57,3570216.44,3406409.48,2582377.94,0.0
61,预提费用,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,14826614.91,29742507.48,113715.15,64730.31,63454.94,0,0,31321.53,0.0
65,其他流动负债,2852744.26,6812163.76,3876659.37,6185518.02,1292306.96,774917.85,0,0,0.0
66,流动负债合计,418717638.30,445706436.05,631571586.60,431444551.49,597304969.95,261419635.79,542739451.12,447069483.52,0.0
67,非流动负债,,,,,,,,,
68,长期借款,86026.46,59570.70,29579696.69,0,0,0,0,0,0.0
