,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,143723141.07,140969329.43,145300637.05,129486994.52,132562158.87,133045372.41,116991811.34,153194055.47,152764766.15,154724843.72,93585993.62,123040440.36,21120927.75,20930590.42,38041187.23,48037806.67,31201049.80,26701134.28,35518957.63,36279359.53,24234456.68,32847569.18,27688451.70,30091559.19,32707375.47,44471555.07,122748170.20,131922870.18,107842494.66,85068232.80,85727012.47,96628392.33,100776364.49,105981394.08,36548621.36,27070279.13,25061428.87,24419525.04,59976969.70,316183114.88,290835297.58,260021176.72,284279165.68,240512558.79,78673918.17,59644995.75,64993152.64,94719316.83,234682385.25,20544973.61,46237527.47,14119434.17,10489638.38,18568701.82,13441621.40,14189616.50,0,9048298.50,0,28606466.81,34049950.58,33394731.91,0,45301399.52,0,63976276.79,69203251.54,93821923.87,166651004.65,155030343.93,0,164376544.34,343386574.17,149643094.97,35562266.03,31678529.05,24003875.24,39527708.66,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.00,519584.98,512881.15,5351668.71,5363944.13,0,0,0,0.00,0,0,0,0,0,0,20000.00,0,2241000.00,4389140.00,635780.00,389400.00,0,0,64395.00,107880.00,309240.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94797544.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,3781.75,430902.83,2385065.92,2370992.45,28903.19,242473.84,150260.08,1442229.78,0,0,0,2839928.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650000.00,200000.00,0,131744.41,0,0,500000.00,0,0,1350352.90,0,1538000.00,1200000.00,270540.00,2000000.00,2000000.00,0,0,0,0,0,0,0,0,0.0
7,应收账款,3781.75,430902.83,0,2370992.45,28903.19,242473.84,150260.08,1442229.78,176532.68,150973.86,50053.89,2839928.61,518053.83,1148132.77,1329294.46,1727504.21,1171811.82,1556037.44,1598633.19,1574686.52,2099282.02,151177992.61,2073962.70,875285.26,2052938.73,3204149.09,2074232.33,2007481.44,1348679.92,1686390.61,1267424.09,1995793.29,837979.21,628461.25,992000.93,613090.07,476433.69,1074805.00,543020.03,811021.02,1422498.13,1841638.54,1881208.59,1653986.12,3893575.14,10728819.27,4091782.42,3376194.02,3356047.36,11828808.93,11969161.46,12145568.52,9479080.96,5146959.83,5324436.35,4397776.78,0,15318048.39,0,7814486.22,37668644.83,35340623.74,0,37593857.36,0,34452939.96,40752641.11,34159894.89,37751968.42,38555772.95,0,29911704.49,13314195.70,25558065.47,11247411.24,9263739.22,32379444.80,10796280.00,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,19453293.24,21135771.87,19324146.71,20899558.41,18100450.29,10845673.45,13550669.77,9054183.98,10261785.05,9901579.80,10079640.80,18366755.41,8569397.79,6000061.50,11279697.89,14832499.11,10427903.70,5827409.41,5891030.40,6081862.37,9997412.04,8011321.43,195076527.76,7637237.72,10366418.82,12087120.19,11840677.19,8604819.92,9921095.53,9631054.04,9429288.10,3896958.77,6720567.61,11974553.35,7626998.49,7196619.34,6363805.48,4187258.40,2628497.60,7907581.66,14339659.38,131614155.38,19068241.18,56119946.85,99989844.48,112772162.83,102223772.80,57719119.62,30631927.01,82674343.76,75514303.22,82122430.78,53363769.71,10446945.52,7212374.42,10250677.40,0,19724404.47,0,16372246.85,124294354.87,124201672.07,0,114007251.94,0,68255583.86,62788235.33,56700309.59,74591918.08,69276204.31,0,55752140.74,17439637.01,42568608.44,16037470.47,4500640.85,4249905.00,3123500.00,0.0
10,其他应收款(合计),15422424.08,16817373.69,17525057.91,24146031.95,18999186.90,19858353.11,43783814.30,14939247.15,0,0,0,313339.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,178833.33,0,3427217.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,6900.00,6900.00,1170000.00,834900.00,0,0,1360000.00,1000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
