,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19910630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,25197456613.85,42296631543.40,70019159315.74,52441437089.38,63953451555.76,59370448027.26,48890921898.99,38641583463.68,42399094203.53,42374063173.00,41897974420.08,33873268520.14,30808038568.29,32260107848.66,28589363203.40,22724059833.69,34078090351.72,30599893569.51,151695502.87,125557875.62,134982403.95,165153601.65,154688687.08,128295702.04,162903475.91,189740394.62,213960095.54,154903603.10,144495179.06,157710050.80,68269623.96,267688511.14,266659935.16,482786754.99,392730791.17,456810367.63,389259811.33,498281599.39,392532162.07,9083838.55,61029966.30,167467278.30,161399750.00,88194648.00,116341609.60,107146102.00,172856714.84,61381374.19,714289569.74,585992824.92,400254641.91,116799073.09,82960724.45,37691724.68,60262102.24,41721876.80,66991805.76,148266475.00,152575297.31,51483752.32,588760534.31,447064744.98,449155703.24,442833535.19,307337310.16,250425424.52,235910751.28,380174254.40,369242689.51,268472535.96,246073451.67,198591097.06,56109972.65,35286600.56,40541453.06,14476832.64,11237110.83,8227489.97,4708373.37,9726121.42,0,34172427.50,0,52522182.79,0,0,0,19593571.37,1144781.55,3279743.32,4270423.16,0,0.0
10,其他应收款(合计),72868273194.97,79555742866.66,107415793009.24,96764938384.27,76894104993.46,91907667546.76,85890414976.65,65759422150.01,0,53881466917.21,0,40100254449.09,0,44473925115.06,0,0,0,0,34224967.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,107095763.18,61873428.45,56828464.44,197068240.07,154068253.12,195475665.78,154875598.85,97111424.38,51919980.98,194553530.92,49978652.29,27958494.95,77409266.23,36406156.08,49963496.79,84053937.30,99828976.12,51984208.23,1821875.00,802083.33,0,3907291.67,2864583.34,1844791.67,790707.50,33148.61,4675173.06,3156731.39,0,0,0,0,333375.00,333375.00,333375.00,507000.00,0,0,31367.62,982125.00,145500.00,857625.00,922650.00,1212675.00,0,0,866741.98,1492200.00,0,0,0,0,0,0,0,13000.00,0,0,0,0,0,0,0,0,0,0,0,0,1854.66,1854.66,1854.66,1854.66,7418.66,1854.66,7418.66,1854.66,1854.66,1854.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,285024130.36,220092666.50,301570863.92,207638706.75,226484763.24,251104685.52,237705099.09,237705099.09,237904599.09,238589293.37,240205099.09,240205099.09,231736279.77,231736279.77,1091907999.15,1091907999.15,1081941818.47,1081941818.47,0,0,0,40000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19008185.83,19008185.83,19008185.83,0,296998.80,0,1000000.00,82260.07,82260.07,82260.07,82260.07,-516447.06,1082260.07,1082260.07,82260.07,841256.73,665939.15,479257.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,79273776771.71,0,96360231437.45,0,91461087195.46,85497834278.71,65424605626.54,53105170990.18,53448324092.92,48416291901.75,39832090855.05,49925116324.98,44205782679.21,57472212842.34,43736086666.51,45434609503.24,37715021982.18,32403092.35,25031573.71,41968342.18,430867190.68,434581969.93,417291972.99,393362713.61,386636227.07,374050350.84,365568123.50,204931472.36,129386907.51,130228053.79,133454813.20,146796960.89,131286636.78,124535091.83,171005504.56,197466847.58,203280539.28,404716456.72,186690383.76,193155992.52,147996586.25,225273521.29,229454151.27,270402187.78,235856744.96,184607067.78,216925502.26,189537253.37,150539820.69,162277641.77,157268674.96,261911170.68,299095425.73,401541606.83,470393870.84,198751705.16,167423037.68,289003082.70,337518100.82,265712597.51,292480145.99,217184120.80,239318755.73,259711588.12,192059583.17,262609511.32,104148172.47,185339708.90,189728089.78,203961353.31,185224775.48,338754385.36,351151548.02,113096401.10,126898167.57,54022638.53,15147972.87,76440560.59,72828983.78,0,71107874.34,0,79340240.72,0,0,0,30160697.36,24097787.09,15257337.23,0,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,610773769348.71,574870639028.93,603232783890.94,595496771509.77,551177262231.88,510627466521.43,507537892637.94,514682713517.35,485238232832.02,468188841679.79,488191329126.37,484532879499.23,428092595592.35,406476429785.27,417190457309.55,397061121206.66,357133531190.16,343596284439.94,5585919504.50,5549117495.39,3247589857.08,3221887069.06,3378857335.71,3324367355.48,3183524468.43,3100795972.08,2983405894.53,2948799268.40,2871421514.44,2826996339.70,2829482795.55,2569256693.15,2439926030.66,2382114501.73,2287254083.24,1891643673.75,1920809924.98,1564500798.64,1079547623.75,1106296895.60,1068701910.75,1049760322.40,1059979579.99,1054403689.86,1103403931.66,1130518557.92,411696984.75,547184927.27,819497920.68,838889129.64,1063952223.30,1245368962.73,1260641014.03,1263365649.22,1170425042.54,1126053938.29,1454575415.41,1311776019.52,1286613439.03,1227727472.19,751747952.46,763472828.43,645778347.97,607793285.39,568355379.27,522753559.39,551144189.72,523443497.81,457446150.67,442427155.10,469363546.53,524536567.65,391437459.61,274176425.35,407683990.93,401537942.08,349885758.45,338193383.32,55513136.91,108034085.69,0,92840488.00,0,128195665.88,0,132903990.00,0,74826572.56,60027969.66,75035307.14,68245789.32,85700356.41,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,1691906541.89,7214196987.33,5081565223.42,7923606907.45,6718267698.35,3652098168.23,3459440790.47,3711445950.71,4164835881.95,3906965267.11,4280499954.78,3610068431.37,5136085857.66,4728695766.94,4889749105.82,6011574039.17,6984404650.91,5874038746.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000.00,2000.00,2000.00,2000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020.00,2020.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969215.72,3258146.57,3707742.44,3025054.05,11049937.94,13403609.99,73329768.52,99063620.17,1994639.49,2301354.39,2232182.74,2570239.22,1632125.20,1450714.95,1484242.90,1907406.23,1224571.32,1841925.94,1495987.54,2829205.58,1890565.07,2370680.97,144577.09,418121.66,78312.60,70228.30,2626270.70,3111476.68,0,4522707.43,0,6144324.01,0,0,0,6157629.74,311791.90,381817.55,0,0,0.0
