,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,662831586.82,520369351.91,302046863.97,279443359.26,293526450.67,551719663.86,206830838.55,110737524.27,282569204.55,203898246.30,266301962.69,150857092.38,162273110.72,101879699.55,69003060.54,95531059.12,503843361.63,297260486.84,572014218.44,853744827.63,879660345.83,383194446.21,568839235.97,916579943.66,945112938.28,710025290.32,368767963.95,590869291.15,536537306.91,592586974.19,670543529.88,507921765.80,693837643.02,460989104.12,510510048.43,478530551.90,607609366.14,634600807.87,665908541.18,655065457.13,749844647.40,702376482.71,821284556.62,841175966.40,217561325.18,157498770.21,106528784.09,40445175.74,73996476.87,107142206.29,122205644.76,88228727.99,221730092.41,179874507.00,145111202.91,120331382.38,135416795.78,147120762.52,177437883.20,160928823.54,149412470.50,136315211.17,147123349.19,39387294.30,29603290.36,16332009.59,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,404374265.58,438043030.62,504341970.10,429187750.93,348548822.65,274258154.42,522026172.47,358367536.72,473114525.11,0,459779923.56,0,395726220.05,0,438471677.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,114596871.20,65636036.53,166613963.21,144273510.27,58634242.89,105118681.30,75930139.10,107783617.50,148546340.72,89363242.65,22128263.00,16332073.00,16438316.60,16410539.91,20960262.54,64813964.54,57094344.54,24455547.14,30464586.10,162426629.62,167560356.76,82603388.00,715000.00,80496024.49,137392216.70,83450933.20,68987700.00,36146236.64,83089686.64,95847288.69,116797288.69,125555988.69,84126515.89,83162288.69,118895288.69,78114352.06,151950168.54,62991355.80,41807930.00,28085000.00,100221671.86,13434600.00,16569000.00,49441939.00,38393780.00,2300000.00,1750000.00,21739241.00,25075000.00,27727200.00,2870250.00,4298014.51,3356320.00,4060588.41,2352183.20,700000.00,2497750.00,3556449.51,9313910.50,23782600.00,9281100.00,4005000.00,1260000.00,4000000.00,2340000.00,0,0.0
7,应收账款,289777394.38,372406994.09,337728006.89,284914240.66,289914579.76,169139473.12,446096033.37,250583919.22,324568184.39,438911860.84,437651660.56,370011414.32,379287903.45,377950877.84,417511414.49,287544562.20,393870431.81,421715150.92,456961504.82,469935854.76,381113337.33,697994633.10,682827204.27,293586056.81,392119060.03,672046682.00,469346245.14,233812173.11,372646621.10,389669377.76,419143301.36,342243616.33,295551180.58,750097493.41,537782534.79,514727176.06,262939123.26,339002317.94,424320737.18,438454067.79,235116368.58,442433093.98,351738583.10,480072901.65,304534169.87,291087326.02,310292015.98,374898053.99,201652051.54,268593513.85,289029239.67,178842153.87,101532588.98,145114332.93,228188484.95,97595560.42,77108687.92,99718845.17,69994538.61,57192212.63,65446159.74,88206901.05,66085899.95,65862538.39,45480344.57,53373337.07,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
