,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,24796242.57,27466595.65,28634162.70,13274519.25,20066867.21,25025587.63,13495770.39,18410884.34,36521522.28,26965729.64,20230503.17,17683518.91,28794243.70,23861893.25,20589062.97,16325327.90,10326283.60,33528961.68,31247175.67,21414320.98,29297361.44,10653633.89,16399952.84,4446901.90,7084430.71,273875749.88,276773716.89,277757677.87,284202074.07,300088118.59,315953359.98,310565509.60,320634690.13,407053143.35,422872317.73,445961340.86,424580674.61,423415585.88,446965772.36,425423064.59,427350232.87,476754758.91,473348775.97,350217937.49,341901667.62,332687887.54,283648523.24,83181932.75,58736375.42,68223611.64,73090406.00,74409735.89,73062768.50,119249787.72,2532135.51,159000.00,159000.00,175800.00,8168250.32,560179.49,182468.09,2317000.00,2091000.00,4125260.00,3041400.00,0,49834725.35,8866085.00,403500.00,457831.00,457831.00,302831.00,230000.00,701100.00,69783449.18,122500.00,102500.00,0,57000000.00,50000.00,0,0,0,0,0,0,63000000.00,0,63000000.00,0,0.0
10,其他应收款(合计),9491174.32,9600784.01,9538912.57,11418370.09,8226204.91,4166401.17,9286274.82,6230328.95,5449488.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,22724.17,22724.17,0,0,0,0,0,0.00,0,0,0,0,983993.70,983993.70,892235.91,892235.91,892235.91,892235.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4624687.12,6488930.20,0,6345111.25,5153143.08,4126234.64,5372791.79,3667276.21,2814000.00,2607527.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2425700.00,2425700.00,0,0,0,0,735000.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,9491174.32,0,9538912.57,0,8226204.91,4166401.17,9286274.82,6230328.95,5449488.83,10541867.18,9132384.89,8605072.35,8109986.43,15266534.06,15520791.82,15877169.37,17672943.27,60449983.41,67740437.13,14010048.19,9769694.29,16463961.07,12473477.40,22346250.15,11810165.14,272362692.05,280580892.34,291166948.18,298126041.28,307938000.44,277754510.88,262668323.77,218958125.31,235934358.42,220899767.41,276023626.66,199473593.49,215113152.06,241498350.30,197300275.08,158971693.01,58039118.86,49987968.18,27166042.19,22454209.45,24897684.46,17867527.43,37277041.18,22485157.50,21671308.50,31897589.27,31380320.96,31807867.17,110862791.40,2958422.61,7266989.28,6439294.10,3576000.00,3522000.00,10331650.02,1589093.00,1872580.00,1592791.57,1756450.00,1520500.00,1611000.00,1510700.00,52329.99,86879.99,49291.99,611899.59,1256575.63,686435.63,682961.31,6613263.98,11280742.86,10913414.30,14828467.22,49634801.95,95153417.15,28614216.18,0,9778089.45,0,21824289.64,0,174044529.50,0,91648351.24,0,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,11210502.34,9679004.01,7963680.24,8314457.99,11223532.63,12724213.59,14803881.03,19969125.19,15514741.80,14820699.71,14129552.19,14997675.02,15062015.32,15111571.73,14540552.64,17915875.01,16622695.57,19325258.40,18829853.91,21611162.18,22291745.68,27780024.09,32495245.17,27442587.89,23569988.14,83093696.69,97461103.45,103447744.19,105499370.95,126782290.15,138681948.22,134314426.76,137943744.16,118926103.68,103016708.64,122135300.23,103540192.71,137377470.45,120283154.26,91324334.06,81287214.48,72852209.12,59723743.32,49899250.81,54880387.47,87842440.54,75312247.19,72198853.32,71062994.73,72968836.45,68981999.67,76757892.21,77324794.21,69406390.23,40841130.05,18188648.16,12470552.29,11535376.92,13033337.26,16393561.95,12981432.61,25719336.11,16195616.71,10576407.91,7961863.06,22333025.05,25298743.60,21279363.97,17697960.39,32224786.11,22174772.69,7780129.88,8673732.54,14668358.02,21460696.86,5601819.97,5170438.61,11088472.21,5586623.19,1825911.42,1602966.52,0,1525028.51,0,2070756.12,0,9923755.00,0,3186397.53,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5211450.00,5330241.00,0,0,0,0,0,0,0,0,0,0,17875.00,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11982634.82,0,925000.00,0,924500.00,0,925000.00,0,932000.00,0,918000.00,0,1108785.99,0,1099660.00,0,0,0,1102340.08,0,0,0,1066909.99,1003759.99,999681.52,432140.51,5168109.88,429381.88,0,2272775.39,0,960136.91,0,484866.39,0,0,0,0.0
