,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20020630,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,187822347.46,246464446.34,517842111.59,184383515.71,87224410.68,240445983.29,199905317.45,145691151.86,102550940.69,115720814.26,166993674.44,183295755.94,111595970.99,144860929.23,49811678.88,42539340.49,63045507.50,142382727.10,84775950.24,173050906.49,75698519.85,164710407.31,233954798.48,298900264.79,127021863.88,294439485.26,210552667.29,235461755.26,101248124.06,176367516.50,201406301.02,268910148.02,184694290.91,390019141.82,284347204.53,552380145.26,238462097.85,422366560.01,521363307.06,716106009.19,300499073.11,599316920.93,515711519.65,533621544.73,209186774.50,381883452.09,408516704.21,431611901.28,206688139.67,212284670.49,291148297.07,340218235.15,165610425.01,92163195.02,104893440.09,54339007.59,36923927.77,30652903.32,38906641.15,83928361.26,28958622.21,75573101.09,106148440.98,59232604.64,37530447.23,44336452.85,6285190.65,5863590.71,1694420.47,1680120.28,478546.54,1041455.14,0.0
10,其他应收款(合计),63467220.33,130111104.70,103829042.60,390664538.93,52674183.56,55813551.06,37864729.11,40989774.77,28886714.58,0,25590403.07,0,23197675.35,0,31597744.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,5990182.65,50734445.97,28033052.64,16886448.63,8669178.07,21962925.43,12620255.91,5827997.26,2795000.01,14000444.45,1518750.00,0,0,0,0,3000000.00,0,0,0,0,0,918050.00,4218445.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,4967477.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66600.00,0,0,0.0
13,其他应收款,57477037.68,0,70828512.96,0,44005005.49,55813551.06,25244473.20,35161777.51,26091714.57,16442560.09,24071653.07,30356660.09,23197675.35,32056627.62,31597744.10,31036617.72,31316248.54,55375453.22,46221448.80,46185195.23,34931950.70,70515211.90,57127386.48,75656944.18,42928372.36,76791470.37,69114252.97,57193740.87,39602681.37,76862868.28,61358023.32,48997137.37,62778571.18,86180661.91,67896004.71,78679284.82,154209443.89,162556665.16,77142409.33,59868250.19,30844678.29,20357463.33,10645859.64,41663304.34,17877499.22,32104241.85,20138126.67,31107984.61,26598481.05,27755827.59,15297724.34,11106104.75,13283831.49,88042526.32,11442738.62,36609493.81,4137271.60,14897246.87,3008963.74,8981953.53,8977430.23,10804082.49,11350168.10,11610226.25,2450891.14,2407749.36,1156988.57,893863.54,991739.70,608629.39,1014956.64,2718694.37,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,1325705829.38,1404675551.19,1228976229.56,1151195231.07,1118327636.71,1024040216.03,992012883.00,1307917474.23,1082020258.62,1008760959.36,1051058625.97,1309646898.95,1359154513.09,969082121.94,925911451.38,760016861.15,1012948830.23,1001585861.05,970110372.32,1050843852.12,1048192999.33,1093432573.87,1336839078.26,1277388320.81,1189511885.10,1188822485.31,1100993328.35,1170015201.67,1193448035.34,1199692611.09,1272215476.36,1212712980.05,1319890749.77,1390921450.04,1290988601.59,1354505328.49,1427340715.88,1316756972.39,1649363407.90,1321011843.81,1095637529.76,1207179951.78,1071379528.99,1345825328.83,1110388388.37,1525165456.57,1398076589.84,1368906525.68,1198251020.64,1031273561.65,1005357098.63,882335389.21,1043922469.48,356955035.71,327400746.10,307081781.51,369958044.41,295274516.95,316771989.01,242239063.38,268875697.62,181576078.60,181405237.04,179065376.88,124718328.11,59911090.68,72576788.86,86095540.04,88953222.04,112666600.72,96391686.56,88566084.66,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32733.01,361713.38,53714.93,451798.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325081.57,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,9490836.82,31190735.70,35525370.17,11959327.48,17200031.55,26031106.68,63249151.44,611732583.74,572484167.82,728756782.25,20619993.25,22352250.56,24597462.13,9635058.88,11782825.94,23760586.91,28853778.73,12014402.90,11906545.48,24823027.62,24822566.14,0,0,0,0,0,0,0,0,172499.94,0,0,0,0,0,0,0,26957.97,0,0,0,0,0,0,0,0,0,0,0,0,721625.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,8453225557.48,9039277465.65,10370564704.10,8313946053.34,5027022247.78,7147216661.43,6941955752.70,7574100090.85,4542466947.55,6314723098.98,5253728152.71,5158373344.41,4236875513.25,3782307787.08,3183030172.15,4395838054.95,4653759604.14,4628206216.28,4602472836.90,4159645392.50,4217700037.31,4157810119.55,5284199978.45,5292103735.07,4699569406.66,4746640824.38,4482542991.32,4209231563.34,4961668851.21,4884011660.91,4763411760.27,4484666854.30,4222985940.23,4599760741.95,4447783787.50,4471657466.24,3378921689.11,3559531258.84,4239552997.31,4086917451.83,2896636192.29,3436328715.65,3325356192.86,3335183183.56,2834652831.87,2991173208.00,2714197957.83,2616725393.38,2169207830.99,2393970006.85,2298907241.45,2226074412.38,2009197124.32,1348511417.07,1123796415.73,1115517450.91,1017987402.03,1145381428.25,1063385458.39,1026006535.21,1017816091.85,918840170.64,1117097098.77,887546971.44,771696925.91,626699838.94,282616665.23,249523962.78,267413098.55,225828520.60,174494940.89,159389592.60,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,113180104.56,116663470.51,126311220.01,128503000.83,128503000.83,130479517.46,138698695.54,156663470.49,156663470.49,159011807.08,166448206.30,166448206.30,166448206.30,166448206.30,166448206.30,166448206.30,166448206.30,166448206.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
