,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,462635771.12,492285082.66,543091831.88,671541273.46,689497529.96,711224648.76,623024729.78,634540910.06,577947486.00,676767253.26,828679677.52,922057036.33,483161552.31,474699802.11,478054537.61,811267260.81,498247396.53,584271791.56,591724290.99,712463882.45,504556697.44,498857801.85,483287471.62,534177011.05,341504917.38,340474303.53,378434150.80,398315908.15,266585284.08,226497716.92,285159095.61,231890350.91,112692837.00,262017190.54,364335732.70,226795198.79,143177730.78,168779797.44,191363649.59,194543426.24,197717397.62,134197567.41,147447785.61,183318202.75,94900250.60,80103082.48,118142588.63,163523314.30,159852102.72,178011187.65,149762352.38,221487698.40,285516674.10,369579611.51,355278374.14,355542181.95,324627880.94,334579570.80,390647331.45,393280418.84,281718384.31,486521788.72,553711185.92,564825726.16,406806339.54,496056057.60,493819497.20,68306075.97,35553297.97,43783897.03,53528058.24,88176587.64,89074325.25,81784301.52,139694985.06,8035644.00,9234224.37,16556169.09,3328876.34,3654709.61,0,9959188.09,0,9139775.71,0,14605835.34,0,38133100.60,11283285.84,0.0
3,交易性金融资产,100204299.09,100377509.34,126404162.21,67962564.43,82659689.78,76171816.12,67136114.13,72152333.40,70360707.89,95271399.57,115509429.07,116110715.39,106601836.93,105176410.03,108790144.35,128232985.55,106303745.11,142387633.16,123920102.45,124050345.71,142220004.91,138734539.67,129884947.67,113123479.80,132909030.88,128908629.40,132425527.60,95290581.06,145645236.89,149006794.80,84856643.22,153288572.44,93349788.80,129189412.07,37402190.18,237027664.82,87962596.89,92870596.35,71980029.57,69480239.85,3862077.23,30870274.91,9597228.31,129816.39,0,0,0,0,0,0,0,0,0,0,300000.00,62856373.20,300000.00,300000.00,300000.00,300000.00,300000.00,300000.00,300000.00,1000000.00,600000.00,0,0,500000.00,200000.00,0,0,0,0,0,10590400.00,2061863.00,0,0,0,0,0,1384692.37,0,6632409.67,0,7476141.39,0,21050970.05,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,16593120.68,13150071.25,9800901.27,7563025.98,4319153.40,5059713.92,4448895.32,2805967.43,0,16682153.72,0,6800886.82,0,3889935.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33535.77,876819.77,0,370296.88,1094661.52,1094661.52,1670488.00,5008228.01,9640091.59,7117920.58,4565731.86,300000.00,0,2236775.97,3081317.16,266481.59,0,3000000.00,4000000.00,2000000.00,3800000.00,0,0,800000.00,1800000.00,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0,119183040.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,16593120.68,13150071.25,9800901.27,7563025.98,4319153.40,5059713.92,4448895.32,2805967.43,8310382.24,16682153.72,13502284.66,6800886.82,4880756.95,3889935.73,5544741.92,3896810.22,6940003.29,4721668.05,3645957.30,2080120.86,331276.38,3415787.54,2399410.69,2239170.52,1790293.85,2678238.30,1780391.36,1801319.28,7995829.75,5934375.61,7158623.36,5289928.93,10008908.05,9981939.06,10070357.16,10233940.69,10496551.32,10425819.55,11052395.09,41194549.27,45710353.97,48219711.08,48601754.11,49121269.67,68816151.06,66738589.07,64970635.83,66177569.20,47680409.37,88076756.15,50081509.40,47509024.21,43665647.76,63334559.62,44414410.57,159940456.79,32258263.94,29724436.45,13323920.85,17083972.40,37096109.68,41400836.69,14270869.69,14206211.86,49099406.42,39536169.76,25041261.07,10618759.75,36310254.86,16575737.84,22356416.14,25817777.91,44510341.14,10220945.89,19862853.06,86440810.82,22486165.43,12825647.52,6116193.55,26441020.55,0,12435737.85,0,10471350.40,0,7503368.55,0,7719231.41,18776022.53,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,2021876.49,1709103.21,3587260.03,1958948.89,1145770.23,1492487.01,4479492.11,4849650.33,279081431.86,86981247.26,8481758.15,8536960.46,155074624.52,219822835.72,288160140.21,12909578.80,106314491.49,84674728.51,154004724.87,84597030.91,132463720.41,156868003.53,106568170.69,100384668.34,187283232.80,186880945.32,185864443.32,186133212.30,489452683.75,473995437.03,468747880.46,466819257.82,498630774.44,492944040.89,491342469.57,483530522.58,549191036.37,559729797.29,532541624.93,520144713.77,575510866.81,569102630.48,540681325.69,510912522.81,500661922.63,524940473.53,528143375.41,533828058.41,387142741.46,394030607.18,414745010.73,377778328.39,179512429.74,172203586.87,142987422.05,147633129.62,180982798.53,157641107.86,161399171.13,155673128.17,156662027.09,141353556.93,128972967.51,129312991.63,134364024.98,120609762.64,146738982.78,176776384.49,119694078.72,112430730.07,111208947.27,113816966.33,92319334.38,100439709.24,86800731.27,77144241.49,9623069.75,9687429.92,8203333.15,3296696.26,0,33454887.61,0,66420221.73,0,26541489.54,0,22941729.44,440366.21,0.0
10,其他应收款(合计),64597406.56,63338844.96,62224675.38,15541709.59,46823962.46,47006738.31,163964789.22,235648445.03,0,59899909.10,0,58827253.99,0,207629635.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,5917212.91,5917212.91,5917212.91,5917212.91,0,5917212.91,5917212.91,5917212.91,5917212.91,5926041.83,5917212.91,8501609.67,14227902.69,12390148.14,17542983.20,15850031.60,13831295.37,11765206.01,9907225.13,11759297.93,11204921.31,10980628.15,11019818.07,11063774.84,9485962.72,8354062.54,6199264.03,5089729.80,7553046.30,6385702.79,3904054.05,3327444.83,717084.14,208469.72,208469.72,246969.72,0,0,91931.85,91931.85,0,12796.15,334127.63,0,2270493.90,1522720.20,0,0,0,528043.54,564496.06,88652.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433215.90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847700.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
