,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,7405358.52,7344190.95,7476855.78,7683964.99,1386140.48,685017.71,1473881.88,651362.70,845810.08,726302.35,420235.49,694920.58,776651.23,207853.91,457778.43,1141633.52,37048695.42,34479968.97,39926597.10,22631857.41,42352593.52,25840394.01,22960402.99,28470929.92,29041583.66,21025163.40,22336806.38,18674591.42,24894713.48,223708630.24,153800255.74,112799769.99,134884011.46,94852741.60,34368577.10,8392562.29,15974076.42,10039578.85,9418743.63,5832144.09,11958326.30,7740039.86,6823211.19,8403578.27,9563086.36,9739297.91,6442749.48,5879108.67,6016975.25,3923931.22,3846542.30,3412960.79,914831.89,714086.89,369758.22,702068.00,70012.00,30204277.00,0,0,0,0,0,0,0,1870033.93,2352033.93,91637.00,0,770402.78,510092.85,55716.60,1939725.18,3496177.79,500794.74,109741.00,2820793.41,3148034.39,10274760.00,8809958.30,0,0,0,0.0
10,其他应收款(合计),13442429.29,10729369.07,9385524.40,9463153.82,11243140.91,11711684.31,11775958.06,5614712.33,0,10766170.20,0,9225391.38,0,9735954.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42408.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,7800000.00,0,7020000.00,7020000.00,7020000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,10729369.07,0,9463153.82,11243140.91,11711684.31,11775958.06,5614712.33,5661793.54,2966170.20,2502972.24,2205391.38,2766906.23,2715954.37,2839396.76,2246277.15,6541818.25,8177984.68,4222125.41,9934043.74,3376058.13,3882425.59,8911385.24,17590022.12,15203753.66,12393782.86,13920520.85,9568749.92,12030497.37,18466507.13,23886182.77,26047917.82,31283990.68,4123985.95,14852134.87,12359912.53,85745484.43,33996873.42,3903496.96,5125281.19,4819750.90,11415871.32,2579338.16,4420225.26,1125104.86,3712980.19,3778053.22,1671286.33,5777503.41,5567613.42,4156163.27,7299579.68,385668.63,364865.53,1075591.01,781123.69,2951457.83,5071211.34,17522711.34,7676114.89,419601.02,9280991.52,27789899.34,26346948.17,0,29513902.77,23172136.31,10541046.51,13246919.22,1370325.78,13266745.09,393036.48,5155660.91,4110857.44,4596902.15,3496267.68,29738086.75,62308436.44,210806.21,31202166.69,37256.41,38353730.00,39900853.00,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,41704071.55,40650519.81,40573902.81,41207826.64,3064089.05,2581152.15,9091598.81,3684488.54,8485194.30,5966410.17,7576279.77,2576996.33,43972584.99,43024405.55,38289650.74,38519798.35,784581619.02,774278453.86,759385000.06,653415603.46,635010185.71,609327213.57,606551974.43,524206390.84,508670651.70,473585154.27,446612471.36,445227977.91,442371195.67,224181514.45,247972450.12,219317312.54,229108993.73,210563177.53,440456795.63,487607933.38,445286841.46,339356124.98,328231753.54,301166593.61,280735675.06,252806295.59,236623082.90,222210932.60,223728769.26,202458712.35,149687113.53,206662682.31,230753520.90,219437825.35,164122007.76,107858112.41,97807922.08,84625841.51,87763628.19,92031022.41,100336088.23,54353790.24,62540006.51,69944181.05,76951481.53,82589011.80,62898545.02,77873156.51,0,102691970.32,113229845.85,1079358.08,763868.65,38559397.29,35784756.63,34236242.55,35681393.81,34962259.42,28349176.68,26274183.19,14728081.77,12669342.36,17787999.94,5329572.72,2184494.27,0,0,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217561.49,1539125.66,1303830.52,686524.85,324437.75,260290.79,127806.75,191710.12,222647.21,87120.54,121892.88,167772.98,180963.23,0,59405.57,94394.26,127351.95,38771.69,146463.51,122912.87,76329.48,157383.63,128575.81,250208.43,365528.47,263543.97,258816.83,172073.59,148604.46,15835.00,0,16880.00,0.0
