,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,62910428.51,53794432.25,42447414.31,49523629.02,63303735.69,39500650.00,68087805.86,53900037.53,59693592.23,41334130.83,43390359.63,37810011.06,30701928.72,23680130.89,23362472.68,23229162.21,31961851.66,23563940.97,21920296.11,17483812.73,34484574.54,28108323.30,44006062.30,45050698.97,24936073.13,36192366.32,35695922.58,21310974.01,206525919.79,243982428.83,240535051.02,268652673.71,154833676.29,108948721.53,119917884.72,83834133.49,52210365.59,39552947.14,122607589.79,21578783.37,6551619.41,7096089.63,19864379.80,29538757.84,3762328.30,5996925.93,1422440.58,6038808.39,4797814.54,5119732.53,1325829.46,1664049.86,1358510.17,2264864.93,2366416.85,4753494.73,2896993.26,1232214.34,1477142.88,1728662.18,1008969.85,0.0
10,其他应收款(合计),83419092.27,65666108.94,58729091.94,86684469.12,72122338.05,58127362.64,94038749.70,94217727.13,0,0,86463874.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,24456.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,1250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,65666108.94,0,86684469.12,72122338.05,58127362.64,92788749.70,94217727.13,75271276.25,67249961.29,86463874.67,74631344.83,73288442.22,62150246.07,78364333.14,74845797.74,44166070.88,35661824.70,40865297.33,92205312.58,37252511.97,24087691.90,33988777.59,33320309.10,33477394.00,28744162.32,40012015.78,18732892.36,36159270.03,19222520.63,32050752.29,17212562.10,29837382.78,18024049.55,27813909.43,20287849.26,23013929.24,23043508.68,19900534.83,8543685.97,15774692.01,13649444.05,37092819.98,23475515.97,3117265.04,2434669.65,4473739.35,2029404.70,4838388.36,2616312.41,3018483.97,1098799.76,5882313.52,2503844.58,3344644.34,2154216.43,6933846.53,2146137.13,1917059.25,1645308.13,1266808.39,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,1844960593.43,1804997672.73,1883178902.29,2026869790.61,1945131933.89,1811275553.64,1909199052.28,1856573695.35,1539403153.59,1188656192.60,1220941192.72,1204314003.68,1064627522.00,1028340732.87,1233670127.56,1184568214.63,1170771121.82,1067127210.78,1222117213.21,1150279699.56,985244228.39,925141839.22,1064352351.77,1056719945.71,952574488.98,1000543566.57,1146201076.97,874834323.17,798859617.41,809306483.80,941989152.05,835130452.37,727861486.18,722656611.96,828727354.03,755885173.02,723161596.61,742716533.41,769018170.22,573370327.70,524836210.91,509984488.49,603432914.99,622839694.25,173735806.09,172812929.07,177930596.96,156300448.70,120068408.95,113020084.27,117018876.30,112002460.22,75788304.68,83173162.28,98839452.38,85550021.39,77552886.46,88263760.83,87861252.41,61416995.40,37557261.37,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64500.00,78377.39,156754.79,235132.19,68507.92,202909.24,254929.47,482751.75,348901.75,173690.12,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,1009750923.69,1470288950.34,1672989630.20,2097861658.08,1440584866.08,1469229689.59,1588876262.61,1646692796.53,280779217.66,33192321.12,108681767.13,344878658.62,369605312.44,719536127.00,447962238.23,493988859.97,96404179.55,177499137.30,432159340.79,433371196.50,472222579.24,316827033.82,20432565.16,30270161.30,28054983.34,30408496.16,37393895.88,36289786.56,163446.60,340188.15,126317.50,303692.50,0,0,0,0,0,0,0,0,0,0,5211940.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
21,流动资产合计,9748033162.77,9482268359.33,9652209108.48,9687063018.79,9583521006.58,9114315389.26,9072419670.66,8783518106.88,8381769369.05,5923585715.06,5756748118.08,5546113405.12,5374559721.72,5290127432.69,5209681057.51,5257539988.56,4963085806.12,4710429805.12,4810962302.87,4538031500.13,5232062470.54,4895517713.55,4250884754.26,4013812778.93,3814645123.02,3888524893.90,3681045458.37,3085110335.24,3444275091.48,3538453707.60,3545141762.22,3772927840.35,3673334694.45,3695448517.01,3864492265.76,3672096821.54,2607655306.73,2438486276.11,2233268826.16,1864181711.57,1682902908.96,1600979639.39,1701950836.77,1723524846.56,542380508.08,636743616.54,661918482.56,645277107.34,710238065.77,737301482.87,630809107.62,517312940.62,560722834.42,569839389.71,515214332.63,443049061.78,460273880.72,555028874.06,215341711.08,170546546.51,101368527.53,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0,0,0,0,0,50000000.00,50000000.00,50000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,2479097.17,2459792.63,2347310.57,2417240.96,2817707.66,2461283.77,2379803.37,2543516.17,2596878.38,2624102.94,2576048.50,2516021.89,2606448.00,2595250.00,2499360.00,2428560.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13552264.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,12017629.57,11813021.01,10694313.06,12554076.93,71045093.17,60376499.37,59317464.22,59689004.78,8950845.48,5042454.54,4498656.49,4335234.27,4247217.90,4143648.95,3720256.27,4499188.07,4559838.32,4272434.60,4744323.73,4744323.73,4883772.13,82239298.02,84502446.76,86271198.24,88846840.14,92349973.79,95754732.21,97549031.19,73381322.89,75235057.01,78544774.72,46708303.63,65674588.37,54950058.07,58772605.87,60751327.39,62930263.06,65343844.42,68557736.95,0,0,0,0,0,0,0,1482860.00,1482860.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
28,投资性房地产,75651487.79,76238924.18,76381796.33,29079298.20,29819182.44,29796296.99,30449590.98,31040735.02,31617840.62,12146771.40,11730486.03,11800438.52,12271244.10,12261541.73,12363158.78,12133997.19,12386743.10,12047006.83,11845926.74,13428882.38,14243385.54,15518703.48,15841625.16,15963093.80,12435634.05,12798741.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),660374414.39,640806251.81,590240280.40,610672475.97,545740801.09,452484883.68,536909897.52,466862380.12,0,0,221160582.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,640806251.81,0,610672475.97,545740801.09,452484883.68,536909897.52,466862380.12,426065004.34,224042778.76,221160582.21,183286939.82,283760736.67,250696197.63,223085751.31,191858450.95,196536955.64,185015045.55,160330828.78,100379567.40,332543933.57,295060599.64,264754361.15,224542080.66,197300473.04,294204809.13,484104973.91,428722262.99,386519824.88,286247586.57,268277473.17,178198108.29,163665354.68,140202201.15,93878799.34,60379459.65,24073144.78,16465023.71,13689293.08,14007416.53,19707825.78,11126996.78,9070698.60,7284947.33,28044736.42,22110902.73,14809125.49,8682615.48,7189581.65,4344900.70,5602563.70,5556898.86,8786142.17,9805790.04,16671022.40,8923643.58,10295207.97,14202263.00,11609700.90,1641384.40,11765585.09,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),3093790815.78,3040588886.33,2960295046.92,2942474135.39,2765633475.11,2723264012.68,2479315581.63,2480885557.09,0,0,2159739341.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,3040588886.33,0,2942474135.39,2765633475.11,2723264012.68,2479315581.63,2480885557.09,2387109158.32,2179053454.67,2159739341.78,2184658605.98,2057021908.96,2073712156.25,2080725392.80,2094634879.32,2039026508.30,1904004331.78,1912489667.97,1947798144.00,1743442356.06,1740741378.46,1752623891.75,1775990231.14,1711138311.47,1520663831.42,1233870149.83,1036929823.85,773507692.76,715833864.92,630858560.92,610218561.62,533169362.84,506946497.74,484879140.64,479545959.48,472944611.20,481778584.05,477358880.00,449721187.71,443070100.35,461239801.22,455627351.48,457731381.22,166055345.73,159392545.19,161298348.24,165750567.24,160329242.77,163381871.56,168302901.03,189556115.03,147248318.81,147860188.17,141562349.92,144048746.77,143809683.61,137886233.80,124326428.77,111753254.15,79950116.71,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,532180753.64,535395358.66,535077557.75,534750458.87,504444453.91,507902252.58,444356092.59,418545090.93,414663986.81,361602813.96,367452924.85,369672089.49,383968022.51,387975908.72,392553146.77,397603639.20,373219474.36,349060531.22,358508440.87,372168014.20,394994406.99,410335921.99,418821768.31,426677318.97,411945084.77,373153461.62,345749948.73,247544067.94,249911787.36,215737730.07,195865541.44,197346255.98,181033401.81,182642070.01,183958380.18,185218599.20,184881698.40,186020534.60,116709627.80,102633727.84,104386252.38,96161846.37,91752339.76,92286975.40,16316040.68,16344438.58,16430311.48,16516184.38,16602057.28,16687930.18,16773803.08,0,25180.03,23360.02,35040.01,0,0,0,0,382942.55,765885.23,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,31959091.60,0,0,0,0,0,0,0,133758620.05,129814350.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,17714866.89,12510097.36,11569658.55,9011625.35,11780804.00,11172058.04,8165982.14,7177361.40,1556448.49,1587308.41,1539875.76,1948856.42,3264397.13,3900694.50,4791492.37,5581663.99,6580099.38,7624124.85,8668150.32,8860925.79,13043959.89,13686936.43,8648936.73,8275998.89,8958416.07,9460247.43,10512474.14,5513574.98,3769242.49,4299699.42,2488845.36,1297651.19,716082.00,815273.82,759960.22,1053074.17,998382.38,1294974.21,1414303.15,1532298.75,1620950.79,975005.84,1252446.23,1317776.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72000.00,425875.95,0.0
43,递延所得税资产,75302544.75,78375183.16,82495088.23,72191056.56,65047114.24,66155240.05,68327447.58,65745749.13,55895762.04,59393065.89,58481251.36,58951963.20,47065291.66,37667726.68,39856631.36,37843878.47,58128496.32,49730707.34,47622472.16,31888325.09,38056032.57,35686681.77,37890393.43,36995440.73,27094313.46,30026472.64,27187401.53,25452082.57,21119445.87,21253047.11,17771016.71,16908671.54,13182240.91,10014511.18,10367210.42,10452162.23,7314389.77,9869239.06,8918463.67,8895683.87,8374163.48,8380042.94,8391158.93,10327961.46,2395291.23,3347501.18,3424623.63,2347879.06,3667697.28,5213709.21,4278868.45,0,0,0,0,0,0,0,0,0,0,0.0
44,其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,3400000.00,3400000.00,3400000.00,3400000.00,3400000.00,12580000.00,12580000.00,12580000.00,3400000.00,0,0,0,0,8140200.00,8140200.00,8140200.00,8140200.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,4501470701.58,4430146606.74,4301060143.41,4245109459.83,4028287723.22,3885571618.76,3661180951.63,3564448486.24,3410415016.08,2927451842.17,2909138258.58,2852529241.19,2829564358.53,2808312216.06,2794954281.26,2781943348.79,2734977207.02,2524334182.17,2516789810.57,2482668182.59,2541207846.75,2593269519.79,2583083423.29,2574715362.43,2599617893.05,2470612087.91,2205319880.35,1849851043.52,1508209316.25,1318606985.10,1193806212.32,1064229817.20,957441030.61,895570611.97,832616096.67,797400582.12,753142489.59,760772200.05,686648304.65,576790314.70,577159292.78,577883693.15,566093995.00,568949041.80,212811414.06,201195387.68,197445268.84,194780106.16,187788578.98,189628411.65,194958136.26,195113013.89,156059641.01,157689338.23,158268412.33,152972390.35,154104891.58,152088496.80,135936129.67,113849581.10,92907462.98,0.0
46,资产总计,14249503864.35,13912414966.07,13953269251.89,13932172478.62,13611808729.80,12999887008.02,12733600622.29,12347966593.12,11792184385.13,8851037557.23,8665886376.66,8398642646.31,8204124080.25,8098439648.75,8004635338.77,8039483337.35,7698063013.14,7234763987.29,7327752113.44,7020699682.72,7773270317.29,7488787233.34,6833968177.55,6588528141.36,6414263016.07,6359136981.81,5886365338.72,4934961378.76,4952484407.73,4857060692.70,4738947974.54,4837157657.55,4630775725.06,4591019128.98,4697108362.43,4469497403.66,3360797796.32,3199258476.16,2919917130.81,2440972026.27,2260062201.74,2178863332.54,2268044831.77,2292473888.36,755191922.14,837939004.22,859363751.40,840057213.50,898026644.75,926929894.52,825767243.88,712425954.51,716782475.43,727528727.94,673482744.96,596021452.13,614378772.30,707117370.86,351277840.75,284396127.61,194275990.51,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,1581831940.00,1408757665.49,1334598929.00,1104568835.63,1046488432.57,736205775.06,715608196.00,607406088.92,518767038.02,473615544.00,300403219.00,298730452.00,315048320.00,544144407.55,603642378.33,646051374.88,813528410.00,960246175.26,1134386610.18,989321409.98,1884706920.42,1739653301.48,810338687.01,772942919.99,843270796.83,740770788.51,701581781.21,450909418.90,721141800.00,749958720.00,561684140.00,492939637.40,243068356.22,206264070.07,328688966.66,329004939.40,353091155.43,365004642.14,372943589.01,202973779.59,310000000.00,376564660.00,437000000.00,422866831.22,40000000.00,40000000.00,40000000.00,40000000.00,40000000.00,55000000.00,35000000.00,15000000.00,15000000.00,15000000.00,10000000.00,0,3520000.00,61000000.00,43887178.92,56400000.00,0,0.0
49,交易性金融负债,0,0,0,0,6416245.70,2241420.32,3630776.81,106500.00,1710356.75,2800.00,1750.00,612523.23,0,38700.00,28000.00,1226475.00,2971900.00,2694377.84,58000.00,5205707.27,2826019.87,6640.00,2487595.72,0,0,5582550.00,1646850.00,1600.00,0,928800.00,90975.00,841475.00,27348125.00,11200.00,1594190.00,0,0,2505175.00,507350.00,469050.00,630660.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,2575628311.43,2732630215.66,2677292015.59,2724982092.15,2560441825.76,2532997758.31,2457774335.26,2497466550.92,0,0,1665123684.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,1141185613.28,1180946519.46,0,1142890068.69,0,1040157691.62,1042084265.49,1016823594.85,981308051.64,736550414.62,692929873.78,664933602.83,618507555.35,552292205.95,500913372.31,568641356.53,693823096.86,491556975.22,505453042.68,481746881.97,635355928.70,505443272.67,502546939.14,509714018.29,521041790.45,522711636.75,334162693.10,323736126.57,378572774.80,369063677.05,318793989.10,433416584.20,547337947.71,573079983.16,608928198.86,596324516.52,592176912.67,508048600.00,406830820.15,309068670.60,268114759.89,227324178.46,201477469.42,210277469.42,99002000.00,174397595.60,177048237.15,173337000.00,252036000.00,242016000.00,187440000.00,140621000.00,174745000.00,179742000.00,107858000.00,102318000.00,136624000.00,140880000.00,65000000.00,47990000.00,21170688.74,0.0
