,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,4583448151.85,4942080682.67,5007553085.04,4751606575.97,5344649955.67,5751724902.74,6300256004.24,4720339474.15,4063692955.26,4551607205.50,2214247753.07,2065947650.99,2652084554.04,2988627853.24,2343343029.77,2183129229.41,2845553277.80,1513381415.97,1467150189.02,1180698274.56,1208601873.07,1458128383.73,2138659256.71,1992530523.90,2289607784.61,2318046195.34,3724196282.67,1325398040.96,1407135957.65,1250747632.82,1052346947.14,1414409814.30,1374656493.25,1452347682.18,902134397.47,1102166980.78,764361209.69,559207066.98,533679439.26,806622769.18,268121527.66,588633996.96,562072864.58,382444557.19,338689071.33,604443814.47,880290024.60,914571631.79,497713986.56,537077021.10,829335482.15,478365360.35,369842296.41,221345648.22,262214267.76,287036357.47,264346012.78,275352092.39,294291978.34,283920548.17,238484446.42,332168165.25,234132823.20,176316666.26,153966276.22,164174673.40,212530473.88,0,175141181.82,202958884.70,177039788.89,264299538.39,199108553.73,231605986.39,298407400.33,338193504.04,360942109.38,22674924.97,18654880.54,50489814.29,23828963.69,0.0
3,交易性金融资产,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20659570.00,71605922.02,10194178.13,10194178.13,11059533.42,11059533.42,70809533.42,13183248.42,535820.95,26729383.96,9039387.61,3821160.05,0,0.00,8483477.75,4070979.99,0,0,0,0,0,0,0,0,0,0,0,0,268300.11,0,0,0,0,0,0,0,0,0,999552.58,4029552.58,3862673.68,3551502.11,3975700.00,945700.00,1000000.00,0,474048.00,424480.00,396580.00,122800.00,0,444102.00,794722.00,873760.00,946872.94,833365.50,53690127.66,53158520.04,50000000.00,0,0,0,0,0,0.0
4,衍生金融资产,23686546.46,3028075.00,14029645.00,2826289.95,36606779.35,32939871.55,51596843.49,37614516.84,12137036.69,6907730.16,8924463.69,27550798.69,5342498.69,0,1205400.00,4635453.82,9287723.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,821689130.30,1471053165.01,1225969956.06,1380822422.06,1381560912.31,1897541129.91,2135694875.15,2732682998.02,1952141764.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,182179637.21,632838802.29,551495441.71,471680769.62,834700218.77,894233172.25,1112708029.92,1077560932.96,1200899192.00,1092376506.49,890287164.35,649005471.45,714380767.80,432898146.39,582955066.91,779150673.77,1295789592.05,1093681091.44,1056573404.52,759650888.08,1014819683.30,865142231.92,828109583.15,635441185.55,759442285.61,1313978916.45,1101826549.28,903015204.37,1063434492.32,1015388621.61,692736526.80,908851626.67,927750909.98,1005599191.30,483682015.56,647857258.21,381512560.05,370951668.82,640186514.89,471666408.15,389078264.69,282082876.07,216727030.28,216349070.84,110115148.68,242912482.23,322159895.06,436569857.25,717295885.48,200601466.20,193062745.95,182469386.45,78379016.47,82368255.84,80440158.73,26544134.12,36763342.06,41543830.39,33164284.39,29856210.54,53859566.33,35105571.21,28111941.42,24667878.95,17316335.63,11339815.97,13466320.11,0,13578738.16,3570134.99,250000.00,250000.00,1475000.00,0,0,0,0,0,0,0,0,0.0
7,应收账款,639509493.09,838214362.72,674474514.35,909141652.44,546860693.54,1003307957.66,1022986845.23,1655122065.06,751242572.93,1093222184.92,967838803.89,1018593797.44,820123472.85,838405578.16,732975413.21,1068894593.54,511024834.95,925306999.17,767002372.94,915419936.81,378855721.01,671719811.69,462115390.74,701875451.98,348004875.67,446944136.34,455387963.43,512622598.74,365786821.17,464227968.47,300066906.28,468029667.18,268221698.31,664833022.79,473372783.54,672600866.24,358982374.18,771056631.56,457476083.10,514222366.06,315411794.19,345150256.34,425621379.09,681835968.18,326432767.16,774582987.64,670107013.53,655375457.30,437332564.80,554673017.39,358801719.47,372964631.04,301951228.27,317976949.74,255616651.22,254439063.66,216464728.69,236955866.88,251297090.02,279542889.68,230915129.91,231220491.83,233745664.76,174653286.07,124898619.89,193296361.82,165771577.62,0,170739323.68,215146946.11,272631534.02,271307975.45,277655164.09,224605583.76,198253545.50,165059711.53,101017694.55,97249330.02,148060024.87,141979956.01,107486465.94,0.0
8,应收款项融资,500235203.98,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
