,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,56452371832.53,49891869866.74,56791885860.74,48960048897.95,40647532884.06,42426330649.81,42841346186.51,40591803405.78,37009464495.18,34460702655.58,36444229729.18,34665917836.05,33661137100.45,30573225873.51,27021018337.57,26374190180.51,25368524052.24,22852502534.74,24216910201.84,22382106584.48,20816459339.53,20044935398.40,22776856360.03,25763495274.95,24575610378.69,25756055774.56,28805906991.02,27845507237.17,25767578096.67,23191044991.02,22883165830.13,21550861665.98,19030416620.94,18211566393.30,16190659506.01,14134459002.65,11473084733.45,9943205585.66,9543660882.16,7543588700.03,6563567876.20,4846347515.20,7097277732.79,5925396594.68,5838715882.93,5184237841.41,5228632196.64,4060766891.58,4688729262.02,4276319962.59,3803378130.41,2786258119.36,2656212411.03,2443574846.87,2751216145.86,1971067990.40,1571661619.25,1479638954.09,1234840555.35,882624670.09,1470310894.12,1314054756.03,1899142830.73,1005084907.16,1273345510.11,1561217592.35,1554658715.24,1335725854.02,1611944400.46,1812460414.32,1781245268.29,1527575747.99,0,1560164527.05,2177885886.64,1708793574.88,599617487.90,931290888.93,1244311406.35,1052654663.30,908361204.26,170626574.80,41123701.59,38805248.43,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17820853.44,18995628.80,15283286.08,16286287.36,17696728.00,18266062.56,17745495.68,20578616.96,22475006.72,20756261.28,20693323.60,20743819.28,25799079.04,23705071.80,10613694.93,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,8086247.16,16168058.00,16238843.00,17452698.00,8690137.16,16359058.17,8218308.81,10441030.80,2794536.90,1841793.44,1841793.44,2342583.24,2342583.24,2813602.80,2806922.80,1431037.52,1431037.52,2307717.82,2313897.82,2373641.41,5927785.00,10930414.00,11289741.12,8862440.00,16223320.80,0,6864862.14,237722120.95,8366263.14,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,12521706485.47,15222739030.99,16215150004.36,16261973287.83,14479367036.37,17156257482.85,17349190757.99,11297770038.17,0,11649542492.36,0,9686800987.44,0,11276219789.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,12338936018.69,15058657510.14,15890647968.15,16134641950.86,14319733592.74,16977557220.09,17196073686.74,11188200510.91,10434216114.75,11527797189.12,13159107548.99,9579098215.23,8483681711.95,11151897352.93,16167613235.60,8665339281.59,5830649754.77,7425023965.36,7622456071.82,7369422899.46,7364396469.04,8952154232.82,9153573194.81,3625484719.41,4104036271.09,4247102908.23,2885552496.44,2594222586.93,1671281067.58,2399499494.96,2374016621.27,1938673301.02,1656244403.19,1619094085.50,2516511592.33,2180616262.52,1425521975.44,1276951868.41,1410762154.18,1842131762.62,1011783426.12,566096206.29,298348819.12,601748849.88,510997030.20,352053475.43,397695819.48,523942546.50,438071678.40,379986577.06,700835412.31,669717586.73,636883188.83,418106596.38,551795849.78,567966196.00,914569335.20,975117540.53,611455924.19,683957089.00,486619894.12,550250862.00,391663000.00,550460821.35,566707454.88,280062160.00,264602772.00,376468732.00,305916880.00,243659520.00,184015332.00,98460640.00,0,148695117.40,93413130.00,93229460.00,146284500.00,95218000.00,64188400.00,26924000.00,2600000.00,0,4000000.00,0,0.0
7,应收账款,182770466.78,164081520.85,324502036.21,127331336.97,159633443.63,178700262.76,153117071.25,109569527.26,117313272.51,121745303.24,153556780.75,107702772.21,127688546.06,124322436.60,146053117.66,106953033.25,120971070.58,142355074.77,214776783.08,122947745.88,130143929.04,132997074.34,94682124.10,75473277.19,127791575.36,122003853.23,137135845.07,80997122.24,139523546.14,111469617.21,91302403.83,75620180.15,107612919.33,90179133.64,135662395.46,89308643.66,95257645.41,121431445.87,106195171.78,102759224.96,218856184.69,81047717.20,41423790.42,5170935.73,20361430.23,16460544.41,62119013.29,6792521.38,60092296.23,10677560.94,62527448.84,6260195.02,58185536.70,5688086.54,4505066.06,3485923.59,44915049.40,5919635.07,47660585.80,2151313.52,57118311.17,2989801.70,10392876.48,2709674.42,3297701.91,6416936.28,240365350.56,2926977.69,5068027.75,37640854.09,132748147.05,7910472.45,0,78436213.89,38304361.76,15162121.77,99818939.20,104285129.01,31475559.05,13522153.39,3188798.42,1781269.24,2927659.32,2788901.88,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,570363234.24,229308693.74,251425595.47,220916820.64,661505054.35,457883202.29,459361428.92,198058435.49,285151661.41,237477969.99,363047875.53,271649757.80,281844564.43,314006426.76,389494047.28,332130005.32,198250284.71,199040884.59,211099303.17,298155704.17,567747380.69,224045622.73,145246155.97,213651778.22,375593573.02,226754621.13,109493039.03,258719181.60,278664739.87,251995509.90,263222943.09,254497498.01,241814896.36,218455551.14,275157634.21,328380998.28,191907282.83,323106093.92,348428191.01,195685085.40,184675932.61,139038405.69,41232496.46,45462986.79,11928878.33,10500016.78,5023436.71,7624049.38,2496309.30,5602998.94,1716533.62,2846244.14,4130276.51,7161550.73,67045199.50,81478767.47,8635003.25,5840481.63,2818645.49,6959145.87,820864.99,2720360.71,1401151.11,201151.11,279151.11,1294471.81,1551502.91,46973092.11,7921870.32,15255469.43,21453880.15,4955055.36,0,53713400.82,401627395.88,114124914.41,347571735.84,547588023.93,50037907.73,52103421.99,136861423.20,43872563.14,812211.00,17203730.27,0.0
10,其他应收款(合计),1408365887.86,1316401090.85,1074109682.12,871770375.85,879193067.01,950911253.66,744323416.00,634267732.09,0,855109775.28,0,622802117.29,0,643274004.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,1352413592.68,1267828846.79,1026208780.84,840888887.75,0,896209492.20,698586641.74,613136431.43,749721710.38,829863225.00,696005435.28,604019151.69,553030925.94,579948348.64,434804190.70,398511238.65,393919064.10,371591340.93,256097826.94,216399146.66,308673824.20,342299854.17,296183029.96,355196983.69,455867454.29,468116161.61,446820156.71,418175820.61,429918420.90,377424524.45,294469156.37,295940185.10,136641507.17,147828634.97,39873135.91,63714535.91,17555203.17,48182973.82,12057261.50,29337771.64,2021425.00,13592850.00,13090025.00,52818875.00,2013750.00,49343103.83,6723978.76,43219626.44,22055917.12,34057542.12,11063062.50,23900187.50,14764375.00,22445562.50,6350562.50,10667991.02,6884375.00,13199379.74,8005797.56,4424750.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
