,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,17892924438.97,16099116982.40,17563315086.77,18454993556.31,19812511192.32,13883383103.94,4282329099.05,3821421784.15,2440403292.84,2059080333.19,2136095264.99,2239461938.08,1915508011.38,1823722162.58,1996797709.10,1692404218.02,2025082536.68,1735504152.65,1621051545.73,1644716936.53,1868037918.34,1529247231.26,2289226969.41,2160208160.07,1774091936.90,1535243648.53,1796607663.38,2170256032.79,2007367196.09,1845962343.24,1875937048.26,2304448627.50,1513499013.68,2225716404.16,3032852685.64,2525218498.04,2510516436.21,2933548229.73,2823180695.51,2036370612.88,1445943407.82,1599246961.69,1382334890.84,1466674611.76,1445762307.77,1517428464.38,1795275487.50,1753196002.65,1527078054.79,986948435.07,1028885042.33,1077732867.40,975702544.44,548352081.07,470939443.77,595911859.95,471937633.04,477513230.29,476721202.04,436741836.40,298697444.85,428242019.16,539935670.82,256008425.14,280883763.38,229618343.97,223575576.26,200072611.45,257957199.23,349561381.12,368591235.43,346440085.56,342942777.50,367862106.02,390246354.68,399900793.01,398193548.55,351082364.92,320457720.01,310171188.47,405720124.38,0,194998833.04,0,188492402.40,0,109063320.00,0,121057964.16,48487560.34,67375877.87,204510271.45,10616818.25,8644467.52,6452561.99,3694634.50,0.0
3,交易性金融资产,1004832003.28,1678281749.73,1664133515.31,1593317111.51,1110474011.52,540252888.51,767647657.58,693853128.29,541876328.70,340340566.28,927489027.74,318195724.93,638675286.23,389271616.50,384774021.91,1062370842.97,543192745.35,424361129.99,555645466.58,498565243.13,874920446.70,1121087428.77,1002926995.67,1298861043.73,1523228192.89,790645020.45,678124690.15,53005041.35,51657460.90,1606948.90,0,0,44433792.00,0,11460000.00,37565298.00,27400361.44,9892233.00,2498720.00,2189340.00,357654.00,0,521950.63,822940.26,1599420.43,177297.83,103489.55,223758.26,529260.85,187937.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6185193.54,9478019.41,18699586.71,675329.10,288385.71,288385.71,288385.71,3819102.74,75248139.41,21719685.00,0,3119807.85,0,3486341.56,0,6186990.00,0,11039109.89,109729600.00,139475000.00,40474543.84,0,0,0,0,0.0
4,衍生金融资产,27352329.78,0.00,0,0.00,15805628.72,19902077.72,22285157.02,15605923.97,13748626.50,3139798.55,2266006.75,3449605.95,2206660.12,3070958.00,2905101.22,2952359.55,3163740.23,4687268.00,6448514.10,17276245.56,14827575.00,11579051.80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,764400541.33,2075736586.27,2168125943.79,865894202.05,1195442999.23,1328125089.58,506299025.48,565296748.72,217309136.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187379757.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0.00,0.00,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,26805.60,26805.60,0,24103.00,29103.00,1144455.09,1766828.49,1710294.92,1012718.60,1630670.80,1777091.68,1576945.95,1530627.68,2048985.58,2023103.80,1874940.50,2503377.55,1691364.00,2321663.60,2218448.80,2333851.08,1725465.24,1825485.57,2067398.43,1463320.40,862350.00,1000000.00,2136439.72,2303291.28,3036769.08,1491085.80,125647.00,125476.00,105489.06,0,0,0,0,350000.00,300000.00,0,0,0,0,0,10193612.08,14193612.08,0,5000000.00,10000000.00,10000000.00,0,4915943.30,1419289.13,24825.32,26918.75,39722.19,134971.33,33822.82,1199249.31,2976000.00,3200000.00,0,0,0,0,17059.00,0,0,0,775486.85,163209.11,47507.12,0,0,0,0,0,0.0
7,应收账款,764400541.33,2075736586.27,2168125943.79,865894202.05,1195442999.23,1328125089.58,506299025.48,565296748.72,217309136.02,979608659.72,318092457.83,402155960.45,234272532.77,830875521.06,248092751.27,293811410.61,213995358.66,834532431.90,265589588.17,309539330.41,200355738.82,465948348.93,190170226.99,343072423.51,185612929.38,228393352.59,287722242.62,323347991.79,194587471.75,489307430.81,146540793.32,191769096.15,225057167.33,292726539.95,131720283.23,216424012.22,123664276.93,215227994.42,129360279.81,168991270.46,128406396.54,234594854.77,156370435.52,130560385.86,131880357.54,215493922.27,180027276.77,193043096.05,169241113.43,158104451.22,118749809.59,137898998.72,108375618.17,142437657.72,95043499.48,127956339.79,87566097.49,123941674.04,112720006.38,156744031.67,149520842.40,152606974.87,122641925.50,129698542.11,140391779.71,134664865.97,103733404.66,109115603.90,126995055.30,177432931.76,180006286.31,158842415.40,168244354.47,173082957.96,160412798.06,206083932.16,164972360.21,168164768.36,155942393.86,165724810.17,122565622.46,0,83315095.53,0,63333416.96,0,0,0,23282385.23,22723871.01,11568045.22,24511818.41,12171886.03,6932855.46,4365272.90,7333375.89,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
