,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
21,流动资产合计,685293718.55,731091223.01,773941258.43,808753554.58,853062162.71,869336919.16,899570477.78,994956475.44,966314448.65,1038277353.33,1111004289.23,1247072521.51,1238569338.33,1304089354.24,1202861676.31,1222476866.37,1168621823.68,1113525684.03,1039539441.40,1201083424.88,735656649.19,762789548.70,687074100.52,706859868.29,589748678.01,601801204.67,601728265.15,642126596.64,695958691.87,283140083.20,258940674.68,186733991.47,107931268.35,0.0
22,非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,81303000.00,82300000.00,82300000.00,81300000.00,81300000.00,77300000.00,77300000.00,22300000.00,22300000.00,22300000.00,22300000.00,22300000.00,22300000.00,700000.00,700000.00,700000.00,700000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
27,长期股权投资,346632569.92,360599512.71,358461016.95,357176593.26,140913280.05,138576332.99,130535332.99,133108525.69,112125543.23,98568549.40,60458261.62,42365046.86,41517708.75,42383851.08,40638393.52,21953574.83,21732310.15,11516402.50,12000000.00,0,0,0,11440000.00,0,0,6739964.41,6758553.41,6742650.93,1890857.62,1919369.41,1995488.40,0,0,0.0
28,投资性房地产,81989806.55,53250837.93,18444046.62,22841423.85,4344206.62,4427905.18,4511603.74,4595302.30,7641551.36,8051298.39,6637636.74,9529616.31,9719991.78,9910367.25,10100742.72,10291118.19,10485684.96,10680251.73,10874818.50,11069385.27,9144600.14,9304176.47,9463752.80,9762489.22,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),118267816.65,116817522.70,115083757.97,103327810.58,98520465.85,95880471.31,90576304.52,81041968.94,0,233127027.76,0,229009050.68,0,222393978.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,116817522.70,0,103327810.58,98520465.85,95880471.31,90576304.52,81041968.94,245469035.84,233127027.76,235949420.08,229009050.68,224066273.92,222393978.57,267990753.89,235170941.86,205028961.94,200311113.07,182775679.07,160258437.13,127158635.78,98357046.44,92806202.01,49943662.52,40223890.19,19934451.20,16021911.31,9560318.33,2173154.80,396414.48,4014055.00,889265.16,26669337.26,0.0
