,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,29075115.91,58745739.89,40060978.35,28530063.73,54772204.86,48753105.33,6169323.51,27118153.62,88340727.28,80964382.61,80716095.17,48678852.79,90529666.20,81751683.13,65715507.14,60712140.84,76938427.09,81111769.30,70406124.89,53974160.37,51322596.75,41447939.39,40952968.36,38691452.50,46957708.35,43551789.80,29314335.24,29839214.81,31861991.63,31619098.86,46917225.02,30193549.92,48959854.27,50657527.06,54197315.74,42969887.24,33495542.02,31077353.05,27414933.70,25827930.95,24091937.47,31958995.49,29399522.40,12165878.64,9239295.15,16402323.84,18774823.91,16910145.77,18341797.22,56436020.34,60331840.80,47494343.88,48235242.38,86668536.08,84739131.66,80530927.71,119909866.41,89615222.24,89080908.13,72786526.10,68406415.12,64708092.74,59499316.93,59905532.05,180642363.31,183085711.20,209636573.06,200999231.64,181313954.30,44456573.43,49477076.26,83684365.29,23598489.81,19025437.70,8213998.83,2179306.15,1755952.49,4009600.00,0.0
10,其他应收款(合计),70876311.32,64922795.76,73842076.08,38571075.64,87329487.78,81090607.59,20973411.76,35602731.79,0,71394584.62,33792132.27,27943154.08,0,30073918.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,221339.34,429.45,56112.37,41020.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227500.00,461500.00,283000.00,707300.00,650650.00,588380.00,746982.50,422400.00,512175.00,408300.00,408300.00,0,0,0,0,521250.00,2057900.00,0,0,0,0,0.0
12,应收股利,869921.00,0,0,5223.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,64922366.31,0,38524832.17,87329487.78,81090607.59,20973411.76,35602731.79,83313833.58,71394584.62,33792132.27,27943154.08,30574428.46,30073918.40,28163103.97,24036949.21,34199424.82,37719283.70,53752286.00,38963148.50,39620124.54,47313287.61,47191939.93,45169111.33,54015864.23,193600308.72,38265519.72,30633856.66,30375639.45,32493895.96,42576005.75,43820912.64,57671687.74,38001653.33,24869623.23,23624919.97,35590119.09,31878162.70,34713207.23,25266729.65,15604772.65,8886837.94,17496957.65,12680985.51,35090127.33,28291479.54,37893028.36,31517077.25,38070980.65,54388766.90,38248755.46,37497204.80,38272329.13,42363611.28,44392005.77,41754929.83,72621474.58,77259553.33,96060930.79,63882011.68,86090137.58,67635749.70,71293972.66,59906689.33,69230371.25,52366139.96,90261366.17,88393779.10,134232485.53,102617764.47,62798536.15,41993940.82,33875151.42,23469268.48,8869241.53,7823487.51,5224079.26,1865868.21,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,566149302.92,582659129.53,580919938.88,548648973.31,529714349.25,554887299.32,577191725.46,505855002.02,477804296.69,498738069.93,559835491.73,493842186.61,488966007.57,507320741.28,536712292.19,462505128.31,483829944.56,495060102.22,510956344.94,479094818.08,485056447.22,498873518.37,462983628.49,441714616.80,469289081.99,462186436.82,454207108.46,416074455.41,405777281.40,395746526.11,372763007.02,338876838.04,323593111.49,310143177.53,277983915.36,272523174.14,269781141.50,252322673.59,227723864.67,226054165.74,245907934.67,262619658.75,227498236.74,246292271.25,357755447.98,333026206.66,306205356.34,303203966.58,312611379.68,278390867.49,268455312.63,264476162.21,287528171.61,265857736.79,239158621.88,222913344.13,206237573.18,182490814.50,162357499.37,159511217.44,140536958.29,274851408.73,254128260.07,249547644.07,128713065.76,124199876.97,103827385.72,104133229.86,106316482.47,91146111.08,78070175.57,61492266.78,32058695.32,7003513.94,17065451.94,4389737.97,3551647.63,290307.80,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73866.11,307226.53,219856.34,298780.31,136779.90,351549.70,517211.15,834421.18,1288448.27,736016.65,488276.18,596069.72,188506.28,802315.94,692667.58,710720.21,306431.63,5755965.56,3898093.88,1979247.01,1071446.68,1290482.19,456143.92,0,513423.00,73474.85,2941.16,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79847.74,0.0
20,其他流动资产,73992214.99,47544778.47,22182920.19,15659748.58,844097.77,827069.17,1827069.17,4929923.09,39222430.66,335181.70,390707.00,225357.88,770789.73,489828.42,684690.20,28360684.40,25388447.57,25494468.57,33522790.64,25970802.90,3885106.27,18297819.54,2661743.13,1938706.16,3110788.74,2192045.50,1964293.99,3426017.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275635.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
