,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,7000592174.04,8423513582.16,11493781592.79,13939729772.83,14401570255.75,12245555992.12,14519867277.06,15038188383.77,15712376806.59,16594427961.64,17023456875.20,17476081460.54,17574880380.68,18024711199.44,364546076.36,580383486.19,456432402.30,315229682.22,424321090.54,517451285.02,427932253.88,495488680.46,328812205.66,501881846.81,825299722.66,231581021.93,311700173.49,394882351.25,300373055.91,280595782.62,331250788.24,415713908.49,300449068.39,373603144.94,324962433.02,294981946.17,332109605.58,484523723.64,478222155.49,477719888.57,292186789.75,519094779.01,485813717.34,390343381.35,215848062.07,415090159.06,237819032.56,279495768.99,247948324.18,170518195.21,192006348.20,209386484.45,230502039.68,249069841.48,134861596.47,240470272.88,160189261.20,393804349.70,358245487.02,397113848.87,277865277.26,86805398.12,109008746.79,119539430.66,113686119.76,0.0
3,交易性金融资产,537576.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,18607694181.12,18244604163.83,17664856527.73,16923926408.57,16313755310.44,10941854735.51,9527715383.27,8873855810.29,0,7908650933.28,0,5903313182.76,0,6261849749.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,3008403755.46,2220533648.35,2384808134.00,2770711735.85,1778417454.95,1353634724.60,1140248393.10,1448144397.99,1195558149.55,1185556612.11,844282289.71,1023513178.17,662662492.95,612573926.30,107841892.74,154885286.34,226510894.46,131606793.42,174566331.48,165744318.53,165862053.74,147450788.60,197213035.10,208799295.24,250705963.98,181909175.66,64580732.00,75024593.80,121191283.15,143127535.68,128597428.80,271573463.15,296330341.04,181583896.61,166324117.43,100695574.83,76683174.20,143908428.16,108737426.01,85921182.33,147918575.44,75509706.87,133890734.97,80446724.14,122451306.81,123369428.13,200453365.02,160497707.11,69401374.96,69941432.31,56546514.33,39532723.81,43787584.12,36512185.49,22270852.94,16960814.40,37769085.52,24304189.29,20058672.20,19082900.91,29477620.02,18533513.51,21338188.18,8028181.61,1100000.00,0.0
7,应收账款,15599290425.66,16024070515.48,15280048393.73,14153214672.72,14535337855.49,9588220010.91,8387466990.17,7425711412.30,7122842913.16,6723094321.17,5251760654.89,4879800004.59,5474257094.02,5649275823.08,543381698.21,416664516.84,588063496.23,621911489.44,596229780.82,512964909.82,584181055.59,558703546.30,566949367.59,472314981.62,510267416.49,601189311.37,532534062.54,430127157.03,469592122.91,442934523.83,438742901.26,370847994.96,415145000.72,402906626.87,446240735.21,317944226.54,389586427.78,345720187.69,275486922.81,278719234.43,238627063.92,279623595.71,219285617.73,258064765.43,467498337.41,493822642.98,482257750.54,317471371.31,229595553.41,214765703.96,206830198.54,180367351.48,204928900.71,237493685.70,182386383.96,161988315.32,201552551.89,175263560.24,179640108.49,140787967.01,190629556.51,172731032.04,148054369.52,141895110.44,124405096.15,0.0
8,应收款项融资,1875012.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
