,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,103864883.50,87193825.16,70674688.14,78982116.68,124300445.14,98951368.75,97386700.37,115228961.60,107303983.85,74702972.18,103765164.14,117470558.78,53891896.97,41562480.23,42109036.64,46389555.27,42481841.69,29578196.64,60348197.80,63447092.88,50714077.47,61143897.13,78049816.83,131065397.61,102392888.51,71030196.10,94244369.45,106556008.19,110948091.64,120415661.19,83365394.35,77863013.07,112910442.46,156162412.87,102133193.77,134065834.76,96085976.00,67914289.52,98074277.89,101031125.20,106958334.69,93166693.33,93286927.34,132008965.60,95237679.24,117557089.32,129780863.79,157927388.66,124811791.55,99940076.26,123995919.53,113531800.65,132934815.42,103465115.52,153290728.37,129202749.64,105720881.13,150599084.99,129684241.08,119492351.92,103781716.51,99382593.28,87302620.23,99062912.64,20116464.35,53809103.86,45805242.28,31931676.38,23754039.69,30562987.73,62224250.57,34804496.33,36682435.99,10033687.56,15262863.62,12472659.59,2111994.17,0.0
10,其他应收款(合计),24044994.84,22271354.94,39632881.71,39602181.98,7597067.55,4270947.10,4812234.32,3893940.80,0,7126389.75,0,4597325.93,0,6004958.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,289166.67,45833.33,424628.81,460713.70,519776.71,178561.65,121100.00,481100.00,350800.02,1133800.00,515900.00,916500.00,0,952643.83,1008391.78,1215500.00,1797200.00,5971300.00,8667273.93,6772779.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183150.00,0,0,0,1703700.00,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,625000.00,625000.00,625000.00,625000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199250.89,199250.89,0,0,0,0,0,0,0,0,0,0,0,0,2108156.05,2108156.05,2730000.00,0,40000.00,40000.00,2771229.97,2731686.64,3400000.00,0.0
13,其他应收款,0,22225521.61,0,39141468.28,7597067.55,4092385.45,4691134.32,3412840.80,7497549.28,5992589.75,5193018.32,3680825.93,6185754.39,5052314.41,5472027.99,3523359.60,6961861.27,7428713.81,7389511.07,6031512.67,8894274.02,9033427.38,10054052.51,9938107.69,12254554.50,8878675.52,10236316.47,4451330.93,6629586.91,7321867.13,3549289.77,2252209.46,5209479.56,4578617.75,7422717.64,3781998.98,6217635.52,8199204.49,10933326.91,4804514.68,6029146.82,6035599.07,3569531.04,3727182.09,17581370.32,16749641.88,16705651.40,13718640.79,16363860.82,16334274.20,18330353.32,16893955.33,4104545.98,3762071.71,3319470.83,2920453.33,283421.93,2672954.72,3655571.17,2080356.26,4444079.83,2660392.78,3323778.40,15851346.39,2915610.90,2733300.13,2619683.61,1939416.70,3292489.00,2833725.49,2894142.74,2054660.98,6318399.10,9963496.85,37867541.88,21338610.87,6209562.44,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,490905223.40,476027919.04,469192059.62,531141279.57,523348457.47,491084883.79,497424918.16,459661794.15,437756739.98,408824188.93,423943071.03,365532295.33,345282402.13,329796714.25,344443069.80,327019658.28,345359414.63,380942356.87,395093210.35,433763438.75,461843112.41,496004729.83,484459443.98,507429604.60,467167556.62,460725190.01,475749976.83,462529131.16,395998911.63,433954779.76,400860651.74,454493376.77,493782267.20,459893764.72,448251461.29,441464648.46,345352787.83,393758554.31,372810546.66,378880449.66,308187504.72,292977868.06,250025924.35,325187043.72,372078202.91,394538120.31,318765354.02,317715667.36,255544049.46,281555453.44,268938662.07,260194583.76,196049828.84,229385221.52,205610451.76,200714440.95,169837958.95,182676330.10,182911347.43,181288782.42,146436825.52,130623473.50,154171025.84,127267987.44,90410356.07,90630152.35,88895092.88,95114282.07,80850740.64,80688657.95,79219760.12,79380352.69,81764050.03,82265568.47,65370266.50,57566158.46,52999859.38,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401678.64,787231.13,786357.62,837235.69,441155.62,685413.49,1043657.65,1251274.38,979720.61,1024977.53,1177023.76,677279.17,500830.17,553939.40,777395.35,619387.40,498743.20,469032.90,593517.26,578110.58,463827.64,557381.54,566169.08,601876.64,633146.38,531414.93,0.0
