,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20061231,20051231,20041231,20031231,20021231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,9064971000.00,10628918000.00,13638573000.00,18407411000.00,21295940000.00,24780613000.00,28012225000.00,24640613000.00,29903178000.00,18092106000.00,20337839000.00,24668833000.00,25895495000.00,25583458000.00,20577943000.00,15378902000.00,22487875000.00,14913733000.00,20117982000.00,19130824000.00,17932190000.00,15344451000.00,22041048000.00,16112560000.00,12425853000.00,11489064000.00,10950710000.00,12260366000.00,10191608000.00,11372028000.00,14184517000.00,16176797000.00,11644741000.00,10306951000.00,10407886000.00,10640042000.00,9495645000.00,8445744000.00,11229277000.00,9041569000.00,7858760000.00,8515459000.00,13994550000.00,13361468000.00,16295585000.00,10570381218.47,11590371000.00,11966178757.99,7802907000.00,13712077185.79,16396998000.00,12983061000.00,7597727000.00,6223763000.00,2596440000.00,2342254000.00,0.0
3,交易性金融资产,3503175000.00,4810163000.00,2007952000.00,4811000.00,16141000.00,8308000.00,30998000.00,18751000.00,9534000.00,44272000.00,28967000.00,20237000.00,54756000.00,2186000.00,1391000.00,0.00,2058000.00,7770000.00,5418000.00,30643000.00,120901000.00,51515000.00,27636000.00,24000.00,23000.00,9973000.00,343000.00,1754000.00,8983000.00,62015000.00,3527000.00,11155000.00,5807000.00,128273000.00,19970000.00,20518000.00,17208000.00,21004000.00,55704000.00,2184000.00,64000.00,672000.00,64325000.00,120017000.00,57864000.00,95563200.00,18266000.00,8551661.67,8103000.00,27024072.95,61345000.00,0,0,41530000.00,50080000.00,4859000.00,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,4559112000.00,6518981000.00,6365991000.00,9122787000.00,8100532000.00,9022535000.00,9240278000.00,9138102000.00,8026209000.00,0,8463579000.00,0,7327181000.00,0,6577937000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,2477292000.00,2894482000.00,2711596000.00,0,2563793000.00,3714212000.00,3258958000.00,3609425000.00,2840582000.00,3163027000.00,1808907000.00,2209538000.00,1512818000.00,1266561000.00,2267179000.00,2702776000.00,1467120000.00,2332964000.00,1480751000.00,2033531000.00,2344553000.00,2142453000.00,2388785000.00,2633622000.00,1743292000.00,1190643000.00,3768710000.00,4935174000.00,2781643000.00,4136568000.00,3532216000.00,2348103000.00,2227851000.00,1981570000.00,1109760000.00,2017093000.00,1753368000.00,1785631000.00,1136182000.00,740923000.00,293148000.00,722285000.00,1176593915.84,1517341000.00,987830293.86,2403876000.00,1998221806.18,2129496000.00,1734707000.00,711569000.00,1524195000.00,402899000.00,1068056000.00,0.0
7,应收账款,4559112000.00,6518981000.00,6365991000.00,6645495000.00,5206050000.00,6310939000.00,0,6574309000.00,4311997000.00,5847862000.00,4854154000.00,5103861000.00,4164154000.00,5108044000.00,4368399000.00,4659447000.00,3884478000.00,4478211000.00,4036557000.00,3718242000.00,2979611000.00,4933823000.00,4954641000.00,5699899000.00,4014152000.00,6760251000.00,4273593000.00,4546464000.00,1425219000.00,3223395000.00,2553942000.00,2537402000.00,1495197000.00,3344696000.00,1693395000.00,2603782000.00,1288403000.00,2500950000.00,1941435000.00,3850430000.00,1417451000.00,2496238000.00,1550651000.00,2808550000.00,1313039000.00,2303706199.97,1561154000.00,1817482414.00,571792000.00,1334464915.47,611534000.00,547541000.00,249622000.00,440932000.00,527603000.00,1001170000.00,0.0
8,应收款项融资,2834011000.00,2439515000.00,3076196000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,863872000.00,2170500000.00,2205454000.00,1974776000.00,1550182000.00,2934430000.00,1978025000.00,2574556000.00,946583000.00,3144871000.00,1499293000.00,2721538000.00,2743279000.00,4296550000.00,4518278000.00,3781658000.00,3746620000.00,3663609000.00,3616758000.00,4539795000.00,3266451000.00,7954595000.00,5690872000.00,7060621000.00,5805619000.00,9697264000.00,6977105000.00,7415895000.00,4481005000.00,7402982000.00,6167780000.00,5892775000.00,4034410000.00,5299493000.00,4394065000.00,3962649000.00,2151423000.00,3230971000.00,2217206000.00,2314451000.00,1240937000.00,1726760000.00,1193009000.00,1567586000.00,1058238000.00,2871052781.94,1852341000.00,2015712415.25,1373705000.00,1520021244.55,1088182000.00,1118600000.00,582177000.00,405557000.00,430869000.00,282536000.00,0.0
10,其他应收款(合计),5738416000.00,6362758000.00,6886091000.00,5683239000.00,4953585000.00,5166892000.00,5157213000.00,4865038000.00,6530887000.00,0,8845615000.00,0,10691361000.00,0,11181298000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
