,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170630,20161231,20151231,20141231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,
44,其他非流动资产,1118431570.76,1425909205.95,1008321047.60,1298901335.85,415681574.90,293403603.49,625001731.36,525068808.10,818438956.14,559144024.11,630939035.37,70316438.57,0.0
45,非流动资产合计,27622355108.00,26006748934.49,23580574965.47,19972281261.14,18617027251.15,17752830160.55,17171727531.36,16629782844.18,14194234078.42,6826989571.55,3168489936.59,982446321.38,0.0
46,资产总计,96311356658.95,89888631586.99,84101272459.52,73883704016.51,63790614595.48,55443992871.36,47823235529.37,49662885758.45,40883616374.70,28588314344.08,8672957501.46,2875108627.98,0.0
47,流动负债,,,,,,,,,,,,,
48,短期借款,1340563717.48,1294039502.40,1403970598.49,1180092100.11,1248978938.95,1401956157.12,1163670014.17,2245096000.70,1257975977.42,1226587998.80,576558942.87,197129703.88,0.0
49,交易性金融负债,314247518.10,314247518.10,314247518.10,314247518.10,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,28134094664.21,27158389509.03,24124867219.59,18898203153.95,15096667354.42,12416461535.21,11671559123.04,13790972911.63,0,0,0,0,0.0
51,应付票据,17244910400.54,17059577651.60,0,11841128076.55,0,6675843483.70,7362937604.85,8812715586.20,5427777223.94,4394039468.71,1041204473.76,104420606.01,0.0
52,应付账款,10889184263.67,10098811857.43,0,7057075077.40,0,5740618051.51,4308621518.19,4978257325.43,6190098389.53,3173395264.55,1472399950.48,384712991.47,0.0
53,预收款项,7212285097.05,7534909203.04,5404891136.69,4994400867.91,1704582797.09,349064690.97,518067888.02,203165478.74,192644288.31,87727135.56,170045760.44,8715160.00,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,1519823498.03,1317233803.46,1336293223.26,1122253456.83,596544931.31,524449445.70,509591839.94,517308034.99,402945039.76,446249267.28,198490932.79,21201376.97,0.0
56,应交税费,1213384710.92,803066668.27,1122299621.77,722536564.72,705588018.28,271459638.63,306609488.43,436196766.94,396746820.17,248297683.21,252617557.72,30587729.51,0.0
57,其他应付款(合计),3211946796.13,2998771424.99,3900340464.30,2924184174.56,1646424623.68,299269277.19,312843052.97,332362146.18,0,0,0,0,0.0
58,应付利息,29996067.26,22426699.31,20963013.91,19842845.23,0,16260284.94,16269159.28,15205262.28,8666706.59,5776292.16,3639309.42,92346.79,0.0
59,应付股利,2418687.95,311692470.80,0,0,0,0,0,0,0,0,0,0,0.0
60,其他应付款,0,2664652254.88,0,2904341329.33,1646424623.68,283008992.25,296573893.69,317156883.90,361005463.17,360240077.32,311755056.01,62047482.54,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,917868306.62,830307415.47,990251685.25,929024032.37,826658774.41,785188697.21,449364718.01,364944599.97,129784955.93,240511234.77,1322574459.48,127376000.00,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,43864214308.54,42250965044.76,38597161467.45,31084941868.55,21825445438.14,16047849442.03,14931706124.58,17890045939.15,14367644864.82,10182824422.36,5349286442.97,936283397.17,0.0
67,非流动负债,,,,,,,,,,,,,
68,长期借款,4630256269.72,3638729122.03,3394334761.13,3490767815.96,3245327066.37,3194631603.51,2755256273.24,2129095275.13,719950000.00,302000000.00,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),917159562.24,925232995.13,934764875.61,943414523.31,967479380.02,899399594.33,894088692.78,895045177.66,0,0,0,0,0.0
73,长期应付款,0,925232995.13,0,943414523.31,967479380.02,899399594.33,894088692.78,895045177.66,913849883.01,950079201.39,917666570.26,1344911122.20,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,5579606717.14,4313623912.01,3507541924.93,2512382681.52,2821540586.26,2018155174.56,1787562369.82,1789007284.61,1268416291.80,930580458.65,581118102.95,43656244.08,0.0
76,递延所得税负债,177088163.04,58389832.13,41726802.59,40984489.33,42052130.71,34549547.01,69115257.32,68992112.81,82065980.53,28130130.54,30220779.54,0,0.0
77,长期递延收益,653515298.16,635800994.99,626870612.25,611042047.22,360701916.84,425180664.33,404289790.79,419460871.47,377532756.18,403581087.31,296337217.09,214850053.50,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,11957626010.30,9571776856.29,8505238976.51,7598591557.34,7437101080.20,6571916583.74,5910312383.95,5301600721.68,3361814911.52,2614370877.89,1825342669.84,1603417419.78,0.0
80,负债合计,55821840318.84,51822741901.05,47102400443.96,38683533425.89,29262546518.34,22619766025.77,20842018508.53,23191646660.83,17729459776.34,12797195300.25,7174629112.81,2539700816.95,0.0
81,所有者权益,,,,,,,,,,,,,
82,实收资本(或股本),2208399700.00,2194445000.00,2195017400.00,2195017400.00,2195017400.00,2172437000.00,1955193267.00,1955193267.00,1955193267.00,613321800.00,470590000.00,200000000.00,0.0
83,资本公积,21521985575.30,20966274995.41,21452320895.65,21372918712.25,21332400491.65,20520157651.05,15374442887.79,15354587816.94,15073392635.47,11608553987.09,369014163.84,0,0.0
84,减：库存股,1074894790.00,773581200.00,793701060.00,793701060.00,793701060.00,0,0,0,0,0,0,0,0.0
85,其他综合收益,634925184.41,-101277548.84,-175362167.19,-336839207.93,75236516.05,72148878.24,251679285.89,248500011.58,313505119.83,1566890.34,678828.11,183958.40,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,985878418.69,985878418.69,985878418.69,985878418.69,638253676.69,638253676.69,638253676.69,638253676.69,299841288.90,299841288.90,37079169.44,6954380.45,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,12667619429.06,11305749304.20,10562239859.25,9515006632.30,8854096176.97,7415859086.90,6918251958.12,6504904798.90,4992362867.75,2965362316.99,376303017.19,49744909.19,0.0
90,归属于母公司股东权益合计,36943913517.46,34577488969.46,34226393346.40,32938280895.31,32301303201.36,30818856292.88,25137821075.49,24701439571.11,22634295178.95,15488646283.32,1253665178.58,256883248.04,0.0
91,少数股东权益,3545602822.65,3488400716.48,2772478669.16,2261889695.31,2226764875.78,2005370552.71,1843395945.35,1769799526.51,519861419.41,302472760.51,244663210.07,78524562.99,0.0
92,所有者权益(或股东权益)合计,40489516340.11,38065889685.94,36998872015.56,35200170590.62,34528068077.14,32824226845.59,26981217020.84,26471239097.62,23154156598.36,15791119043.83,1498328388.65,335407811.03,0.0
93,负债和所有者权益(或股东权益)总计,96311356658.95,89888631586.99,84101272459.52,73883704016.51,63790614595.48,55443992871.36,47823235529.37,49662885758.45,40883616374.70,28588314344.08,8672957501.46,2875108627.98,0.0
