,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,106785474.84,123187701.98,93243095.18,62516080.37,62243792.68,29023383.59,34511690.49,70408163.36,22526460.77,24754603.89,506345978.74,141912214.59,23759037.06,16484753.87,5365630.66,5241784.01,3860223.10,6639757.12,9266417.67,7011099.92,20503392.87,8511023.81,13654452.21,7068042.55,9827712.08,9364584.97,17918734.24,39922275.38,59775551.18,36123385.32,35409245.79,37749915.89,74702660.38,36288713.42,45346831.07,65319667.52,76553504.66,67123435.25,64455435.73,97430180.78,54488250.84,51494087.70,30811036.90,8918104.13,55787684.06,87764760.90,107531910.01,134198421.33,86623640.99,45989284.64,52466846.54,34834857.41,23425946.57,32662501.34,85028359.49,31640620.04,133584324.05,193002969.72,100013639.40,76601568.67,66369273.59,44203671.68,28641546.92,28658543.23,27939601.93,14653781.41,24793965.25,25134759.44,24780831.97,17917365.71,15135329.01,20087715.32,15005683.41,12588223.71,11716252.52,11623119.81,18137594.97,14951429.26,2057408.71,7000773.43,0.0
10,其他应收款(合计),286755704.22,146433416.70,125481920.05,56355212.54,37169299.16,11707462.25,22630327.50,18706433.86,0,16013081.12,0,17706589.34,0,19592771.71,0,0,11678639.18,7122325.38,6207423.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981406.25,775156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19900000.00,19900000.00,0,19900000.00,0,0,0,0,0,0,0,0,48251.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,146433416.70,0,56355212.54,37169299.16,11707462.25,22630327.50,18706433.86,20991200.98,16013081.12,13271986.76,17706589.34,23907330.20,19592771.71,36371972.58,29540051.86,11678639.18,7122325.38,6207423.63,6986691.21,32697183.74,26518269.34,32393866.06,29984268.47,4461380.11,3901858.06,7363581.08,3482009.32,4526229.18,3794735.12,4847253.08,4209663.01,5643721.47,5442187.49,8957031.56,6974992.43,13252860.93,7338162.32,6733785.30,3848136.35,69339058.94,69617323.13,14700339.22,1965213.05,8513764.38,9063083.30,14406318.24,11370742.36,44259937.24,54033150.57,110869523.31,72835934.15,114139211.60,466867774.79,466890227.26,358937899.80,79932299.63,78399103.28,19799840.03,268804331.07,24713586.02,40921118.83,40320531.99,39353020.32,91052086.92,3509090.91,1763873.44,1763513.91,4776278.58,2534931.37,3306225.09,3466592.23,6200492.32,6170994.40,14646993.97,23184729.26,13107910.93,15110853.05,13665907.67,16773431.64,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,68472899.84,66046044.80,57834048.17,73481270.14,121491794.50,85897168.97,100356363.82,103116621.79,75504972.29,52429250.34,61057878.87,140308829.64,82171934.43,40498958.99,44597999.20,74610568.23,15303667.68,5900880.76,7791865.85,52120668.02,31456115.12,16309069.80,10026216.50,80719165.45,29494672.83,12503013.52,14162624.65,117221154.11,65786935.84,37472518.73,44113916.23,173748897.78,71630858.49,24146448.86,30351375.74,143035027.82,80680209.94,46922733.99,19618498.30,79760221.66,54847956.19,18642525.47,20952353.56,104620404.64,35961363.20,32274656.17,49854798.83,34096305.03,59847770.08,52668151.34,39151811.71,75466016.53,54869817.98,418939284.66,383402580.71,431476828.88,394937558.50,331998079.86,268614974.80,291155951.51,200935183.50,121651323.88,129070891.34,138727736.54,198958235.11,30746100.02,15850395.51,23224102.00,30480204.31,29024230.09,22672792.39,22050216.11,68737248.73,92117028.47,79361506.85,70701911.92,47988141.88,50736344.70,52256216.31,46598765.02,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231257.95,384166.03,387473.18,0,179127.46,341687.04,407895.56,181122.90,357250.72,4129789.60,659586.60,4294289.92,86080.08,172760.13,0,335614.65,146179.07,292358.09,280615.27,46885.12,56406.48,112812.96,278996.82,16787.43,286015.87,284049.55,787125.97,848862.22,634282.57,931308.72,915613.84,1437154.82,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-627100.79,-15418.16,112541.78,0,0,0,22303.40,0.0
20,其他流动资产,531995397.80,502953262.56,427894152.00,423385336.22,364509546.80,345527698.89,302929065.94,210720362.21,102021117.03,86723379.91,59060766.32,66704136.11,69702711.95,74378390.79,62932274.87,69967692.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16218.45,16218.45,17227.88,14765.46,272034.29,25519.28,0,0,0,14204.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-627100.79,0,0,0,0,0,0,0.0
21,流动资产合计,2928118146.30,2524680181.51,2117364114.42,1836345281.17,2409923714.84,1810224934.32,1838410871.60,1184740327.65,1155446971.25,1304847046.34,1343438764.66,998238790.03,875693925.14,902645266.09,878467364.91,1147649776.57,233167101.22,200273962.37,227648092.08,234791976.12,267443506.00,203375271.28,201233262.64,972027810.11,164075610.53,212454330.37,266664387.82,331869529.39,278747693.83,212966511.59,292276979.71,357770115.54,306674128.99,247942384.34,345084326.83,386306038.57,397019948.73,346767677.74,397664222.64,520747850.45,436566618.99,443291133.47,391797502.59,446987386.56,243015565.36,299531101.24,399175311.66,516574738.73,420074518.97,359950135.94,501569831.44,469643226.65,393469763.39,1228201292.87,1253568885.60,1224577034.04,1055999889.00,1070738437.95,937032097.75,960724497.76,578855127.68,474024849.13,496395659.81,495665077.80,578202600.43,299120250.68,291198483.48,476939617.31,419506855.96,615178877.42,271503840.78,293922443.69,298477849.67,298073940.63,393580366.41,361761490.93,183809147.18,153343614.23,124859026.54,118277088.12,0.0
