,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1067865135.41,2365825878.03,1883570081.41,1435445105.51,1422176134.45,1286115325.80,1130170312.44,1146584228.57,1379287382.59,650886884.19,1794919401.03,2040464119.37,1852804974.21,2098421438.41,1317302853.90,2031478631.39,2168833010.02,2918522416.89,2416693758.84,2235402961.66,2114122661.73,2221651865.55,2260758437.16,2376302695.28,2514560109.71,2375661238.72,2267408812.30,2464565768.14,2228609196.26,2023776159.64,2015103954.13,407823503.90,275753358.91,205241796.62,185741242.87,336055292.13,144049122.13,159873199.80,217601365.43,519887250.93,575163290.82,803885462.41,804667092.52,762520496.38,597901420.00,476774561.23,671295120.61,702678176.11,708864452.38,98135446.36,190325863.20,98637941.55,89907602.89,87994206.94,138595495.03,148098586.18,124318960.11,72794556.62,106615892.25,109861836.15,113430023.58,160817966.91,26783289.63,15120416.19,11311543.60,11241606.31,0.0
3,交易性金融资产,2301759253.52,2160661562.33,2292899885.38,2810880907.76,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,456517477.65,526910709.59,345620455.63,470633291.19,522489460.71,512199855.41,382298346.79,537001378.69,460189429.03,0,276724373.12,0,292998779.94,0,218625591.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,44331032.26,38834834.15,22230000.00,34209600.00,104001623.11,47086928.11,75611550.00,152019910.50,171109110.50,73345857.90,69959000.00,43600000.00,121166620.00,59451200.00,35256200.00,79900000.00,100300000.00,51800000.00,93170000.00,107300000.00,165460000.00,150070000.00,136180000.00,194510000.00,279400000.00,398830000.00,428932491.00,324124585.00,364770483.46,203330483.46,127510000.00,120700000.00,145225283.00,114095000.00,94190000.00,129050000.00,149964401.00,116250000.00,71568800.00,131735000.00,56730000.00,6830000.00,10668703.00,6629173.00,17250000.00,1607391.50,1320000.00,900000.00,265100.00,150000.00,354333.23,50000.00,500000.00,200000.00,500000.00,3000000.00,7600000.00,3640000.00,0,0,7200000.00,7090000.00,600000.00,0,0,0,0.0
7,应收账款,412186445.39,488075875.44,323390455.63,436423691.19,418487837.60,465112927.30,306686796.79,384981468.19,289080318.53,323173144.30,206765373.12,191789579.18,171832159.94,272939747.96,183369391.81,240138888.98,260126687.85,353043339.83,134310938.35,303144248.50,294747771.98,449662148.33,326370067.91,550602249.39,440732085.42,958806032.00,573033553.62,898977436.49,612195654.98,882202097.09,328535947.36,454279530.17,342838153.56,456672200.69,235679363.46,417611711.30,317735914.44,489246223.38,310814393.80,384856391.23,245471115.41,291125495.23,146432889.07,147267664.67,111446212.17,108460186.63,74916780.25,55629715.36,44511096.88,32856926.15,36008174.03,38232051.20,29953734.01,25767173.50,31799027.27,26616822.60,17487681.33,27081874.39,42517686.25,29178044.44,17579772.98,15529455.20,14382145.40,10670333.66,15227975.94,22648226.55,0.0
8,应收款项融资,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
