,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20021231,20011231,20001231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
9,预付款项,55574386.86,43549648.14,100015100.43,52925392.46,41979344.06,41261346.84,80497095.18,64044808.39,95876996.32,50479828.37,78850745.56,26152656.09,16664154.65,17765328.15,24313570.39,28184335.77,25172091.58,31376315.98,23143130.06,18968533.62,22882171.21,18828197.31,203501695.40,222922359.19,146856372.71,92634514.79,210980978.41,379834580.76,311485477.00,172452103.26,247528270.29,191357990.60,94517466.18,55301318.45,296262159.44,303297944.06,99489835.92,70053398.96,9891458.64,16066861.09,9098005.75,6166501.77,25632773.41,60633727.52,71273933.94,62952580.44,59578023.60,59557479.37,62781072.15,61465484.07,66853778.74,69599087.88,72731786.39,57286151.28,68540814.71,45463429.66,37636487.95,47373452.95,36586514.37,33123282.72,28132557.94,32524634.37,62685125.61,60329234.66,22608851.76,11598113.80,14398794.62,5594729.35,2186150.74,6200004.00,58331983.85,0.0
10,其他应收款(合计),14487685.78,16254159.36,37499843.90,55296202.25,32459245.12,23788933.72,24111801.66,23263749.93,24210964.47,19628407.41,0,30329137.64,0,29662281.18,0,211050651.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678437.50,1960375.00,1319125.00,755375.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13,其他应收款,0,16254159.36,0,55296202.25,0,23788933.72,24111801.66,23263749.93,24210964.47,19628407.41,21861753.57,30329137.64,30000444.03,29662281.18,214607957.77,211050651.57,212569425.59,222796784.23,215827268.45,222234851.10,241907470.22,213726251.29,201177336.40,198921415.18,203765636.42,193739702.83,222231082.94,169395654.98,138793998.85,137533443.86,15224612.08,11314386.11,16875516.41,13055061.76,30755108.82,14927962.58,20505067.77,8084908.84,65071233.57,15518638.31,13624060.53,17644114.92,17694228.07,14644829.37,15693785.25,11988922.63,25112041.02,22037025.53,21931628.39,16912188.56,28189361.98,30743321.24,22962218.49,18250705.59,22217697.54,30906909.86,30849304.57,27841601.54,31846906.48,30271889.46,29049679.26,20372322.79,27836726.77,34222307.48,35779750.41,16569424.08,17812346.07,18389294.71,25829545.47,18287749.00,136466669.95,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,492415806.65,406212348.30,353338518.46,338361048.41,362948309.45,440192025.33,472856650.40,504682921.84,547198720.50,416977761.03,446946634.92,488765957.25,426187634.64,397692261.05,398158989.07,416568222.76,397069598.70,346801544.15,406017879.08,391391304.92,312821831.47,295150056.34,228935546.45,252919025.03,237688431.57,236671410.83,267994358.00,227122850.29,265481948.46,263528828.57,307262735.55,308594331.51,294893883.26,291185700.60,285598216.01,275402596.57,266111074.82,257066420.98,233186485.94,221339799.00,188972400.54,180784668.08,168956418.72,141813093.56,136845240.26,147543786.86,169899332.86,142405658.11,133111937.75,143141130.97,127501698.83,119023279.89,126251620.53,140690909.41,123425757.57,135864031.68,154650085.93,155590722.61,177957544.43,186659334.31,204659731.35,173715038.51,181096104.40,127982933.01,99159206.75,99884939.33,102924300.21,92003193.71,82517864.14,78568949.00,84518680.36,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,153741.36,212918.88,212918.88,1068798.28,453741.36,397608.04,503284.04,429196.13,120312.04,123130.04,256589.96,256589.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908872.42,3733024.84,3660705.50,1928041.35,4973616.69,4464306.35,4226744.15,3371609.10,3823098.70,3867084.87,2269234.78,1577298.76,2473953.12,2389336.00,3615457.20,2909951.50,2576876.00,2749383.34,0.0
