,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19971231,19961231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1465963050.62,864406995.54,879353382.70,689655527.37,965544727.90,725921328.68,845011950.39,862340460.05,907544107.25,867029047.03,833825327.92,687334434.15,756127225.52,701336388.01,770375477.37,656724261.17,698177060.62,730010191.26,636152118.12,677112531.76,726992705.65,675066239.23,726133272.58,850182442.87,944828652.40,798820850.90,959112135.15,856421545.65,975922727.59,775931382.60,1066531380.25,908313201.88,933831382.64,803540985.93,941709415.29,808489120.80,868058019.14,715338744.47,793682667.29,724502537.58,751306230.93,807144376.48,877630931.13,818532520.64,783423880.33,671483430.61,753625234.93,587935976.53,673654703.72,647362908.91,666013763.80,523579974.65,510416583.01,524148443.66,527966795.89,490881185.36,503799063.72,426905745.23,423150475.10,418280408.43,503197805.80,435611607.21,390764493.32,376488583.20,542651637.49,339278542.40,431923537.11,354401007.90,506446374.81,413512925.83,439010540.04,490400971.80,443746840.76,248194108.95,418072973.21,487421579.39,466129025.05,74474056.33,88152350.06,73690507.99,40623593.35,0.0
3,交易性金融资产,110280673.88,14903281.72,25633316.22,375990684.63,52448376.73,54822270.44,58805528.93,68183377.82,66757807.30,104052584.42,99917026.21,83349708.42,41497455.65,46589193.03,97271414.36,93144137.86,129177433.00,75906882.47,170245189.12,170251977.03,176551106.66,176590671.49,154004372.49,136824615.27,87966555.74,151687617.26,69006850.08,136846886.74,29614882.99,152810509.00,96788512.83,171264670.23,157594977.98,188195611.65,170899837.46,223450204.14,192704525.93,222552971.35,168846944.69,230139481.62,197680219.77,104266552.41,132244083.18,121768252.69,96779436.20,106355587.60,186943053.13,253352934.58,291337976.29,211889933.35,239240324.10,184703162.05,134901450.34,76363292.22,102848520.17,108065078.24,106444800.82,174972019.08,189622900.39,197192905.35,150591285.09,194466043.23,296069107.60,324050624.74,138635031.86,314493568.51,301101236.70,330766563.87,181145392.39,288526074.93,229734741.81,182461728.73,175885701.35,514932900.00,336285620.00,300295960.00,200601847.96,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,417012486.86,565228317.32,510033819.34,588634796.81,569518072.57,647073577.30,661954345.96,662818079.11,655226389.23,0,789238089.42,0,831963713.52,0,850422951.60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,150029033.70,242543572.00,236103784.16,216487884.81,253980304.79,153378669.05,138112287.49,93769872.45,117837464.83,190285352.13,173914808.03,202072785.56,213923784.99,235093424.30,195992511.08,314125325.39,284020327.64,193717761.28,183764585.00,235076136.65,219478195.94,198799656.53,186825782.09,204222854.39,238151970.45,222968249.84,212387390.95,186382904.65,201096291.99,176361225.38,174970481.58,252493810.53,351999168.06,272147918.53,247529695.90,264820912.26,329954036.47,221614864.91,245193593.16,157226970.92,197881079.60,174796866.73,132028036.54,102842490.87,153938060.25,127015405.17,134386339.53,193294370.01,269197159.88,113021827.25,126755161.32,64060529.09,181209027.63,100849155.91,109183714.77,66212066.80,115388569.00,110048562.90,99367952.80,52175790.00,57417141.21,23075177.75,13609398.52,3782000.00,25398756.67,10505101.64,8359998.65,2777844.54,2233778.61,0,998831.02,0,0,0,0,200000.00,105048.00,0,0,0,0,0.0
7,应收账款,266983453.16,322684745.32,273930035.18,372146912.00,315537767.78,493694908.25,523842058.47,569048206.66,537388924.40,586063239.05,615323281.39,621840009.77,618039928.53,629723016.97,654430440.52,570320816.92,479817001.73,578280728.99,535390528.21,450955723.49,398346998.95,485565984.71,490372331.47,430269235.83,362989379.62,449573779.48,419267969.93,409726155.92,338012248.96,411637380.63,395285152.65,349882722.29,260668021.98,375197070.97,379927769.09,344606689.16,239331995.13,330226429.60,261764369.17,254932826.15,193994371.41,277240749.35,244775255.23,251672293.92,160722210.38,282249458.54,210212945.34,241239268.28,155779987.99,272809667.82,192504284.52,258028345.92,142172173.79,227304188.77,196422963.02,228094822.03,118883059.94,209874578.76,245543407.08,260813401.05,132708146.95,201732558.44,197317459.56,185171384.20,154104354.61,179617498.22,184541677.79,163384313.48,127994542.53,141540797.17,146121223.72,113433194.33,119860167.61,102004763.87,104323654.42,114720200.29,208382731.17,138402817.48,100793498.75,88559621.31,62406864.62,0.0
8,应收款项融资,190000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
