,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150630,20141231,20131231,20121231,20120630,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
28,投资性房地产,34398220.84,34939902.82,35481584.80,36023266.78,36564948.76,37106630.74,37648312.72,38189994.70,38731676.68,39273358.66,39815040.64,40356722.62,41058608.04,33623778.85,34070884.09,3338167.44,3402958.80,3532541.52,3662124.24,3921289.68,4180455.12,4310037.84,4439620.56,4698786.00,4909502.28,0.0
29,在建工程(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125749971.95,33102320.23,12419465.06,5169438.48,5965693.42,2212500.00,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
32,固定资产及清理(合计),180755935.20,179272214.45,177500211.02,182143520.61,186257099.39,189374964.93,192880195.96,188999872.63,192961234.07,0,187304968.62,0,192599089.12,0,194833470.89,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,180755935.20,0,177500211.02,0,186257099.39,189374964.93,192880195.96,188999872.63,192961234.07,189650233.38,187304968.62,189863391.79,192599089.12,196790200.96,194833470.89,222592083.31,225112998.10,224694762.49,223752858.87,43790119.60,47769658.19,48979005.52,49130498.93,42187919.08,41736434.36,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,52761310.16,53517036.87,54272763.74,54995735.90,55762683.43,56417561.92,57178905.99,57940250.05,58526799.29,55625072.02,56131401.30,56314950.75,56873006.53,57431061.97,56948367.44,57280811.72,57778293.26,58099692.90,59044219.33,60687147.32,25896834.48,26192896.41,26227026.24,2497830.91,2441380.87,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
