,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070630,20061231,20051231,20041231,20031231,20021231,20011231,20001231,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,14872000000.00,19281000000.00,22491000000.00,20897000000.00,15323000000.00,12373000000.00,16835000000.00,16433000000.00,11660000000.00,13495000000.00,16452000000.00,15230000000.00,15257000000.00,10582000000.00,10581000000.00,13888000000.00,9500000000.00,17611000000.00,16900000000.00,17573000000.00,11220000000.00,17327000000.00,22544000000.00,23326000000.00,16561000000.00,19433000000.00,26938000000.00,26764000000.00,23875000000.00,15047000000.00,21003000000.00,18016000000.00,14903000000.00,13932000000.00,15948000000.00,16262000000.00,14960000000.00,17339000000.00,22440000000.00,29720000000.00,30123000000.00,11996000000.00,18734000000.00,21830000000.00,17513000000.00,16450000000.00,17499000000.00,22415000000.00,23622000000.00,23156000000.00,10142000000.00,8055000000.00,3209000000.00,360915334.00,479200965.00,484084353.00,7788080000.00,5446460000.00,7214490000.00,7150980000.00,0.0
3,拆出资金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,交易性金融资产,4931000000.00,6595000000.00,6583000000.00,8159000000.00,11835000000.00,15727000000.00,18015000000.00,16191000000.00,16187000000.00,15836000000.00,16686000000.00,26108000000.00,27190000000.00,24581000000.00,22518000000.00,20717000000.00,22215000000.00,21601000000.00,23874000000.00,17704000000.00,17764000000.00,29344000000.00,19684000000.00,6458000000.00,4926000000.00,2356000000.00,1954000000.00,2206000000.00,1714000000.00,1737000000.00,1944000000.00,2272000000.00,2907000000.00,3301000000.00,3149000000.00,3333000000.00,3604000000.00,5232000000.00,2138000000.00,621000000.00,333000000.00,371000000.00,416000000.00,448000000.00,1166000000.00,1388000000.00,1225000000.00,1702000000.00,2463000000.00,2887000000.00,4757000000.00,4869000000.00,1128000000.00,30980000.00,2000000.00,0,8395260000.00,11157540000.00,6058780000.00,0,0.0
5,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000000.00,1000000.00,0,0,0,0,0,0,0,0,0,0.0
6,买入返售金融资产,28045000000.00,15493000000.00,16906000000.00,23210000000.00,23095000000.00,12860000000.00,12877000000.00,19975000000.00,17126000000.00,14724000000.00,16192000000.00,15911000000.00,21138000000.00,6714000000.00,7179000000.00,15997000000.00,14691000000.00,12397000000.00,1712000000.00,385000000.00,2822000000.00,2485000000.00,1153000000.00,2153000000.00,2394000000.00,501000000.00,1574000000.00,40000000.00,1115000000.00,2584000000.00,6901000000.00,10000000.00,43000000.00,523000000.00,880000000.00,1438000000.00,2600000000.00,6021000000.00,67000000.00,14000000.00,115000000.00,0,0,5000000.00,60000000.00,1728000000.00,459000000.00,8408000000.00,5500000000.00,780000000.00,1744000000.00,1416000000.00,2800000000.00,0,0,0,0,0,0,0,0.0
7,应收保费,17916000000.00,26575000000.00,27339000000.00,24675000000.00,12063000000.00,19466000000.00,20019000000.00,18689000000.00,8492000000.00,13538000000.00,13732000000.00,13230000000.00,6562000000.00,10779000000.00,10831000000.00,10304000000.00,5039000000.00,8177000000.00,9052000000.00,8692000000.00,4703000000.00,7142000000.00,7824000000.00,7264000000.00,4295000000.00,5913000000.00,6737000000.00,6626000000.00,4041000000.00,5321000000.00,5445000000.00,4784000000.00,3074000000.00,4242000000.00,4443000000.00,4240000000.00,2622000000.00,3506000000.00,3515000000.00,3484000000.00,2227000000.00,2853000000.00,3117000000.00,3090000000.00,2270000000.00,3762000000.00,4174000000.00,3815000000.00,2267000000.00,3380000000.00,1992000000.00,1777000000.00,2028000000.00,16805910.00,25919290.00,0,109950000.00,127470000.00,260890000.00,369380000.00,0.0
8,应收利息,19493000000.00,20399000000.00,17421000000.00,18045000000.00,19282000000.00,19706000000.00,16662000000.00,16629000000.00,16757000000.00,17998000000.00,14596000000.00,15072000000.00,17003000000.00,18062000000.00,14362000000.00,14354000000.00,15763000000.00,17228000000.00,14372000000.00,14124000000.00,15232000000.00,16548000000.00,13366000000.00,11659000000.00,12003000000.00,17169000000.00,15478000000.00,13940000000.00,13659000000.00,14594000000.00,12920000000.00,11672000000.00,11006000000.00,11383000000.00,10115000000.00,9572000000.00,9207000000.00,9239000000.00,8581000000.00,7887000000.00,6679000000.00,6708000000.00,6857000000.00,6198000000.00,4979000000.00,5231000000.00,4967000000.00,4267000000.00,3393000000.00,3343000000.00,2134000000.00,1716000000.00,1130000000.00,4649654.00,6740207.00,0,0,0,0,0,0.0
9,应收分保账款,5340000000.00,7881000000.00,6415000000.00,7822000000.00,6949000000.00,5787000000.00,8074000000.00,8352000000.00,7841000000.00,8093000000.00,5163000000.00,6507000000.00,5705000000.00,4395000000.00,2927000000.00,3109000000.00,3052000000.00,3363000000.00,3184000000.00,4987000000.00,3654000000.00,3580000000.00,4011000000.00,3524000000.00,3468000000.00,2702000000.00,2330000000.00,3308000000.00,4136000000.00,3361000000.00,4271000000.00,3855000000.00,3178000000.00,2958000000.00,2895000000.00,2866000000.00,2787000000.00,2314000000.00,1752000000.00,1948000000.00,1637000000.00,2024000000.00,1900000000.00,2163000000.00,2033000000.00,2256000000.00,1714000000.00,1847000000.00,1444000000.00,1607000000.00,1185000000.00,881000000.00,372000000.00,1141131.00,1531516.00,0,0,0,0,0,0.0
10,应收分保未到期责任准备金,6385000000.00,6793000000.00,7131000000.00,6508000000.00,5781000000.00,5957000000.00,6200000000.00,5856000000.00,5177000000.00,5423000000.00,5420000000.00,4850000000.00,4351000000.00,4501000000.00,4645000000.00,4627000000.00,4157000000.00,4523000000.00,4626000000.00,4532000000.00,4144000000.00,4845000000.00,5495000000.00,5720000000.00,5728000000.00,4073000000.00,4274000000.00,4104000000.00,3694000000.00,3947000000.00,4287000000.00,4262000000.00,4201000000.00,4377000000.00,4555000000.00,4336000000.00,3763000000.00,3842000000.00,3804000000.00,3430000000.00,2598000000.00,4456000000.00,4569000000.00,4197000000.00,3533000000.00,3874000000.00,4059000000.00,3728000000.00,2966000000.00,3395000000.00,2836000000.00,2325000000.00,2308000000.00,0,0,0,0,0,0,0,0.0
11,应收分保未决赔款准备金,6841000000.00,7553000000.00,6994000000.00,6316000000.00,6018000000.00,6378000000.00,6421000000.00,7796000000.00,6719000000.00,7054000000.00,6421000000.00,6481000000.00,6617000000.00,6766000000.00,6177000000.00,6327000000.00,6357000000.00,6276000000.00,5773000000.00,5800000000.00,6150000000.00,5928000000.00,5089000000.00,5297000000.00,5313000000.00,4663000000.00,4515000000.00,4531000000.00,4721000000.00,4578000000.00,4496000000.00,4751000000.00,4737000000.00,4482000000.00,4243000000.00,3918000000.00,3763000000.00,3981000000.00,3192000000.00,3161000000.00,2845000000.00,2874000000.00,2759000000.00,2971000000.00,3076000000.00,3689000000.00,3765000000.00,3684000000.00,2997000000.00,2666000000.00,2591000000.00,1617000000.00,1235000000.00,0,0,0,0,0,0,0,0.0
12,应收分保寿险责任准备金,1881000000.00,1836000000.00,1688000000.00,2006000000.00,1884000000.00,1777000000.00,1690000000.00,1676000000.00,1360000000.00,1790000000.00,1702000000.00,1530000000.00,1503000000.00,1289000000.00,1307000000.00,794000000.00,972000000.00,779000000.00,848000000.00,694000000.00,926000000.00,747000000.00,928000000.00,759000000.00,953000000.00,766000000.00,935000000.00,761000000.00,764000000.00,774000000.00,787000000.00,881000000.00,849000000.00,979000000.00,949000000.00,1044000000.00,1298000000.00,1041000000.00,1095000000.00,907000000.00,669000000.00,780000000.00,590000000.00,514000000.00,236000000.00,173000000.00,173000000.00,184000000.00,167000000.00,102000000.00,83000000.00,48000000.00,26000000.00,0,0,0,0,0,0,0,0.0
13,应收分保长期健康险责任准备金,10453000000.00,10302000000.00,10080000000.00,9861000000.00,9784000000.00,9794000000.00,9680000000.00,9543000000.00,9319000000.00,8345000000.00,8139000000.00,7825000000.00,7670000000.00,7338000000.00,7171000000.00,7005000000.00,6771000000.00,6697000000.00,6322000000.00,6327000000.00,5947000000.00,6088000000.00,5683000000.00,5744000000.00,5394000000.00,5481000000.00,5144000000.00,5129000000.00,4942000000.00,4800000000.00,4677000000.00,4549000000.00,4331000000.00,4322000000.00,4102000000.00,3930000000.00,3523000000.00,3723000000.00,3548000000.00,3263000000.00,3035000000.00,4180000000.00,4034000000.00,3794000000.00,3622000000.00,3456000000.00,3309000000.00,3166000000.00,3001000000.00,2313000000.00,2022000000.00,1249000000.00,866000000.00,0,0,0,0,0,0,0,0.0
14,保户质押贷款,57194000000.00,55179000000.00,53069000000.00,51415000000.00,49194000000.00,47283000000.00,44551000000.00,42009000000.00,38643000000.00,35957000000.00,32061000000.00,29957000000.00,27844000000.00,25839000000.00,22641000000.00,21120000000.00,19610000000.00,17758000000.00,14848000000.00,13091000000.00,12253000000.00,11352000000.00,10441000000.00,9486000000.00,8444000000.00,7643000000.00,6873000000.00,6206000000.00,5700000000.00,5265000000.00,4783000000.00,4420000000.00,4094000000.00,3641000000.00,3097000000.00,2645000000.00,2307000000.00,1993000000.00,1739000000.00,1501000000.00,1352000000.00,1182000000.00,986000000.00,809000000.00,698000000.00,634000000.00,549000000.00,469000000.00,442000000.00,284000000.00,219000000.00,111000000.00,57000000.00,0,0,0,0,0,0,0,0.0
15,可供出售金融资产,511822000000.00,478458000000.00,466523000000.00,444896000000.00,415868000000.00,401453000000.00,395498000000.00,375404000000.00,368868000000.00,361732000000.00,339474000000.00,312998000000.00,258711000000.00,267707000000.00,252990000000.00,228371000000.00,218062000000.00,193939000000.00,206155000000.00,183864000000.00,166601000000.00,165751000000.00,177163000000.00,188320000000.00,175489000000.00,181029000000.00,161520000000.00,139848000000.00,135815000000.00,132165000000.00,126119000000.00,123713000000.00,117592000000.00,119994000000.00,130471000000.00,128082000000.00,119759000000.00,119169000000.00,111508000000.00,116389000000.00,118475000000.00,117616000000.00,113494000000.00,104141000000.00,96064000000.00,99325000000.00,100815000000.00,113889000000.00,121783000000.00,76438000000.00,68416000000.00,44298000000.00,28479000000.00,0,0,0,0,0,0,0,0.0
16,持有至到期投资,295247000000.00,292448000000.00,290597000000.00,275123000000.00,284744000000.00,282011000000.00,285378000000.00,286759000000.00,287497000000.00,294088000000.00,298988000000.00,301218000000.00,304874000000.00,308306000000.00,309100000000.00,309515000000.00,310343000000.00,311645000000.00,313564000000.00,312220000000.00,311998000000.00,304521000000.00,295389000000.00,273062000000.00,262942000000.00,263548000000.00,260057000000.00,251374000000.00,248766000000.00,223637000000.00,214730000000.00,204953000000.00,202536000000.00,177332000000.00,173320000000.00,158864000000.00,157360000000.00,142002000000.00,140327000000.00,119851000000.00,104618000000.00,86618000000.00,81919000000.00,79547000000.00,70980000000.00,67240000000.00,62406000000.00,59030000000.00,58120000000.00,43490000000.00,36879000000.00,29533000000.00,15669000000.00,60514865.00,0,0,0,0,0,0,0.0
17,长期股权投资,20442000000.00,19928000000.00,19973000000.00,19082000000.00,17472000000.00,9207000000.00,7343000000.00,6322000000.00,5271000000.00,3605000000.00,2568000000.00,152000000.00,151000000.00,159000000.00,430000000.00,432000000.00,324000000.00,270000000.00,299000000.00,274000000.00,264000000.00,11000000.00,11000000.00,11000000.00,11000000.00,11000000.00,11000000.00,11000000.00,0,0,0,0,0,0,0,439000000.00,440000000.00,464000000.00,449000000.00,443000000.00,464000000.00,273000000.00,296000000.00,280000000.00,289000000.00,249000000.00,190000000.00,237000000.00,256000000.00,263000000.00,181000000.00,113000000.00,184000000.00,0,0,0,0,0,0,4270090000.00,0.0
18,存出资本保证金,6658000000.00,6658000000.00,6738000000.00,7106000000.00,6738000000.00,6738000000.00,6738000000.00,6578000000.00,6566000000.00,6078000000.00,6078000000.00,6078000000.00,6078000000.00,6038000000.00,5938000000.00,5938000000.00,5938000000.00,5938000000.00,6038000000.00,6008000000.00,5580000000.00,5380000000.00,5380000000.00,5300000000.00,3600000000.00,3600000000.00,3600000000.00,3600000000.00,3600000000.00,3580000000.00,3580000000.00,3580000000.00,3580000000.00,3140000000.00,3140000000.00,3140000000.00,2772000000.00,2772000000.00,2272000000.00,2272000000.00,1968000000.00,1838000000.00,1838000000.00,1838000000.00,1838000000.00,1518000000.00,998000000.00,998000000.00,998000000.00,850000000.00,890000000.00,690000000.00,690000000.00,114224450.00,28970550.00,0,0,0,0,0,0.0
19,应收款项类投资,324013000000.00,318895000000.00,315683000000.00,298818000000.00,272015000000.00,262957000000.00,256349000000.00,227342000000.00,216748000000.00,218092000000.00,200841000000.00,188089000000.00,139634000000.00,133226000000.00,130223000000.00,104570000000.00,93033000000.00,85171000000.00,76492000000.00,75582000000.00,61259000000.00,60549000000.00,54321000000.00,50978000000.00,41320000000.00,40953000000.00,38532000000.00,37733000000.00,36097000000.00,33035000000.00,32280000000.00,32851000000.00,32929000000.00,29329000000.00,26012000000.00,23303000000.00,22811000000.00,21200000000.00,21124000000.00,0,22199000000.00,22200000000.00,22346000000.00,19124000000.00,16532000000.00,0,15877000000.00,13939000000.00,13923000000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
