,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,20110630,20101231,20091231,20081231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
24,可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
26,长期应收款,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,0,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,2000000.00,0,0.0
27,长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13903424.00,14120029.00,12613377.00,0.0
28,投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
29,在建工程(合计),3763788656.20,2954980128.84,2469633873.88,2439810238.60,2682284552.28,2444077317.00,2366715600.46,2235195116.52,0,2132363832.08,0,2187738168.30,0,2136444748.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,0,2937292267.79,0,2422005484.06,2682284552.28,2422512152.93,2349324077.33,2216277610.70,2233188186.78,2108189728.50,2288169541.40,2168519476.39,2217103585.00,2117772710.00,1969705749.00,1865767169.00,1698210732.00,1566226569.00,1753827356.00,1644467014.00,1655784433.19,1606650842.00,0,1451947770.00,1025421567.00,1493969694.00,1589625950.00,1218263055.00,409553432.00,384571045.00,0.0
31,工程物资,0,17687861.05,0,17804754.54,0,21565164.07,17391523.13,18917505.82,17378200.67,24174103.58,23326264.35,19218691.91,18535369.00,18672038.00,16255009.00,17030333.00,16992525.00,16739077.00,18498997.76,17680481.00,15934404.34,15198016.00,0,19783745.00,12614059.00,13645988.00,20947231.00,25570913.00,10102001.00,11069058.00,0.0
32,固定资产及清理(合计),5030854036.55,5020424418.38,5028825383.51,4765680490.85,4055793496.58,4084814300.54,4045697896.18,4027040045.32,0,3859559624.03,0,3626584105.84,0,3198059563.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,5017760606.45,0,4765671490.85,4055793496.58,4084814300.54,4045697896.18,4027040045.32,3842030433.68,3859541544.74,3587532423.30,3626584105.84,3180561019.00,3198059563.00,3236151208.00,3274449312.00,3279447852.00,3305203710.00,2980327216.96,3020060000.00,2680505106.98,2666922617.00,0,2702548989.00,2781508043.00,1988337868.00,1672807596.00,1666109835.00,1639110422.00,1553743974.00,0.0
34,固定资产清理,0,2663811.93,0,9000.00,0,0,0,0,34086.11,18079.29,15000.00,0,0,0,0,0,0,0,0,0,661749.09,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,587056425.78,582405030.77,585400615.88,557108427.08,401102367.54,387352251.21,359676723.76,360866043.17,364079979.74,366124292.25,366648437.87,368925898.16,371195268.00,373305538.00,375578461.00,377606827.00,379103669.00,381421401.00,377601190.98,379337366.00,379676639.28,381456824.00,0,386151399.00,397022579.00,315910625.00,273780197.00,274174038.00,11445695.00,3623925.00,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,1184507.73,958854.18,987961.16,1364170.53,546806.58,709060.65,871314.72,1033568.79,1195822.86,1358076.93,1520331.00,1682585.07,26220.00,28008.00,32775.00,34563.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
43,递延所得税资产,116853312.46,116972057.39,115389384.84,115301242.09,59836679.77,59920082.60,60371815.31,60453294.49,57981534.90,57957645.77,51809208.54,51656746.12,48615455.00,48544132.00,46656229.00,45899789.00,42847791.00,42494033.00,42078709.35,41987950.00,41588461.21,40970579.00,0,40257973.00,38912184.00,29401008.00,16494684.00,15748868.00,6866535.00,976115.00,0.0
44,其他非流动资产,0,0,0,1923957.41,918185.48,307887.15,297590.05,1148478.69,193055.17,77455.22,37818.06,438430.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,9501736938.72,8677740489.56,8202237219.27,7883188526.56,7202482088.23,6979180899.15,6835630940.48,6687736546.98,6518081299.91,6419440926.28,6321059024.52,6239025934.36,5838036916.00,5758381989.00,5646379431.00,5582787993.00,5418602569.00,5314084790.00,5174333471.05,5105532811.00,4776150794.09,4713198878.00,0,4602689876.00,4257478432.00,3843265183.00,3575655658.00,3215770133.00,2093198114.00,1966597494.00,0.0
46,资产总计,12157130304.53,10316796821.95,9752692810.17,9298718845.70,8607397526.49,8343209178.06,8275060047.69,8130936328.93,7730939897.47,7682672980.89,7466685556.15,7542313599.39,7804302195.00,7172490570.00,6983370018.00,6906058240.00,6933008073.00,7540118905.00,6604739287.20,5885118039.00,5579022261.22,5416797519.00,5253816600.00,5329220460.00,4723763995.00,4279748677.00,4146679962.00,3555604307.00,2395117809.00,2436405472.00,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,245000000.00,0,0,0,0,0,0,0,0,0,20000000.00,20000000.00,590000000.00,120000000.00,50000000.00,0,80000000.00,270000000.00,330000000.00,330000000.00,250000000.00,110000000.00,100000000.00,100000000.00,459000000.00,215000000.00,245000000.00,245000000.00,265000000.00,205000000.00,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,139610302.10,137978224.54,154881061.19,166556834.75,101574542.13,86394610.93,73851012.45,111282398.28,0,80776799.87,0,100615035.27,0,46859720.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
51,应付票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52,应付账款,139610302.10,137978224.54,0,166556834.75,0,86394610.93,73851012.45,111282398.28,88809876.42,80776799.87,67716079.26,100615035.27,38391020.00,46859720.00,41103150.00,49664759.00,38235855.00,38775695.00,37370122.45,48843888.00,40244566.47,38632235.00,35000000.00,41938282.00,54191939.00,55542245.00,275337.00,5601358.00,7384270.00,5316561.00,0.0
