,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,249501540.30,361916049.67,254872989.22,818139621.03,272072826.13,414326299.21,695198971.43,557098508.36,263729584.33,535286618.55,543052627.82,747959382.97,649577421.42,593020656.81,740865349.29,707092341.60,599256783.15,443300671.17,528030537.11,392731330.05,160130972.65,219051928.43,257155665.51,216575736.90,133593496.17,217392101.84,134603588.81,222704987.88,201050776.81,152988212.88,279021578.29,308487388.15,291936443.64,295085177.04,234972873.62,337439509.81,200931422.08,167531278.05,101487262.10,137102273.93,196762372.63,147073021.58,165451612.71,221206588.81,297379272.56,213205279.98,260597864.75,243943607.51,438925981.10,466371262.02,390679017.53,409044589.78,424609489.55,404147199.77,404824051.58,548052252.50,664593977.83,382047583.40,417132380.53,394464268.30,480591559.47,450786708.04,368728589.02,426993836.72,435036260.96,366281227.36,424601232.18,419881970.43,528807814.15,604482325.32,698973045.66,749948159.20,535507753.20,332557700.71,29986569.51,31278712.24,2150276.13,17968019.78,22078764.41,10134796.42,0,3133353.20,0,2606457.48,0,4568966.20,0,6392562.70,1067046.97,3788981.81,7655751.22,4621081.67,213876.54,275297.10,215673.13,0.0
3,交易性金融资产,0,0,0,764547.37,4254299.45,5093485.18,0,0,0,0,3450142.80,3419582.40,3070080.00,3023750.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30237.60,177588.65,174138.85,406699.16,170336.90,141722.15,109216.45,80700.45,65305.45,61744.95,151240.00,154000.00,172000.00,80000.00,80000.00,46278.24,46278.24,37838.71,37838.71,36452.50,36452.50,30879.20,30879.20,56000.00,56000.00,99000.00,99000.00,323000.00,323000.00,540000.00,540000.00,540000.00,540000.00,828000.00,828000.00,828000.00,828000.00,201657000.00,1718000.00,1995685.81,2147849.67,2130107.74,2130107.74,4907216.59,8728885.11,0,13721077.78,0,10972287.38,0,6210757.48,0,0,0,0,2240000.00,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1413209783.79,1447175270.02,1512030553.22,1481875344.39,1447381685.51,1499610385.49,1662173629.72,1509676927.24,0,1349674672.34,1537207535.15,1380049906.23,0,2192936462.53,2277320199.50,1545796852.72,0,0,0,1067924630.72,0,0,0,485700518.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,26287176.56,24683410.52,27367337.32,25595488.39,22565780.86,24677237.11,24547355.80,23059393.95,27197672.95,23898119.20,30441622.63,28432184.80,18804480.98,33792119.97,27305126.62,26782710.39,37905945.12,23836653.66,29775738.24,24925888.88,32422329.23,34939379.36,35165237.61,22135252.65,23084857.82,12446101.41,19896068.38,26229309.39,28811960.10,32424535.19,42640244.55,27800739.55,41788432.29,32093923.13,29162652.96,37378420.18,28533571.27,33637409.80,28255204.64,16585281.88,24841643.10,17926563.05,13780030.46,16070303.23,13114204.80,11067950.90,13319497.99,7388622.38,2937763.24,3415652.27,9641697.27,12248725.87,23268352.35,19723537.99,32896282.18,41459170.77,37360408.64,48222992.34,46612339.05,52506826.45,31874102.58,35431689.20,49999428.29,36551897.49,45123129.49,38087267.50,40203087.50,37105931.81,46907379.47,34603610.00,54746983.51,46067542.12,30093676.85,7871032.72,8320862.72,26400000.00,7000000.00,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0.0
7,应收账款,1386922607.23,1422491859.50,1484663215.90,1456279856.00,1424815904.65,1474933148.38,1637626273.92,1486617533.29,1190009495.54,1325776553.14,1506765912.52,1351617721.43,2251432771.96,2159144342.56,2250015072.88,1519014142.33,2062477500.93,1311587943.26,1167502353.44,1042998741.84,530421814.83,493890077.28,486423897.08,463565266.30,532640772.21,533834702.40,514080352.94,445070326.44,429073550.47,415701207.75,389115928.12,401766413.95,390639343.92,384814507.88,349757294.45,310817527.63,289847127.27,265130982.41,225782483.28,204421506.19,269141684.25,247072381.22,224625467.73,234246919.45,272275803.84,265701140.93,238202694.13,210415261.34,291406864.82,284639454.45,284358788.68,268873387.92,345155526.51,334415000.13,263049961.49,250077137.25,287181353.55,275871427.52,260486404.09,236452151.65,250247495.63,269053181.27,247416612.89,211425196.12,226749010.76,253932626.50,243627426.97,200841494.70,266269874.26,127849282.00,124576508.93,112148649.73,81159254.70,72682562.99,38469828.84,30665814.46,25101166.11,26576417.17,21719878.37,17952307.36,0,12907192.60,0,11554423.54,0,0,0,6871981.15,6399979.00,2141232.32,4215627.66,9099568.90,894114.62,883606.77,719409.33,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
