,报表日期,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,604834178.21,626977150.83,659226204.65,585792190.50,414996107.63,629088015.31,535851453.02,508647200.93,386895060.53,608998741.45,677209386.61,293240338.33,169252405.05,405957271.65,290741648.73,141845540.36,220287879.15,190012743.61,105807957.04,157078077.85,70794561.52,131238767.45,13617542.46,10113633.35,16653494.46,7578914.57,33524345.04,37588085.66,35713660.34,62833734.95,12404996.28,7781700.36,14759773.48,24326576.32,49872824.73,73057682.91,29383265.71,61510114.24,59714804.87,60858484.38,31733878.08,38235658.96,20510541.91,19591232.76,17639194.11,45274039.52,12555419.90,36162099.46,37808688.80,87731064.31,54393214.39,15236889.99,32308375.12,38846977.67,5606225.00,10209725.71,9335956.61,21253319.94,6120969.31,8405531.01,43252110.06,36130051.38,23940125.41,42250080.98,38387486.85,64130044.63,14763173.46,14129959.91,3079835.73,79045252.61,70368312.87,101763129.65,41781827.75,22985064.18,0,2473727.79,0,1416889.73,20093783.46,5690330.56,9127292.93,9213482.30,14268173.58,15029731.01,0,7773217.60,0,5551311.67,0,8883548.27,0,28463019.03,0.0
3,交易性金融资产,0,0,0,0,0,200000.00,29260.00,29260.00,1501280.00,0,40382677.00,0,0,0,0,0,10024256.00,11491656.00,10427472.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000.00,14000.00,0,0,110000000.00,110000000.00,110000000.00,150000000.00,150000000.00,0,0,0,0,0,0,0,0,0,335000.00,0,0,335000.00,383880.00,46663562.74,41696682.74,75226682.74,75566682.74,0,128428289.98,0,138165027.56,0,110513327.73,0,32667232.28,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,896416387.53,1045475181.46,1019066661.37,1032237618.01,911245046.05,1007998536.39,1125229204.04,1094626555.59,921358745.77,1031560590.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,18736065.49,14338234.06,27824150.29,30367292.98,24881168.88,28723757.00,44325425.62,23896217.77,27788433.58,28727730.89,29576173.17,40864850.80,26336000.00,7331822.88,7993342.50,2855308.23,4160000.00,939500.00,3500000.00,6748580.00,9557786.00,5408512.96,0,0,200000.00,500000.00,0,0,0,0,0,0,600000.00,2000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000.00,0,0,2000000.00,0,18055008.35,0,134587.82,0,5034587.82,0,741727.82,0.0
7,应收账款,877680322.04,1031136947.40,991242511.08,1001870325.03,886363877.17,979274779.39,1080903778.42,1070730337.82,893570312.19,1002832859.80,1002817001.94,925499552.13,887647773.09,987577649.11,873926931.11,646276805.27,548435660.46,512882903.50,182936491.68,49905222.42,20047258.30,31697789.89,9127.50,9127.50,9127.50,9127.50,1917157.84,3072307.14,2913728.40,4133837.14,3831729.50,3831729.50,9531729.50,9864229.50,29828248.80,29828248.80,35380.50,283278.00,286929.00,286929.00,286929.00,286929.00,477858.30,378699.30,438791.55,438791.55,657719.90,657719.90,477858.30,477858.30,6910776.55,6910776.55,6502954.90,6502954.90,10224043.55,14887095.05,2678622.05,4966541.55,7337538.00,7337538.00,8152820.00,8538651.00,0,0,0,0,0,0,74406925.49,0,96482.00,96482.00,84466.21,133613.21,0,12228107.43,0,2229676.95,24709110.97,20751312.99,49219606.92,59195135.88,86327606.64,87709979.40,0,26313289.49,0,12251265.01,0,26243054.57,0,41831810.99,0.0
8,应收款项融资,19205355.00,33592395.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
