,报表日期,20191231,20190930,20190630,20190331,20181231,20171231,20170630,20161231,20160630,20151231,20150630,20141231,20131231,19700101
48,短期借款,0,0,0,0,0,0,0,0,25860664.40,28000000.00,24657693.24,24000000.00,19061639.48,0.0
49,交易性金融负债,576250.00,4116205.00,1442700.00,467322.80,0,0,0,970510.00,0,0,166771.82,0,0,0.0
50,应付票据及应付账款,302998245.74,410375950.95,341261130.68,260991398.91,271486284.40,222164162.31,176549519.79,78007981.54,0,0,0,0,0,0.0
51,应付票据,108791262.70,86902013.77,121165599.41,0,57241856.93,45441574.20,0,0,0,0,0,0,500000.00,0.0
52,应付账款,194206983.04,323473937.18,220095531.27,0,214244427.47,176722588.11,176549519.79,0,36113582.47,40323965.63,21440064.13,17078829.96,8907700.57,0.0
53,预收款项,15036914.65,21567165.85,10497360.73,4631959.83,6799427.87,17673194.33,27938447.86,17132544.38,9087147.97,5733984.90,4172905.77,4076679.89,2511103.65,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,23121240.06,17116670.38,9924308.30,6122552.79,11722188.36,10318588.44,5705334.66,3464567.01,948341.58,2678475.08,1433775.82,2744486.85,786001.14,0.0
56,应交税费,13607439.79,8666243.35,3409394.53,2315129.44,5910564.48,13983712.07,7906281.73,3284696.07,2223147.72,1472644.55,1226358.72,90396.69,76204.82,0.0
57,其他应付款(合计),14866579.68,82344076.74,3305193.28,18767729.15,1888982.55,1539403.85,1487773.46,1408670.99,0,0,0,0,0,0.0
58,应付利息,0,0,0,0,0,0,0,0,22093.75,53000.52,44964.88,51669.44,41826.17,0.0
59,应付股利,0,79999952.00,0,0,0,0,0,0,2829407.97,2829407.97,2829407.97,2829407.97,2829407.97,0.0
60,其他应付款,14866579.68,0,3305193.28,0,1888982.55,1539403.85,1487773.46,0,2277020.44,2475188.50,3462470.79,2880116.71,5266608.12,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,3000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,373206669.92,544186312.27,369840087.52,293296092.92,297807447.66,265679061.00,219587357.50,104268969.99,79361406.30,83566667.15,59434413.14,53751587.51,39980491.92,0.0
67,非流动负债,,,,,,,,,,,,,,
68,长期借款,41823242.89,15750000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
74,专项应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
75,预计非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
76,递延所得税负债,0,0,0,0,0,0,10222.50,0,0,487.80,0,0,0,0.0
77,长期递延收益,333333.33,500000.00,666666.66,833333.33,1000000.00,2138416.66,943500.00,1415250.00,0,0,0,0,0,0.0
78,其他非流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
79,非流动负债合计,42156576.22,16250000.00,666666.66,833333.33,1000000.00,2138416.66,953722.50,1415250.00,0.00,487.80,0.00,0.00,0.00,0.0
80,负债合计,415363246.14,560436312.27,370506754.18,294129426.25,298807447.66,267817477.66,220541080.00,105684219.99,79361406.30,83567154.95,59434413.14,53751587.51,39980491.92,0.0
81,所有者权益,,,,,,,,,,,,,,
82,实收资本(或股本),79999952.00,79999952.00,79999952.00,79999952.00,59999952.00,59999952.00,59999952.00,10774615.00,10207561.00,10065790.00,10065790.00,10065790.00,10065790.00,0.0
83,资本公积,488612534.39,488612534.39,488612534.39,488612534.39,35915364.55,35915364.55,35915364.55,83350749.35,41475693.21,31730145.41,17597918.00,19633445.80,19633445.80,0.0
84,减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
85,其他综合收益,69870.71,108417.17,129419.93,10192.02,80525.42,69478.54,41796.59,88185.14,115153.02,146819.27,145123.79,118839.93,108376.35,0.0
86,专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
87,盈余公积,40602564.25,28410520.58,28410520.58,28410520.58,28410520.58,16755763.86,5029428.00,5029428.00,2057023.90,2057023.90,3215216.48,3215216.48,2753724.49,0.0
88,一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
89,未分配利润,259812636.33,218190617.43,256406869.15,232172340.25,225420865.75,119011503.72,63217506.85,35918430.50,18363962.38,9162450.84,8345150.33,2034350.86,-1376560.64,0.0
90,归属于母公司股东权益合计,869097557.68,815322041.57,853559296.05,829205539.24,349827228.30,231752062.67,164204047.99,135161407.99,72219393.51,53162229.42,39369198.60,35067643.07,31184776.00,0.0
91,少数股东权益,0,0,0,0,0,0,0,0,985280.60,1049007.03,966847.71,979156.69,0,0.0
92,所有者权益(或股东权益)合计,869097557.68,815322041.57,853559296.05,829205539.24,349827228.30,231752062.67,164204047.99,135161407.99,73204674.11,54211236.45,40336046.31,36046799.76,31184776.00,0.0
93,负债和所有者权益(或股东权益)总计,1284460803.82,1375758353.84,1224066050.23,1123334965.49,648634675.96,499569540.33,384745127.99,240845627.98,152566080.41,137778391.40,99770459.45,89798387.27,71165267.92,0.0
