,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,1818441664.76,2512894268.48,1997177485.86,1565079012.26,1889196914.35,1874732123.33,1595503437.13,2511905450.93,2545566033.36,2793138107.94,1951983351.88,1068954924.28,2737085418.69,1547452766.42,1631737144.57,826951266.87,1056344964.16,1262444693.19,1414196984.20,1234879257.31,1608192028.50,1541061721.63,1547707615.22,1407722374.96,1459859034.18,1475633840.91,1203418803.85,948294773.10,1083449092.10,1215978072.64,686191696.28,798297612.63,962636348.13,1343261186.70,971922772.05,1196331996.85,1766666024.25,1550204709.95,1384495272.62,1756064158.51,660766755.32,1029221683.58,690263448.66,621253189.45,636640725.05,734973556.81,1116915897.98,1021894699.76,683449829.44,631678520.76,561940774.87,536316513.82,476157118.43,738402319.99,820670094.16,562633000.82,861811866.46,890140883.58,625677570.38,701068323.99,632151969.58,327724004.61,333736416.52,312283545.54,298721223.52,307710400.61,302934652.23,460602294.68,330211256.57,324946902.27,393610549.09,495019085.28,449466380.30,365125895.42,497720943.35,444528563.28,109196965.81,144005102.40,65861751.25,115827132.93,0,24989217.08,0,31256351.91,0,69230300.00,0,48346980.02,24497027.31,22244345.04,0.0
3,交易性金融资产,49425065.17,35307641.16,12819247.56,8622555.03,37438337.02,30625567.13,37003147.68,63935969.65,88708630.57,92594659.93,56253610.69,28050706.89,6208970.71,104984550.14,103613034.26,205087253.81,185681203.43,56688224.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357200.00,0,230110.00,119460.00,263790.00,0,0,0,0,0,0,0,2499115.00,3962080.00,832050.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4860.00,0,0,0,0,0,0,0,0,7030000.00,0,10920400.00,2700000.00,10000000.00,0.0
4,衍生金融资产,586874.00,5288582.00,84000.00,0,0,0,1654343.77,0,0,5250.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,40425278.51,248585479.50,990178413.44,978686729.12,113858403.56,17264730.10,312094207.87,2536972.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,15691376.46,216311793.11,965274900.00,965274900.00,0,1600000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300000.00,410000.00,610000.00,200000.00,0,0,4100000.00,4100000.00,0,0,0,446000.00,691000.00,230000.00,82340.00,3886780.00,0,0,0,0,0,0,0,0,0,100000.00,0,0,0,0,0,0,0,0,0,0,30000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,24733902.05,32273686.39,24903513.44,13411829.12,113858403.56,15664730.10,312094207.87,2536972.65,28498480.08,20113346.24,6204548.51,3292847.86,49895472.89,42827918.98,24825573.99,18226454.68,24787779.96,21275041.19,20834625.65,11827214.13,15047582.25,15482644.56,22060827.59,8507747.84,21303925.11,15026901.64,49836648.80,55382030.27,72088865.12,16189810.61,14695151.04,18205446.81,61994804.60,58144544.37,84527729.84,88156678.02,50898804.99,52921143.67,29332439.01,27379097.52,13331923.10,16496517.05,39111221.03,49103232.15,86252132.51,70588435.19,76078054.45,23741754.82,75867049.95,99447998.48,125302766.99,20137838.71,25437997.08,35291742.18,19218594.50,18394523.54,25871949.45,23560564.58,40981068.12,151148729.85,60370008.21,58344181.17,17513110.71,10109440.18,11935574.04,13561520.61,17363156.68,17412093.88,120917707.98,135546277.39,147927252.16,14553649.10,20784535.64,9628070.19,76792973.90,60242620.11,65066021.76,67799748.92,78291431.35,30685336.62,0,51286083.23,0,49518496.01,0,0,0,63441659.56,62894673.42,51795288.10,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
