,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,347004707.01,366172188.16,419664872.62,356109118.21,454955060.19,650282296.80,481423859.58,503515320.70,587180554.44,745582250.98,489608779.25,439733741.73,504917537.68,597323894.72,330395075.66,516668019.31,516550953.29,501005850.92,401585510.57,374560433.58,167806478.76,143819037.87,96240267.34,71629432.86,53214497.39,74728984.45,96652371.84,77543704.00,106970048.76,100127424.35,86518651.86,154365225.79,186643256.69,205334862.74,224605740.90,154797282.56,182798919.62,225816166.67,214919378.23,242598259.15,164930308.18,118312785.75,181466639.88,252106171.73,266152450.74,304786410.86,265934895.90,253458748.91,227099289.29,217432735.72,294640790.67,235432125.87,322539882.49,302663092.03,264917287.95,214073749.62,291587788.40,249281868.27,249626038.62,240928867.74,268397490.68,264388930.55,279784517.69,276323983.00,31193728.96,50379731.10,51425081.49,0.0
3,交易性金融资产,0,5287230.00,5287230.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.00,0,0,0,0,0,0,0,0,0,0,0,2000000.00,2000000.00,0,250000.00,250000.00,0,5000000.00,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,50274751.10,428835321.39,300140942.60,297470344.26,13902471.83,433994438.35,366764677.40,206272284.96,894591.15,0,255807478.93,0,12715377.83,0,90681181.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,1000000.00,500000.00,500000.00,2300000.00,0,500000.00,303000.00,9100000.00,3070000.00,5400000.00,7700000.00,1500000.00,3940089.80,5500000.00,8000000.00,200000.00,250000.00,0,0,450000.00,3250000.00,500000.00,1134475.77,2405000.00,4429936.75,8334936.75,6965000.00,2370482.00,2900000.00,6179657.80,2050000.00,847485.42,4350980.00,1201911.00,315055.00,0,0,0,0,19121000.19,4019984.25,2782731.80,8622709.98,250000.00,3473823.98,4227841.97,10031000.00,0,671650.00,0,11740000.00,0,0,0,0,0,0,0,0,0,9006863.38,0,1812000.00,0,0,0.0
7,应收账款,50274751.10,428835321.39,299140942.60,296970344.26,13402471.83,431694438.35,0,205772284.96,591591.15,236484329.24,252737478.93,163710360.65,5015377.83,103951674.35,86741092.18,393617.00,996236.13,373764.21,1058924.34,493296.30,6138472.60,941920.94,861411.53,984085.43,1555145.43,573562.32,4791755.28,4865477.44,6900770.68,9261417.20,5464207.35,4859997.47,16561310.30,3341195.96,7870242.44,7427065.06,2644853.92,5832095.70,6549546.69,9229518.56,5297923.56,9893882.09,18876814.09,34623105.63,30970678.62,60891050.10,60768751.53,52410374.26,39046673.76,41888591.70,60170766.13,58506106.25,24441645.99,55743402.39,34521661.29,40377392.23,14711906.96,36910584.65,39870092.60,32904116.19,23218362.96,41289391.06,31153986.00,21770802.29,27704183.85,26302896.89,19848628.73,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9,预付款项,17473098.79,36063004.88,8487201.91,8630351.66,9200331.14,7773556.51,9782915.48,3231344.00,3320931.01,17604503.26,6884188.27,3284973.04,342452.83,3451143.27,4387026.27,0,0,627000.00,627000.00,627000.00,1477000.00,850000.00,850000.00,850000.00,850000.00,850000.00,304600.10,419146.29,434740.41,1125639.51,15119007.61,16459887.61,6509592.51,1468647.53,2166257.33,2253219.77,1449964.82,5280217.90,6054870.70,8356001.78,6379847.86,0,16274307.25,13095582.31,12018116.09,21505708.27,62033113.27,87747095.27,57621937.84,84110356.56,86242511.67,115896028.12,102462824.29,161362373.86,69881501.45,67227575.57,8007308.85,38178794.20,42659858.10,41326123.05,20179779.16,41096428.25,34012623.85,20187589.83,18114688.04,3188578.45,3463239.89,0.0
