,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19941231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2293655282.48,3048157264.94,2848264417.50,2600642660.69,2370208075.11,1804752586.52,2027510784.55,2099569637.61,3095104836.02,3550861803.41,3706917478.89,3312563606.29,2311065811.93,2196929416.01,2359448776.68,3323416000.82,3204894679.43,2397178881.17,2067685420.03,1919717962.94,1820701453.80,1895468049.11,1006159871.28,861139749.85,772154990.22,412018843.05,834132696.45,640235657.97,1474165903.12,819467366.67,1071392456.21,1362080630.86,1048813642.86,2149573391.33,1507757160.42,1173257779.86,1086557591.31,1180366310.38,1287887911.19,919777865.65,993448252.48,1829874051.21,1056355187.50,816699782.81,831652157.19,1231083583.47,1110014872.56,1237149579.38,1025289329.39,850420272.43,647892690.25,516869224.28,755087756.04,630405734.03,621562709.51,512174615.17,541848969.22,482617314.90,511904400.05,561194870.85,401139026.81,469674031.88,355000176.43,483676403.37,451857658.26,154346656.48,413877074.41,385901308.33,322325207.31,284491682.69,246152442.61,202605387.36,80856016.71,110813957.37,164482045.68,44095955.02,50471529.69,97117133.16,5516839.18,228499655.08,15784189.74,13111001.37,28917035.18,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641000.00,641000.00,641000.00,641000.00,10001630.82,26080180.82,29511630.82,440000.00,2570000.00,2200000.00,2000000.00,0,0,0,0,7242000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,661613306.23,867794290.92,926149068.82,478630659.48,884895713.82,1048691505.66,1043032836.51,815059917.82,0,1260283379.68,1268079550.70,1127770024.99,0,804961148.68,809014162.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,70282462.51,161160501.66,112816067.34,73746116.59,323738299.21,387388378.99,325921954.43,317188887.96,249174074.92,396999890.76,374804475.59,333491038.44,20074354.74,45698497.62,53253097.88,112491948.83,86911201.02,132136125.98,149516296.43,126336038.23,133333170.76,57396927.16,54703281.97,137182497.35,84761782.71,137855701.67,179054546.26,202224377.87,144276101.44,289168067.08,181354377.60,209361323.47,988000419.61,567345414.72,893842888.42,745806998.21,977298275.52,796131193.42,607447265.04,247879114.43,608043171.54,440044465.21,547114920.19,659270386.47,445108226.64,442634609.01,663851657.96,392786647.41,215304790.50,249249774.61,77708704.19,84944585.68,78478458.31,39183055.45,41189429.06,32821577.28,30371297.52,29446550.00,26956427.88,30493445.12,23771360.10,22465790.69,20316404.09,12937012.47,27287548.87,47556694.66,12075668.00,8027809.60,3777700.00,11488780.00,0,4236030.50,17315001.27,152854226.00,78512197.52,31947560.60,2808230.80,2140000.00,3200000.00,1950000.00,0,0,0,0.0
7,应收账款,591330843.72,706633789.26,813333001.48,404884542.89,561157414.61,661303126.67,717110882.08,497871029.86,750201858.40,863283488.92,893275075.11,794278986.55,697717928.13,759262651.06,755761064.32,589810319.94,946777332.17,920495473.65,978645960.77,821755023.96,477136731.45,335952554.41,368953482.47,211404216.51,316051834.43,296684539.20,293007139.84,124567524.32,332615171.68,268967396.45,219132798.02,142931731.53,186800940.00,101893782.90,161784560.57,102623851.09,169975057.62,385259762.98,462106501.78,353530198.62,421390258.41,410795263.74,431787129.79,395207595.93,456729342.08,429463322.52,369497961.18,359006076.78,449875307.95,458621008.21,458437123.79,401929885.96,404907525.54,406159434.31,332753858.92,405000284.27,364603238.58,408661785.10,381746136.67,381979650.46,424309184.85,443070267.56,391551371.68,393632947.10,430734976.91,429135231.92,428716583.24,437559460.23,447927956.97,454968208.26,450815911.69,459018728.25,655310370.79,671522605.69,714955493.39,741314037.01,773345171.41,690952709.63,617706001.67,583521221.62,427521371.46,438338207.51,381839425.89,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
