,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20151231,20141231,20131231,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
32,固定资产及清理(合计),279010657.38,276990522.33,277402560.76,279409261.35,277468681.97,224346686.13,198668865.01,201963458.33,0,198489596.71,0,211549236.66,0,219580661.50,0,0,0,0,0,0,0,0.0
33,固定资产净额,0,276990522.33,0,279409261.35,277468681.97,224346686.13,198668865.01,201963458.33,203578611.45,198489596.71,206085242.54,211549236.66,215320100.50,219580661.50,229818241.05,227684452.48,219183340.59,221424789.50,109398886.67,94314430.38,95456791.64,0.0
34,固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
35,生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
36,公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
37,油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
38,使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
39,无形资产,9914189.93,10056767.93,10199345.93,10341923.93,10484501.93,10627079.93,10769657.93,10912235.93,10899849.74,11038617.14,11000303.91,11134716.87,11269129.83,11403542.79,11343910.57,11749371.59,11705951.76,10333349.72,10409477.51,10364019.68,10603497.49,0.0
40,开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
41,商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
42,长期待摊费用,74444.57,77777.90,81111.23,84444.56,87777.89,91111.22,94444.55,97777.88,101111.21,104444.54,107777.87,111111.20,114444.53,117777.86,124444.52,137777.84,151111.16,164444.48,177777.80,191111.12,0,0.0
43,递延所得税资产,3008688.78,2696440.18,3719429.33,3167428.33,6348278.69,6095861.49,4946624.69,3771107.22,3718618.18,3621076.25,3231491.93,2460410.40,2798713.69,2819611.83,2845483.83,2984812.52,2481742.32,1568050.76,1498404.52,924542.83,124159.76,0.0
44,其他非流动资产,12100000.00,18868854.87,18868854.87,18868854.87,18667884.00,18667884.00,18667884.00,18667884.00,21000000.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,非流动资产合计,405191385.56,384832999.25,378544869.48,372866409.42,336516285.19,328935696.82,286280843.95,272109545.60,265557085.69,236899706.18,240819295.17,243592768.39,247501389.72,252444517.83,261193414.08,273278606.02,256907759.43,261800182.35,227963076.30,127151189.01,115696187.62,0.0
46,资产总计,765791390.63,756720327.09,786589678.49,808365873.20,781530837.02,762296935.71,709842054.39,693655002.48,649736264.56,621995438.26,629414088.45,458507468.59,457683147.37,458851970.82,492021216.39,550871504.18,511805982.68,498611387.05,449749677.22,291311382.14,269914728.93,0.0
47,流动负债,,,,,,,,,,,,,,,,,,,,,,
48,短期借款,39256872.53,11828037.15,4132155.27,0,0,6291060.37,10131747.88,4942528.31,7677398.13,4700241.04,4040078.68,21899480.58,23737662.68,27243352.90,82200206.43,124090382.48,129722575.02,138002460.85,125783652.68,79497624.89,68646825.66,0.0
49,交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,应付票据及应付账款,74598369.76,75467224.27,72419968.15,74672256.05,76621211.98,63120586.58,19444178.85,28480499.13,0,14400819.92,0,5396676.49,0,11971889.01,0,0,0,0,0,0,0,0.0
51,应付票据,49948070.03,43763614.13,0,37591851.46,0,31254400.00,0,0,0,0,0,0,0,0,0,18300000.00,0,0,0,0,1000000.00,0.0
52,应付账款,24650299.73,31703610.14,0,37080404.59,0,31866186.58,19444178.85,28480499.13,16699978.41,14400819.92,14341875.38,5396676.49,14199926.20,11971889.01,5092431.03,10738550.46,4558683.22,8984031.50,9898894.34,6382966.02,11255157.00,0.0
53,预收款项,3499184.87,1636327.82,3064979.62,2862533.67,7336307.99,5386794.11,7206818.34,2044705.30,2237766.89,2846246.52,2061734.40,4209450.32,1557789.51,1387749.76,2266629.46,4027243.50,2943648.56,1674200.32,3277133.82,1269774.95,2217792.66,0.0
54,应付手续费及佣金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55,应付职工薪酬,16665159.91,11827561.53,8944369.00,14564687.52,17269011.38,12682181.85,8659068.82,12435690.86,12267250.75,7146268.72,4809629.68,8885979.70,3615150.45,3231047.05,5152128.89,7929647.53,8235581.20,2128371.78,4553199.34,4169491.73,159751.75,0.0
56,应交税费,923519.34,2084043.51,9319186.78,3682879.99,5261754.03,4877712.88,4212014.27,3740921.32,4411579.26,4354218.18,2835087.80,3914830.19,3313294.41,3639228.49,2626194.85,2042223.15,3327408.21,3370113.63,3664103.72,-443292.22,-3448314.15,0.0
57,其他应付款(合计),43413571.28,86295649.02,1740064.02,3421143.44,23750073.29,39026984.57,27383578.34,27761916.07,0,3899013.02,0,3108931.74,0,22979547.72,0,0,0,0,0,0,0,0.0
58,应付利息,197411.86,44272.41,4418.70,0,0,71897.58,55707.95,19121.02,26788.94,18182.10,5420.89,84659.66,68728.15,42208.06,112290.42,534176.24,0,0,0,0,0,0.0
59,应付股利,41264900.00,83000000.00,0,0,0,12450000.00,0,0,0,0,0,0,9800000.00,20000000.00,0,0,0,10200000.00,0,0,8838290.00,0.0
60,其他应付款,0,3251376.61,0,3421143.44,23750073.29,26505086.99,27327870.39,27742795.05,3540504.50,3880830.92,3637414.66,3024272.08,3652032.05,2937339.66,3685752.87,4413528.84,2284062.28,2785207.35,2660548.60,956787.50,9399255.55,0.0
61,预提费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
62,一年内的递延收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
63,应付短期债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
64,一年内到期的非流动负债,0,0,0,7658964.80,0,0,0,0,0,0,3000000.00,3000000.00,3000000.00,3000000.00,3000000.00,0,13000000.00,3000000.00,0,3000000.00,0,0.0
65,其他流动负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
66,流动负债合计,178356677.69,189138843.30,99620722.84,106862465.47,130238358.67,131385320.36,77037406.50,79406260.99,46861266.88,37346807.40,34731241.49,50415349.02,62944583.45,73452814.93,104135633.95,172075752.20,164071958.49,170144385.43,149837532.50,94833352.87,98068758.47,0.0
67,非流动负债,,,,,,,,,,,,,,,,,,,,,,
68,长期借款,0,0,0,30635859.20,0,0,0,0,0,0,0,0,0,0,0,3000000.00,0,33000000.00,33000000.00,0,3000000.00,0.0
69,应付债券,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
70,租赁负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
71,长期应付职工薪酬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
72,长期应付款(合计),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
73,长期应付款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
