,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,2122123261.72,2048518015.65,2119188353.20,2660342642.32,1209963519.04,1307991591.69,1126001984.96,1459984155.14,1045107367.81,1375755315.69,1379747550.58,1505278914.85,828628420.99,1019418364.92,1199002432.76,2123818258.28,545780364.57,1467010111.69,855821780.67,1729183046.12,785707370.23,1658918881.12,391166326.00,1144539554.10,333690245.66,960444054.86,264096233.06,1106453598.59,331705539.10,1130518140.90,404296587.36,1121104843.33,1095504550.40,1100071319.90,1079163001.84,1101522157.86,1065325319.59,1080202507.18,440365460.51,300944507.15,271276575.81,140683789.19,165668126.20,162434789.80,142585096.40,267882168.17,216287958.79,748397946.09,324167400.56,296977012.14,492253746.47,416307698.67,565489944.64,850850427.48,818340124.38,1653346523.44,699506202.12,538198034.00,621386182.68,656264569.27,656735372.21,665160818.61,495445649.96,738941473.14,1059057010.79,731559445.41,521587888.10,830568827.75,1071863905.67,1311258040.62,1048806781.74,1039481101.51,1115507303.64,1286190555.01,961351248.83,1651369649.27,464857138.09,231598846.92,130985409.22,267514470.77,0,167150457.23,0,227071804.07,0,180793880.00,0,96785875.55,90167884.72,223522207.20,338045490.23,105058403.85,20888733.53,23027456.15,0.0
3,交易性金融资产,253022773.96,560309486.30,557263226.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150.00,1150.00,951235.05,951235.05,951235.05,951235.05,5263856.43,10263856.43,8783989.80,3783989.80,7693468.09,6972128.09,4341931.66,8499706.92,21893201.11,4668614.08,143448622.78,73461332.78,133439858.07,45795477.34,202503108.82,2622558.99,2031993.27,1944438.27,4315450.75,2313250.75,0,15575191.10,0,20531095.26,0,9190800.00,0,10486130.00,10497130.00,10797130.00,0,10797130.00,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1405658787.92,1219536264.86,1155254585.41,974264697.47,1497277746.08,1500453119.64,1322270539.50,1166999125.44,0,1071191079.20,0,873297501.93,0,743691922.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,60820835.27,47222999.60,60589876.36,75740153.11,54641479.48,33694819.43,20268846.76,25892867.39,14361463.80,42166494.00,41960840.77,33625229.00,25796987.00,17055438.50,26425164.30,35987301.76,13661893.27,16551267.69,17646593.66,17539761.32,22496992.98,23212052.46,32936805.63,29010693.80,15092685.00,19627416.00,14296447.34,22426724.84,10159149.00,35261778.01,52465923.89,11487347.04,7909917.51,12642507.79,8241653.71,8953439.65,2412888.65,1623380.71,2523423.85,2102080.84,5513950.95,9530150.17,18930135.82,20007884.16,16234225.90,44617951.18,140840135.12,179338184.20,22110560.93,68936977.61,12305948.47,3587356.52,15472903.94,37251799.26,35276718.67,39448480.08,553600564.99,578255519.93,627940777.63,1057774991.15,806654402.24,707021341.66,800129880.03,949195435.66,685166944.57,865751562.47,817460250.70,814679729.31,453442457.01,674734021.71,730119307.14,743549114.98,420236431.40,462019208.38,679367743.47,636988417.74,574657847.98,825676026.79,374341862.71,507492081.84,0,608130494.85,0,242757761.58,0,0,0,49417226.74,34255325.85,66938412.72,0,98466417.56,0,0,0.0
7,应收账款,1344837952.65,1172313265.26,1094664709.05,898524544.36,1442636266.60,1466758300.21,1302001692.74,1141106258.05,1129265604.49,1029024585.20,917871552.03,839672272.93,798167356.81,726636484.32,754757834.03,576039763.83,372512697.95,333349567.13,295623426.56,268606498.57,372164545.36,283335821.63,215598474.90,174359290.14,243541325.18,244242357.73,236485731.90,176953720.53,215095010.56,291685059.74,190482213.00,232449948.41,125561646.66,139888797.30,130161564.58,128192661.69,101741133.01,100412173.53,100475833.57,112413077.70,102670716.73,103514191.26,119213497.37,149917664.57,250599430.33,238505573.94,242579688.33,297478764.25,496865221.69,589481700.86,633196623.91,328984634.76,264134246.07,274760140.72,232597915.19,210940004.46,863767841.42,923232473.44,1045080019.33,897544774.15,1039271490.71,1036299974.90,829274196.58,773990491.77,884508013.34,901041557.29,751911404.73,736488683.63,827189839.33,828951067.91,844316026.91,714385466.23,621257098.92,904781913.10,672361836.75,628888557.10,623121810.65,477397467.17,624610996.38,538364681.35,0,502539288.04,0,330451122.64,0,0,0,112383877.40,119228540.66,161532143.73,280066326.54,176071114.92,261225466.13,164919388.73,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
