,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19920630,19911231,19910630,19901231,19900630,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,970783267.39,1073651060.59,1176449892.35,1418208241.88,1564173041.87,1511164946.50,1694779635.60,1382002467.05,1013532903.24,904566314.84,969259080.94,1368852093.87,1299004155.91,893140573.57,1019226722.11,1478688053.19,1252475130.28,1190144805.36,857988979.43,1627587709.41,884798866.33,1075947380.28,1034875702.79,1407589802.19,1157435579.25,1195592977.72,1249114211.97,1326250632.11,1238448106.59,1374247106.35,1507689716.61,1783491186.14,1698851129.67,1763439995.36,1803487029.96,2336790073.13,2234984284.36,1235782392.59,1308984581.28,1238077709.30,1318113024.89,1601356502.73,1291892087.08,1229743262.79,1482972637.49,1485679148.11,1538273245.05,1756907899.68,1636877892.89,1957530017.13,1968695371.09,1398099536.96,1602183847.36,1399360677.33,1678155798.11,1454728330.62,1531166417.84,1371937670.44,1481954053.68,1479606654.46,1077412542.82,1244755424.67,1575372631.84,1537840250.49,1307126241.37,916232961.63,811771914.53,898464570.14,829009470.38,850404965.48,953927021.46,1003949520.47,326716542.54,491928792.42,232022168.76,213408610.32,128951564.04,68830412.80,81553874.23,102711214.12,0,66480361.04,0,63590110.53,0,54760000.00,0,1862000.18,2325058.24,992776.36,461208.73,709149.80,702566.24,448430.48,95663.16,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000000.00,0,127221509.59,166392671.59,190775796.76,141931091.26,0,163704478.61,0,110257030.32,0,111704000.00,0,31900284.00,25435732.50,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,1563598126.89,1596673819.79,1562510191.76,1841930737.78,1621025146.90,1721985183.81,1796934521.80,1849187745.11,0,2130394875.08,0,2217940717.08,0,1918833617.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,203520264.63,159628968.35,185648143.70,146112168.82,106308787.97,135923803.78,211567578.12,307203063.31,313364422.19,241239771.97,267490346.74,326635784.96,301754051.37,387876373.56,331075333.38,304927277.94,318437214.12,414710873.53,384395500.70,262988522.86,343048404.66,316374416.71,243096301.91,280761461.56,336631411.46,360565489.12,267341829.50,397744935.41,288594859.57,151856250.71,287314948.78,242786873.28,220429140.14,181068647.51,285730284.42,278674639.19,312932778.39,270725536.05,336924244.47,275977499.18,260766152.79,260366814.67,229767350.91,214509684.81,249727211.18,196236977.87,178906648.23,186374269.50,176716535.75,184422575.79,119735000.16,172733092.99,176810695.59,161441816.51,137068130.00,135086484.06,0,130515271.71,113886328.07,145517704.58,4659704.56,5365589.77,7287846.91,19379778.07,34542482.69,2749000.00,800000.00,10049358.40,16289775.40,203980.00,3839557.00,52230000.00,0,0,290000.00,263338.00,0,160000.00,409366.55,224384.59,0,1295749.43,0,200000.00,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,1360077862.26,1437044851.44,1376862048.06,1695818568.96,1514716358.93,1586061380.03,1585366943.68,1541984681.80,1825728488.59,1889155103.11,1806419542.29,1891304932.12,1598314490.20,1530957244.12,1475131060.74,1512086848.11,1240176603.08,1226382779.43,1280764271.43,1336489061.22,881425293.30,921930706.16,812725862.91,793078983.69,895505734.11,1010774931.75,883642773.24,928461212.30,939044690.33,802601301.31,626443195.44,750530499.95,976457868.80,986180227.83,878951270.12,855353217.17,965449132.29,903499482.58,901055012.26,749312371.19,777304219.16,595468223.37,584139005.43,504824719.07,676858246.75,723587373.28,763272697.68,619498587.93,697981611.74,619306088.08,583271959.20,545331475.51,644001736.30,621061201.25,549066735.37,500215380.75,616805898.17,561932754.78,450520066.92,453904273.44,918963005.80,687161224.79,451601337.00,528335177.64,607737121.46,340307364.41,313750647.22,205823253.91,429135131.28,418085100.40,384402091.35,334143925.67,323647116.89,289925682.69,191311170.80,140597167.54,135155250.69,113476383.04,69503332.38,67700094.93,0,49019042.33,0,24236928.11,0,0,0,8690991.12,2539977.55,2052133.60,7170886.63,6560623.25,5214558.20,4344920.23,1148449.90,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
