,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,20101231,20091231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
23,发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
24,可供出售金融资产,0,0,0,0.00,48453682.11,50714620.31,50463996.76,54879812.67,54879812.67,63779244.82,63779244.82,65258931.55,65258931.55,66907880.08,22151416.38,22321405.41,22321405.41,22396956.09,22396956.09,22396956.09,22396956.09,20625761.61,0,0,0,0,0,0.00,0.00,0.0
25,持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
26,长期应收款,0,0,0,0,0,2094000.00,1005000.00,0,0,0,0,0,0,0,0,13835929.10,24753088.84,45486640.99,42405511.59,38988243.00,44236000.00,81150000.00,0,0,0,0,0,0.00,0.00,0.0
27,长期股权投资,8595543.12,8172544.50,5424384.50,5801998.93,5801998.93,1801304.79,1801304.79,1870813.75,1870813.75,1971876.71,1971876.71,1976809.90,1976809.90,0,0,0,0,0,0,0,0,0,243971110.03,0,240119818.47,205529347.73,70529347.73,0.00,0.00,0.0
28,投资性房地产,39583162.69,39908139.38,40233116.11,40570960.65,40883069.56,41171367.23,41495724.12,41410722.18,61648516.22,59440731.64,59842880.66,60245029.71,60647438.54,58193093.82,58548945.39,58912674.71,59272465.14,59632255.60,59992046.07,60351836.55,60711627.02,61071417.50,61431207.97,0,62150788.91,63508891.27,7333243.27,7487656.99,7642070.71,0.0
29,在建工程(合计),43325427.73,52822628.65,47531103.84,46428339.24,46435230.62,79623039.22,64056070.89,46173894.33,42129600.55,0,103452021.98,82106864.22,81758372.92,0,101247030.90,99423729.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,在建工程,43325427.73,0,47531103.84,0,46435230.62,79623039.22,64056070.89,46173894.33,42129600.55,39450715.61,103452021.98,82106864.22,81758372.92,126609034.42,101247030.90,99423729.37,80459851.05,97753220.79,318726900.07,316940434.20,303058593.27,243799524.36,96128819.31,0,109405189.61,91628147.67,110198701.61,75532612.81,54907868.58,0.0
31,工程物资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.0
32,固定资产及清理(合计),757223251.53,811188667.11,830406532.59,851634823.69,871669582.71,846125694.37,869218626.01,877891858.42,877172854.60,0,840003752.17,879290726.25,878181882.05,0,829221097.00,845460177.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
