,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20011231,20001231,19991231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,472587951.39,470950155.16,414532155.30,397539431.73,435594804.76,484638655.17,427796860.43,354604448.92,411546334.52,426991413.44,330250936.07,296688561.44,365040204.39,337105469.84,286203066.59,145106975.39,136768079.18,164292996.71,115791287.63,104202454.92,110340060.38,30005894.43,36813813.59,76280244.68,39292499.54,19246548.40,25333252.74,34946773.29,118220993.77,20580154.19,56124459.32,97401136.11,33120112.73,111481801.91,51393547.86,38960310.80,21150765.34,88231822.05,69773261.22,79040781.79,50020725.12,110131209.73,48893720.37,97135344.61,155302348.38,145224216.27,94468369.15,83332361.88,27103122.75,204617903.46,115162416.53,88939718.25,138626495.95,144943020.04,197197774.76,76331648.71,80667643.18,101104892.51,88193982.17,20768016.48,75531406.36,38868601.40,147724621.43,144106886.77,61096873.53,159777114.33,146007162.82,161749589.97,163671090.22,15168382.38,10441486.53,46646229.56,0.0
3,交易性金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,0,0,0,0,0,18000.00,0,0,0,0,0,0,0,1080868.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110683.75,260683.75,350000.00,866000.00,900000.00,792050.00,392050.00,0,0,0,287719.99,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,0,0,0,0,0,18000.00,0,0,12600.00,0,18000.00,0,2671455.55,1080868.31,1005402.29,974131.31,295235.71,172878.58,172878.58,536141.58,2035752.22,3101768.23,997964.54,3303384.79,3395740.89,5989162.63,4162427.74,5511074.13,7521695.78,1745851.62,1092479.92,2047390.62,423532.48,318579.55,640781.73,615949.75,1724405.62,761664.02,947757.74,1041123.55,436247.39,241817.79,217603.39,217603.39,136447.63,1795819.27,3703804.99,5793608.96,9798246.09,10506554.96,9353437.35,9028796.54,7603696.28,11390922.96,12720241.47,14372143.17,16726992.90,21819950.23,23900722.85,31322202.28,27735238.42,53346449.97,46541191.93,41849768.79,29823116.93,41999863.02,44826276.66,19448312.20,19434350.41,18285319.34,19207604.47,27632933.37,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
