,报表日期,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20031231,20021231,20011231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
11,应收利息,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701032.81,1487970.50,1591031.19,1621878.38,1407849.00,1538312.50,0,555256.25,0,0,0,0,0,0.0
12,应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34995562.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044068.75,0,0,0,0,0,0,0.0
13,其他应收款,0,35565388.31,0,41682069.20,26830646.23,28257848.56,33778997.34,35995636.05,20805927.56,26794163.44,33901831.91,14867320.19,13127574.09,25362492.55,27838178.64,25996679.79,29971569.32,12555110.00,11549240.09,9101229.73,16105704.29,6393014.31,4863459.43,4898912.66,5243417.29,4292560.98,468873164.37,3896681.82,3801042.58,3309684.22,7504488.25,4376566.60,11591756.76,11777839.47,11107900.20,8042716.48,7430423.43,6153009.50,8005210.85,5046334.42,3430151.66,2990333.96,7254698.10,8925455.51,1983874.22,17600101.27,33750719.53,17442447.41,17438671.19,17141901.48,14161151.40,15746279.94,15625624.53,15457096.68,15079609.20,11869399.78,12402372.78,9308089.61,9870326.00,10728952.67,3787820.53,6073059.25,5158489.37,4028146.19,3469684.16,0.0
14,买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15,存货,4103820907.91,4240503456.39,3980204957.60,3999688954.03,4233446404.56,3812652139.88,3749053708.54,3876092911.13,4191851736.14,4504922400.43,4247278933.95,4058740696.68,3927183652.26,3767317004.37,3474882578.61,3384658365.02,3341755276.14,3196810830.79,3209158176.06,3017864193.26,2863587516.87,2593256968.95,2522953943.50,1731117122.20,1816296092.72,1719704305.35,1724665193.70,1813881100.44,1834618221.62,1769958132.23,1717118635.39,1706219052.90,1678699104.21,1586663919.00,1447935266.38,1243384144.59,1294753882.45,1395231359.03,1200078363.86,1233085541.28,1235978792.70,1310525815.49,997918668.16,987982858.51,918663306.78,936377611.92,844216531.10,36518955.61,36702324.90,32708966.59,29582094.96,27183350.30,30699923.07,28378528.75,27227384.56,25101311.92,27641666.69,21860514.55,39093550.74,18970297.65,18898919.31,19645710.16,17807434.06,15166242.50,12489712.87,0.0
16,划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,其他流动资产,294091769.93,274736398.31,336615470.85,284889197.44,218418058.05,151503269.73,160907365.62,809143280.60,465227839.80,356117057.80,837501176.69,1055296139.32,682344541.56,125501690.41,126261394.72,92227162.28,99857765.39,92173206.37,113946037.28,93016748.28,183752293.98,51566982.63,32386884.54,253132776.89,6012821.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
