,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19930630,19921231,19911231,19901231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,3037214681.70,4375757965.64,4468069976.10,3349494589.02,3649743731.23,2548657686.81,2062216221.29,961610042.94,3024127979.43,3876601014.21,3661495051.50,3543075154.92,2908094489.68,2287849495.60,1952525411.00,1800763784.13,1778702659.81,1166988137.60,1069029945.17,1561902841.69,1362612219.21,1694809950.08,2203417051.09,2121528920.83,2051049279.23,1900348228.47,2815389516.96,2335390017.02,1831359377.43,1527157769.86,851358889.88,479059910.25,672515276.04,528014121.10,809215900.23,978685770.85,1664538250.85,1292413709.01,1022001648.57,1045944029.00,761375636.44,1013538160.34,987303018.63,668489207.14,155786929.47,365994475.29,505263511.30,811074000.31,597206434.46,1042410696.11,225506349.81,304031656.83,323189891.17,312458049.46,599155291.18,444661198.50,463757514.42,400476236.48,1136878677.23,490844496.77,579619525.55,475299616.48,507746220.38,379598281.96,392934268.75,425969781.65,654481057.76,714658785.92,690239099.33,711523249.38,536368561.06,568137600.00,544069764.15,568710336.25,447430657.41,382859239.99,274637532.72,280791846.16,245964557.84,124724581.99,179922139.16,0,64909178.84,0,30298922.89,0,50477412.44,0,42032659.73,0,32912952.99,23008022.04,2312159.56,0.0
3,交易性金融资产,1101391388.89,0,0,0,0,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6890.00,6890.00,6890.00,6890.00,7000.00,507000.00,507000.00,507000.00,510000.86,510000.86,10000.86,4252743.96,2700847.90,2700847.90,2700847.90,2700847.90,3049207.40,3049207.40,0,3043217.40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934067.50,2134607.05,0,0.0
4,衍生金融资产,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,15153277.16,6605533.10,6946571.71,7054470.41,8342369.95,8277180.76,7460339.26,9667758.56,9953141.49,0,6015231.19,0,7467388.01,0,19566626.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,0,0,0,0,0.00,0,0,0,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000.00,20000000.00,0,224930.00,0,0,0,0,0,0,0,465700.00,42741.61,881996.00,236686.90,1566343.90,0,0,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,15153277.16,6605533.10,6946571.71,7054470.41,8342369.95,8277180.76,7460339.26,9667758.56,9953141.49,6137329.88,6015231.19,6206623.11,7467388.01,19824035.69,19566626.75,13673103.91,14898715.88,16437059.97,16539988.96,16974449.13,16025050.12,16441994.99,16847634.04,17410678.52,17499912.91,15767920.23,16108596.93,17876331.89,13335291.14,86041.40,102649.40,0,0,0,0,0,0,0,0,0,0,129554.20,0,0,570000.00,79579.91,79579.91,79579.91,79579.91,6199646.54,6152840.44,5903010.46,5153117.44,20718424.77,36254745.98,49875004.91,128047255.51,80365813.68,691911731.65,669615878.45,721022632.52,528988732.13,613937959.11,520485411.35,584286725.38,562673130.65,507686639.86,574996034.54,613961785.91,762683634.56,802229789.59,777288400.00,842987770.61,579706948.09,1160903924.10,553253428.64,696636864.33,552581750.37,594127253.77,523722479.24,535807645.58,0,72762635.60,0,62625003.30,0,77422600.14,0,178717863.37,138776838.80,37783239.46,14491187.53,44562349.35,0.0
8,应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
