,报表日期,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19981231,19971231,19700101
0,单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
1,流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,货币资金,25952673865.78,21127833223.67,23209182166.59,20302490863.29,25186808091.75,16392945151.20,17861150901.92,12095307786.08,12804316388.13,11560098514.46,13089573436.26,11636367006.58,9171316899.21,6235837592.44,5646240021.54,5621151601.05,5585730040.51,4211718528.31,3928584772.38,3947053144.03,167747654.87,152785975.74,17026404.06,46396112.97,67696650.46,57480094.92,48788627.53,46131200.57,68487079.45,97525273.42,108151879.37,102492375.28,69895886.15,49734038.71,71465420.76,47172523.71,71126897.54,50096254.03,55029561.13,123324604.70,181173332.70,168264978.11,167136793.31,156376141.70,159896025.80,166366312.92,158037096.37,119635150.34,127219078.98,37126960.99,119053028.93,27524293.83,27739224.37,88490029.57,86677605.82,79435519.42,88102772.84,102494770.59,120948502.40,149491003.05,167281448.97,156828314.46,153607100.40,131164735.26,177813772.76,177843805.26,248136612.60,275931260.83,318160616.09,329281667.55,357623133.41,421595908.28,466086055.07,440270796.94,1470016.96,16046833.50,6552597.54,10672059.37,4942074.44,0.0
3,交易性金融资产,7675185.46,254050055.15,35983704.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58000000.00,0,0,0,0,0,0,0,10000000.00,0,0,0,24211.20,928308.00,19354197.94,56500.00,13913539.68,47510.00,97980.00,10690.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15005250.00,15005250.00,31471644.16,16684681.40,16996663.57,17719750.69,17980671.57,18653498.02,30823163.09,7182336.75,3123705.90,0,15000000.00,15000000.00,0,0,0,0,0.0
4,衍生金融资产,114783765.70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5,应收票据及应收账款,2105150213.51,2035251305.14,1740528851.38,1750951474.27,1542977573.84,1138023408.89,1104851193.23,919158129.75,833418435.35,1270567756.70,1062945704.48,646303214.33,529429467.82,512756896.07,508064022.09,419758750.77,388705131.70,464942888.37,236526580.93,401707071.49,66773816.88,70484769.93,73200423.35,69372157.53,66677494.11,63177670.71,70900363.95,66527059.59,68462504.22,63082271.06,61668801.30,59046546.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,应收票据,82667259.28,45844208.31,25863997.59,31347248.26,55986606.54,17545728.27,23867099.01,17344982.41,24593958.60,12646150.49,5287886.45,4313148.02,10166813.42,4874412.37,4735401.44,8739898.15,12822297.07,3139134.45,4530843.40,4416175.90,6060787.56,5895332.33,4163957.89,8601978.76,11474843.36,3052823.20,3501801.44,3692511.55,8460383.86,3919807.23,3317927.93,9236913.45,12581337.27,7044539.24,5482173.90,12619524.92,17909431.77,3946164.20,3924291.65,4504329.06,9697942.70,4806525.27,5596625.92,3821245.19,6032889.42,3052390.84,2798577.98,2380552.40,4116939.48,1503554.50,3194245.15,2919681.06,4644526.76,5044238.10,2366401.22,3769108.57,4549635.27,4807128.67,7767849.56,4536658.99,4353791.04,3732908.43,2677874.80,1826318.31,852796.30,0,24496.00,157962.70,564164.50,0,0,0,0,0,0,0,0,0,0,0.0
7,应收账款,2022482954.23,1989407096.83,1714664853.79,1719604226.01,1486990967.30,1120477680.62,1080984094.22,901813147.34,808824476.75,1257921606.21,1057657818.03,641990066.31,519262654.40,507882483.70,503328620.65,411018852.62,375882834.63,461803753.92,231995737.53,397290895.59,60713029.32,64589437.60,69036465.46,60770178.77,55202650.75,60124847.51,67398562.51,62834548.04,60002120.36,59162463.83,58350873.37,49809633.54,48605104.40,44940111.28,53593342.98,52412208.13,38809784.02,50891351.93,48079768.21,43468249.42,36776412.86,44599229.44,43191292.86,42523158.01,31382934.04,34854947.20,37151343.26,32771095.48,28149872.58,28467052.95,27626335.57,29895065.98,25772159.61,42449512.85,49470242.17,53457968.63,57676153.44,80281651.03,84094448.60,83895559.53,80696493.52,84981303.91,75849404.49,87485341.67,80556729.32,67580467.89,62285993.88,58732861.58,50268024.72,55131760.15,55193294.72,44938681.17,36235025.69,33258520.09,19152682.66,79064987.84,65304668.22,39950947.58,17573049.88,0.0
8,应收款项融资,36619918.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
