,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600077,宋都股份,552.8843,37535.1529,910.6258,3148.9441,5486.9565,598.1826
1,600705,中航资本,3017.1655,33556.4155,942.9586,5730.4954,4788.8889,461.8442
2,000656,金科股份,833621.9227,5648.8773,1391.2926,9092.1055,1141.5556,1243.8405
3,002181,粤传媒,384.4525,3722.5879,187.5292,173.6622,1760.8247,187.5532
4,000595,宝塔实业,-21.6404,3509.6988,17.7542,8.2097,3125.0,17.7542
5,600353,旭光股份,5.6765,3414.9983,22.2125,18.0325,3406.5041,22.2125
6,600145,*ST新亿,-63.2759,2337.15,-8.9272,-39.6157,7400.0,-5.9313
7,600057,厦门象屿,,1725.6189,192157.8257,7085.5815,614.2857,173161.1056
8,600287,江苏舜天,-4.1337,1643.4779999999998,-12.7857,-9.5046,4.5455,2.5855
9,600397,安源煤业,1178.7768,1641.7802,425.5584,291.6881,830.7692,421.36699999999996
10,002204,大连重工,876.9405,1474.8964,408.8359,628.6291,455.5556,432.1935
11,600116,三峡水利,5.6935,1318.1091,6.4368,13.6092,550.0,7.2893
12,000736,中交地产,490.6398,1246.2318,12.0517,2.7538,1500.0,11.4353
13,600193,ST创兴,-60.888000000000005,1241.3985,2.5837,7.109,1050.0,3.6787
14,000525,红太阳,33.8848,1203.6032,307.8912,117.4122,3989.7059,388.1925
15,000019,深粮控股,-18.5075,1158.8587,10.2831,-0.3962,1363.6364,10.2831
16,600675,中华企业,40.9278,1004.7985,26.8354,2.1038,1072.2222,27.3842
17,600623,华谊集团,14.9769,993.3743,35.1206,12.6199,39.3617,6.5982
18,600637,东方明珠,-17.3024,942.0155,109.5241,-2.7579,621.0031,116.7142
19,600764,中国海防,-16.3054,843.9356,2.171,-3.6665,-700.0,1.6458
20,000892,欢瑞世纪,60.9629,704.4139,,311.543,633.3333,-137.763
21,000757,浩物股份,-14.4103,697.6302,,-23.7552,293.7008,-102.4758
22,000931,中关村,10.8396,664.4735,-2.8963,-0.8283,4764.7059,12.2048
23,600565,迪马股份,67.2245,640.2619,8.0801,3.6279,185.7143,7.4272
24,600622,光大嘉宝,402.4462,613.1397,18.8697,15.3391,685.1064,17.0558
25,600455,博通股份,-7.006,595.0362,17.3637,-9.0701,233.3333,22.9131
26,600291,西水股份,-35.2499,576.6957,24.9074,244.1431,-356.5517,-5.6428
27,600438,通威股份,31.0662,528.4892,2.4655,7.4616,78.2123,3.5831
28,002120,韵达股份,25.3417,474.42400000000004,18.6318,-4.0233,540.0,13.7885
29,300013,新宁物流,12.2765,404.6509,3.4232,8.3882,200.0,3.7697
30,000895,双汇发展,29.4326,390.5344,15.0189,-10.3502,432.7751,17.4905
31,000608,阳光股份,-14.9913,361.7171,10.5187,1.31,600.0,9.3127
32,600230,沧州大化,16.6532,353.5607,6.063,13.8328,224.4507,11.6815
33,600182,S佳通,-7.001,346.9332,23.2817,7.902,342.9167,25.2228
34,000791,甘肃电投,8.8435,340.2767,-0.7672,0.7666,575.0,0.4961
35,600313,农发种业,73.1679,337.9366,18.8896,46.5668,94.5946,2.5157
36,000799,酒鬼酒,133.3066,329.8236,109.0663,111.0892,300.3486,99.902
37,002004,华邦健康,520.2735,316.6714,151.5073,239.0933,53.3333,145.6649
38,000629,攀钢钒钛,-65.0669,310.8429,-1.9344,-46.1401,166.6667,-0.7581
39,600292,远达环保,6.8965,309.5027,137.8639,42.5848,762.1359,179.1493
40,600027,华电国际,11.554,304.7975,16.4743,13.3659,122.2222,13.6111
41,300068,南都电源,148.5904,292.2778,9.1822,25.2602,142.8571,2.9367
42,600039,四川路桥,284.5148,290.0491,166.532,319.7271,28.0931,203.4854
43,600157,永泰能源,475.8658,275.0455,280.7783,180.6634,1.5493,205.8519
44,000903,云内动力,0.2508,257.1525,-0.4016,-7.7208,72.2222,0.919
45,002709,天赐材料,21.0896,249.4504,16.9367,11.7499,,17.5551
46,600694,大商股份,4.0086,238.6621,17.7916,2.3192,234.6667,20.1235
47,600260,凯乐科技,81.9469,226.1462,15.4727,22.9442,270.0,11.898
48,600007,中国国贸,27.7872,214.271,4.5603,-0.3833,216.6667,4.5611
49,300309,吉艾科技,89.6822,212.7931,438.7556,381.5414,183.3333,438.7556
50,600702,舍得酒业,60.2992,211.94099999999997,15.7437,8.8469,211.9977,15.7437
51,000768,中航飞机,36.2914,210.5968,1.6333,7.6637,276.7857,1.564
52,600568,中珠医疗,43.4977,209.1846,32.2632,-3.9647,214.2857,27.9125
53,300087,荃银高科,114.8668,206.3405,12.487,30.6708,25.0,2.2797
54,002450,*ST康得,48.5402,203.5475,199.4001,153.8587,87.2778,196.7969
55,600200,江苏吴中,0.3105,198.1359,2.8103,23.4039,66.6667,4.1838
56,600532,宏达矿业,-5.8432,194.705,-27.4833,-15.6325,100.0,-23.1246
57,600682,南京新百,61.1963,193.7408,24.7895,27.271,192.3077,21.5183
58,002148,北纬科技,2.5135,191.8715,7.7592,7.1246,200.0,7.7592
59,000970,中科三环,59.7753,190.1674,95.8139,37.8636,190.3226,106.7284
60,600366,宁波韵升,18.611,189.0601,45.986999999999995,19.2663,152.7643,44.4455
61,000532,华金资本,-7.957000000000001,188.9017,-8.6239,-12.1009,142.8571,-4.5603
62,600171,上海贝岭,-0.2021,184.5119,2.3239,4.9744,311.1111,2.1471
63,002174,游族网络,55.2961,183.9373,26.1296,28.7684,-15.0,1.5701
64,000806,ST银河,23.624000000000002,182.737,-24.2969,-25.8664,170.2703,-24.1816
65,300204,舒泰神,122.8079,178.5569,12.6709,13.8712,15.2542,12.6709
66,000619,海螺型材,9.8921,176.3029,8.5161,6.0398,196.2353,7.6728
67,000537,广宇发展,227.8464,175.8453,54.2202,0.1443,161.5385,57.6638
68,002033,丽江股份,95.8667,175.1586,39.6795,29.8766,100.0,27.3115
69,300187,永清环保,47.6175,165.024,5.808,16.4876,19.0476,5.808
70,600387,海越能源,-33.4882,164.2559,17.4533,20.8025,40.0,3.2952
71,300031,宝通科技,22.034000000000002,163.4616,6.0829,13.6589,73.3333,6.0829
72,600834,申通地铁,-3.0813,163.0826,6.3989,2.0584,160.0,6.3989
73,002517,恺英网络,-15.9125,161.0312,9.8754,10.7817,32.0,9.8754
74,600452,涪陵电力,3.8587,161.0032,6.7051,-11.5981,160.0,6.7826
75,002288,超华科技,164.1039,160.8501,122.3638,101.0219,26.2554,127.7553
76,600166,福田汽车,-14.7265,159.873,82.7328,36.4361,159.7015,79.8445
77,000953,*ST河化,21.6334,156.6599,382.3267,61.8039,155.8974,382.3267
78,600246,万通地产,-13.6335,154.7137,9.142999999999999,-5.0424,186.4407,8.3778
79,600336,澳柯玛,2.4347,145.8198,11.3136,-0.6238,140.1945,11.3684
80,600790,轻纺城,7.2595,144.1922,10.2907,-7.1727,144.4444,10.0932
81,600135,乐凯胶片,23.9602,142.9986,-4.5603,-2.4819999999999998,182.6087,-5.0793
82,002221,东华能源,62.4866,142.6456,36.1197,8.5586,146.3158,15.3483
83,002016,世荣兆业,-21.2537,141.14700000000002,12.037,9.2672,100.0,11.138
84,600272,开开实业,-5.7665,138.1363,-4.1074,-1.2083,150.0,-7.207999999999999
85,600820,隧道股份,42.3226,135.8298,132.3576,118.5592,25.8065,131.2957
86,600086,东方金钰,24.7456,135.3848,25.3179,-5.9621,142.605,31.1365
87,600748,上实发展,7.657,132.2172,12.2219,-20.9446,128.5714,34.6915
88,002068,黑猫股份,21.9014,129.1253,14.9362,15.0663,40.3509,15.5065
89,002049,紫光国微,82.5782,127.4353,138.3793,180.8983,28.0025,142.41899999999998
90,002226,江南化工,167.7061,126.5539,1.5658,8.2815,-25.0,0.2291
91,000560,我爱我家,4.4005,126.1668,82.9827,39.287,87.794,64.3488
92,002382,蓝帆医疗,60.4661,125.8478,4.1236,27.5657,22.2222,4.1236
93,000531,穗恒运A,5.5314,125.6753,-4.1052,12.3858,235.2593,-2.6414
94,600491,龙元建设,7.0568,123.285,11.6668,3.2411,165.3846,14.9878
95,603000,人民网,38.1033,121.616,253.729,210.0561,75.0,264.1835
96,600649,城投控股,61.7315,121.4546,10.1517,9.5405,125.0,10.6498
97,300176,派生科技,39.6537,120.4438,5.229,15.8327,101.9794,5.229
98,300026,红日药业,106.3919,120.2628,1.7574,19.0092,65.5172,2.3302
99,002133,广宇集团,3.8609,116.6345,16.5862,0.9155,72.7273,21.3776
100,600858,银座股份,20.9044,114.434,6.8020000000000005,21.1227,21.0586,8.9556
101,600011,华能国际,4.8808,114.1929,0.7572,2.4419,100.0,0.2207
102,600979,广安爱众,10.8538,112.3243,5.2369,3.3261,103.4188,8.4676
103,300149,量子生物,93.4253,111.49600000000001,9.045,12.8501,28.5714,5.0433
104,600895,张江高科,18.8641,110.8699,-2.5711,1.3496,269.2308,-2.5481
105,000547,航天发展,-21.041999999999998,110.5138,-4.9122,-2.7079,40.0,-6.2395
106,600986,科达股份,-2.1006,107.5816,1.2409,25.5096,83.9404,6.5883
107,600578,京能电力,22.2103,106.7363,8.0198,-7.045,93.75,6.8205
108,002635,安洁科技,28.8136,106.3311,322.8769,173.2132,54.5455,322.8769
109,300058,蓝色光标,164.6489,105.1033,40.5756,89.2112,-35.5556,37.4707
110,600526,菲达环保,4.3926,104.98700000000001,3.6435,-0.1699,92.5926,3.7099
111,000982,*ST中绒,61.2108,104.9864,27.2065,53.5233,-7.6923,27.508000000000003
112,000616,海航投资,101.0297,104.8638,12.4627,5.382999999999999,100.0,13.1284
113,000544,中原环保,10.4866,104.7453,20.5945,34.1667,103.3898,19.6522
114,002521,齐峰新材,7.562,102.3459,2.3779,10.5252,100.0,2.3779
115,000006,深振业A,41.6392,102.2707,21.4432,6.0284,55.303000000000004,22.4435
116,002381,双箭股份,8.787,101.4782,4.0072,5.8862,106.6667,3.7675
117,300146,汤臣倍健,88.1025,100.9251,10.0885,13.9959,0.0,10.0885
118,000661,长春高新,42.961999999999996,99.7357,27.5859,14.7524,121.875,28.1728
119,600131,国网信通,14.9477,98.5484,19.1932,2.6075,100.9185,19.6694
120,000404,长虹华意,0.478,98.5306,12.2203,6.6843,195.1579,10.7695
121,601222,林洋能源,19.5798,95.35600000000001,225.3814,88.29299999999999,7.6923,227.9607
122,000927,*ST夏利,-25.8679,94.56,3.4119,3.0703,95.8478,3.3771
123,002567,唐人神,36.0049,94.2149,2.8837,13.15,4.5455,5.3509
124,600378,昊华科技,30.2113,91.9685,13.4816,19.3124,78.2609,13.8991
125,300259,新天科技,21.9855,91.4721,325.6509,232.4908,-27.2727,322.8921
126,002085,万丰奥威,97.4503,90.7641,68.3274,81.8212,33.3333,60.5647
127,600827,百联股份,53.5698,90.1085,162.1026,73.9158,-5.8116,296.67
128,000601,韶能股份,-3.3051,89.9041,3.5357,9.4989,120.915,4.4753
129,002568,百润股份,42.8309,88.6128,5.3125,5.9111,65.5172,5.3125
130,000876,新希望,667.5659,88.4137,138.3963,115.9706,-5.0,147.9164
131,600106,重庆路桥,4.8139,87.9908,22.8322,-2.5525,-5.9984,22.8322
132,600396,金山股份,79.4222,87.0448,29.8676,59.4907,81.2274,0.9933
133,300202,聚龙股份,32.6702,86.4377,10.3454,8.8898,52.381,10.3454
134,300275,梅安森,52.178000000000004,85.7682,325.1695,247.8104,0.0,325.1695
135,000590,启迪古汉,21.5744,84.1547,30.9976,15.4765,84.1673,30.9976
136,300057,万顺新材,141.9508,83.4321,19.6402,127.6505,9.8837,6.4152
137,002357,富临运业,56.5378,82.4269,17.0436,18.6097,88.2353,17.2612
138,600019,宝钢股份,-11.7916,81.8843,7.4602,0.6018,89.6552,7.603
139,000890,法尔胜,1.287,79.0278,-2.3799,-2.5821,-16.9118,1.2632
140,000802,北京文化,-8.1016,78.9189,1.6267,7.0475,24.25,0.9811
141,300017,网宿科技,51.7075,78.6996,7.015,8.3232,76.9231,7.015
142,600211,西藏药业,11.1033,77.9753,9.2523,13.6385,81.3953,7.8752
143,000722,湖南发展,33.9058,77.7327,6.2178,6.5314,78.0264,6.2178
144,600701,*ST工新,-0.1792,77.675,4.5534,5.7346,76.8116,4.5948
145,002531,天顺风能,65.1057,77.6536,5.0659,28.4408,80.0,6.2187
146,600238,ST椰岛,-67.1898,76.5872,-5.8949,20.4758,34.0,-5.1438
