,code,name,mbrg,nprg,nav,targ,epsg,seg
1517,000616,海航投资,-3.9135,-37.6569,17.202,26.8108,-41.1765,10.4602
1518,600746,江苏索普,7.5166,-37.8518,4.2306,-5.7313,-38.4615,4.2306
1519,000638,万方发展,0.5109,-38.4406,27.1738,32.3492,-46.4646,27.9531
1520,000819,岳阳兴长,48.4542,-38.5086,13.960999999999999,17.6676,-19.5238,13.6454
1521,600300,维维股份,64.7129,-38.5508,2.1888,28.3666,-61.9048,-2.3415
1522,600099,林海股份,18.5926,-39.2472,0.3514,-1.187,-39.0625,0.3514
1523,002350,北京科锐,-2.2181,-39.6367,222.1733,103.6871,-63.0682,236.2631
1524,600724,宁波富达,37.167,-39.766999999999996,6.0382,153.7809,-44.7514,6.4209
1525,600663,陆家嘴,-22.9509,-39.8559,7.422000000000001,20.8971,9.5843,9.5518
1526,002407,多氟多,-9.431000000000001,-40.188,,,-48.0519,
1527,000566,海南海药,1.5788,-40.4542,1.577,27.8178,-47.3667,4.5813
1528,600624,复旦复华,4.388,-40.783,0.6975,15.2885,-41.7077,1.0179
1529,002061,浙江交科,13.0301,-40.8207,7.5895,-5.5309,-36.8421,10.4264
1530,000565,渝三峡A,7.3997,-40.9853,48.3501,7.7516,-22.7528,53.7029
1531,002333,*ST罗普,-0.6037,-40.9899,268.3861,147.0643,-72.2222,268.3861
1532,000151,中成股份,-1.8024,-41.0124,-0.5502,-3.2169,-39.6226,-0.5477
1533,600530,交大昂立,13.6629,-41.3647,-2.7447,-7.6775,37.5,2.0348
1534,600452,涪陵电力,31.1648,-41.9619,0.8202,8.5578,-50.0,0.7562
1535,300081,恒信东方,13.5731,-42.5624,,,-51.1628,
1536,600306,商业城,-8.3941,-42.8257,14.1309,7.4984,-16.6667,0.4349
1537,600568,中珠医疗,-80.0787,-43.0275,17.4191,28.6679,-34.7826,17.3089
1538,000885,城发环境,-1.8374,-43.2862,13.1237,8.3825,-52.3282,6.8218
1539,000554,泰山石油,12.0365,-43.5474,0.6314,2.9077,-34.0,0.6314
1540,600797,浙大网新,14.7859,-43.6591,3.1403,9.6074,-40.0,2.3716
