,code,name,mbrg,nprg,nav,targ,epsg,seg
0,000409,ST地矿,159.6553,52534.3688,2269.8754,2602.0454,18233.3333,2269.8754
1,000809,铁岭新城,249.9737,29810.9701,34.7628,26.1078,19900.0,34.7628
2,000008,神州高铁,3828.1998,19777.2009,645.9639,689.8121,4900.0,645.9639
3,600687,*ST刚泰,6.8883,6955.1273,20.9178,7.9911,2287.0968,33.0128
4,600988,赤峰黄金,426.733,6890.9494,,652.5134,5614.2857,-1178.6974
5,600287,江苏舜天,4.6866,6783.076,32.6738,1.5269,8258.6957,38.1244
6,600532,宏达矿业,-6.3503,4358.6074,433.6625,129.4875,850.0,394.2395
7,600280,中央商场,38.0457,3016.8341,57.0612,31.8933,1547.4576,57.4257
8,300118,东方日升,18.5409,2449.1837,-18.7987,-6.8164,1925.9259,-18.0922
9,000975,银泰黄金,-94.1941,2239.5756,354.9901,279.6828,1364.2336,271.2953
10,600303,曙光股份,-16.372,2155.327,3.8838,1.3317,300.0,5.9297
11,000055,方大集团,39.2108,1857.8213,1.6763,8.2989,150.0,2.6645
12,002016,世荣兆业,131.5214,1676.0678,44.6445,24.6753,1500.0,51.3916
13,600389,江山股份,17.9303,1588.3173,9.9991,-9.7185,2209.0592,13.8639
14,600886,国投电力,11.3677,1565.211,23.9542,16.7516,3562.9629999999997,35.535
15,000739,普洛药业,124.4941,1378.5498,111.9032,103.6527,244.6667,113.101
16,600238,ST椰岛,126.6994,1356.2456,29.5066,-2.92,1205.2239,27.8622
17,002239,奥特佳,25.0741,1266.5485,34.4563,38.6643,1271.9512,19.4118
18,000893,东凌国际,30.5257,1209.2203,187.4823,16.3822,1100.0,190.3119
19,600257,大湖股份,-3.1837,1153.4531,33.1486,33.7303,1372.4719,36.135999999999996
20,000488,晨鸣纸业,0.6368,1125.928,-2.6719,1.3977,220.0,2.7964
21,002244,滨江集团,673.1915,1121.9554,23.6903,9.5276,1050.0,38.2923
22,300056,中创环保,31.1718,1116.6419,0.7239,-1.2075,1023.5955,0.9468
23,600836,界龙实业,50.7593,1036.6746,3.4115,-3.5842,0.0,1.8901
24,300097,智云股份,36.2206,974.3878,4.0353,2.5438,857.4468,4.2409
25,600803,新奥股份,135.4133,973.405,256.39,379.6182,300.0,246.3908
26,000732,泰禾集团,380.8898,938.4173,75.5149,144.3267,878.2609,40.314
27,600868,梅雁吉祥,-33.243,930.1564,2.1452,-19.1013,350.0,2.2425
28,002305,南国置业,644.9976,926.8622,30.4071,16.3144,928.8136,29.5426
29,600379,宝光股份,-9.6962,896.1494,5.6692,4.2561,833.3333,5.7083
30,600316,洪都航空,53.9812,876.7698,2.1288,14.6002,715.0,2.1471
31,002013,中航机电,914.3765,874.5788,759.2142,1498.2693,283.5616,683.8951
32,000545,金浦钛业,962.5157,841.7968,,460.2204,566.6667,-1849.1901
33,600641,万业企业,294.678,775.0199,2.3916,6.7107,669.7674,2.8765
34,000935,四川双马,9.1354,774.9915,1.9024,-2.935,-150.0,1.2899
35,600416,*ST湘电,-1.5707,755.7064,-7.8436,3.978,100.0,-8.7174
36,600512,腾达建设,33.7476,730.7729,12.5088,12.9329,850.0,12.9349
37,600778,友好集团,124.6218,671.8124,48.1566,0.7759,316.8317,35.4257
38,000637,茂化实华,8.3804,658.0519,7.2516,20.3968,585.7143,4.8457
39,300205,天喻信息,90.3053,646.5684,6.1856,17.2657,316.6667,4.7943
40,000046,泛海控股,143.6802,617.1155,5.3931,44.0839,532.8571,6.4026
41,600674,川投能源,7.4094,602.2208,10.2109,4.3799,707.1429,10.0485
42,600720,祁连山,24.5742,584.89,36.9931,14.0594,229.5699,35.8651
43,600578,京能电力,177.7681,566.0947,319.5557,232.0298,77.4194,295.8503
44,600696,ST岩石,2905.315,540.8155,12.591,-0.1492,325.0,8.4615
45,000791,甘肃电投,320.3873,528.3583,875.8219,1644.0516,64.5503,902.3966
46,002296,辉煌科技,33.7986,520.5972,5.9284,11.2695,-317.0455,5.0472
47,000543,皖能电力,65.5256,515.1555,54.7034,17.9174,246.1538,52.1407
48,002614,奥佳华,16.6788,511.9574,1.6677,14.9466,500.0,1.3775
49,600027,华电国际,6.9077,497.4098,15.297,4.9374,475.0,12.595
50,000681,视觉中国,473.6401,495.3303,22.7054,51.0752,300.0,8.0173
51,600851,海欣股份,0.0774,490.3204,-2.1823,-5.8420000000000005,327.551,-2.4356
52,600536,中国软件,35.1489,474.6442,1.5356,2.6968,50.0,-0.8738
53,002057,中钢天源,-26.761,471.2226,-6.0563,-10.3509,486.0,-6.0293
54,000539,粤电力A,85.8694,470.3781,73.3995,67.6089,210.0,67.1724
55,002149,西部材料,-19.7582,464.0319,2.1111,3.3146,-73.7778,3.8984
56,600121,郑州煤电,1.3502,459.4757,110.5363,29.2796,-48.8608,69.4012
57,600025,华能水电,69.4303,449.1268,18.576,15.2654,,18.4216
58,000752,*ST西发,-5.7481,424.7877,20.0576,15.5607,1358.0556,23.2377
59,000553,安道麦A,36.0807,417.7702,13.5281,9.0091,431.1881,14.0375
60,002594,比亚迪,15.3172,414.8703,2.6234,7.6137,1700.0,2.2866
61,600409,三友化工,12.280999999999999,407.13699999999994,3.2355,14.5809,224.5161,3.6347
62,000552,靖远煤电,300.7969,401.93199999999996,329.4607,440.3147,24.2041,322.052
63,600965,福成股份,12.287,394.7894,5.5872,2.6198,394.7794,5.5872
64,000700,模塑科技,42.5822,388.42800000000005,18.3855,2.2958,448.7593,21.5391
65,300061,旗天科技,22.4331,386.8306,0.7532,2.1562,800.0,0.8665
66,600053,九鼎投资,325.9902,381.8471,1.0993,10.6996,378.5714,1.0993
67,000151,中成股份,-1.2822,378.4632,6.0926,12.919,383.1418,6.1656
68,600989,宝丰能源,34.8955,372.8358,28.479,21.3389,,31.2588
69,002302,西部建设,359.0345,343.0712,125.3,190.0662,155.5556,127.0376
70,000670,*ST盈方,139.8221,330.8927,26.2179,36.7219,329.1667,3.2317
71,600285,羚锐制药,18.8109,329.3418,28.1403,17.3606,146.3158,28.8791
72,000600,建投能源,18.5691,327.6351,11.8508,9.953,330.1587,8.3787
73,000156,华数传媒,66.601,317.8741,,1133.1786,-54.8995,-785.8324
74,600648,外高桥,37.1771,308.7649,9.6436,10.1734,400.0,12.9447
75,600818,中路股份,-1.7287,300.7757,5.1553,-1.6869999999999998,5.0,2.8483
76,300027,华谊兄弟,66.6238,292.9082,79.622,73.4371,294.1176,81.2283
77,300086,康芝药业,-21.2752,290.5333,-0.2453,-1.421,190.9091,-0.3134
78,000895,双汇发展,2.8165,287.6084,196.0105,159.016,14.9529,221.3828
79,000150,宜华健康,-49.6998,282.3347,1.4621,52.6152,282.7586,1.4621
80,000951,中国重汽,-3.0241,268.5105,4.2804,-1.5018,388.8889,4.8357
81,000506,中润资源,13.3127,267.4408,31.6186,-41.8691,198.8708,34.3537
82,600460,士兰微,20.0481,266.394,4.5622,5.8283,300.0,4.5035
83,600583,海油工程,75.8243,262.9705,14.8713,19.2489,250.0,15.0959
84,000011,深物业A,116.4303,259.6346,51.3423,3.5635,259.5758,51.3784
85,600506,香梨股份,42.7218,243.8508,-1.3575,-1.9847,150.0,-1.6076
86,002059,云南旅游,114.8534,243.5348,4.2165,6.4143,153.9877,3.588
87,000690,宝新能源,43.0974,242.1293,17.4722,6.1447,244.4444,17.4722
88,002141,贤丰控股,11.8745,240.113,1.8675,-0.4162,-253.6145,2.0938
89,600658,电子城,255.0025,238.3725,28.3437,15.1242,238.8889,27.342
90,300317,珈伟新能,52.7919,230.2341,0.4356,13.2997,300.0,0.4356
91,000016,深康佳A,33.8472,219.3262,1.0506,2.0007,254.7368,1.7985
92,000620,新华联,111.3177,218.857,20.4907,53.472,216.6667,16.9655
93,002129,中环股份,39.2487,217.4549,87.8641,36.9225,127.8571,102.6345
94,300035,中科电气,10.458,214.8213,9.5251,15.3087,114.2857,9.6687
95,600311,荣华实业,-34.8441,213.2383,1.4646,-3.267,217.6471,1.4646
96,600801,华新水泥,20.7571,208.0755,11.5739,11.6479,280.0,8.0175
97,600615,丰华股份,-98.8197,204.2312,1.4782,-1.7153,212.5,1.4782
98,300140,中环装备,12.2125,203.4974,4.9446,5.2838,200.0,2.3609
99,600391,航发科技,9.9252,202.9583,2.7523,11.8093,100.0,2.5037
100,002219,恒康医疗,88.7079,202.8377,40.3675,60.0701,197.0075,41.5111
101,000004,国农科技,21.831999999999997,200.7051,8.2132,-1.6422,-106.383,3.9782
102,600305,恒顺醋业,7.2175,200.6928,23.2671,-23.7453,210.0,23.2141
103,600864,哈投股份,17.6813,199.7955,11.0954,20.6518,245.4545,12.1241
104,600094,大名城,212.8778,198.606,30.8665,49.0263,206.2222,14.6293
105,600370,三房巷,-6.0875,197.2955,3.1406,-2.1017,178.5992,2.4137
106,600613,神奇制药,268.2945,193.493,671.1514,759.1778,150.0,740.3558
107,000573,粤宏远A,87.4154,190.8626,8.0651,15.0112,208.6207,8.701
108,600765,中航重机,25.6847,190.2605,7.4078,13.4123,140.0,8.4421
109,000851,高鸿股份,3.3223,186.5463,92.8111,51.3956,125.2174,105.7109
110,600336,澳柯玛,5.3604,185.5507,39.3476,23.5744,43.5223,39.6354
111,000612,焦作万方,-9.347000000000001,185.0836,73.1159,34.2244,154.9451,73.1159
112,002285,世联行,55.7091,183.12099999999998,14.7449,20.4221,92.3077,13.290999999999999
113,600714,金瑞矿业,51.9391,182.2929,11.1634,18.4423,181.7143,11.1634
114,600396,金山股份,25.4135,181.1082,16.0596,4.4349,118.5923,14.8333
115,600101,明星电力,13.2909,177.7812,12.5523,7.3407,158.6957,13.5251
116,000789,万年青,26.1307,176.8019,21.0911,9.2456,121.6142,21.1246
117,600011,华能国际,-4.6414,174.6951,13.7193,0.7034,162.5,11.544
118,600293,三峡新材,2.2147,170.9835,2.3515,16.0021,173.5294,2.4139
119,600332,白云山,159.3583,167.9497,66.2065,106.8979,73.8806,66.2603
120,002471,中超控股,117.9214,167.2418,118.964,75.7388,-6.25,70.2538
121,600067,冠城大通,27.23,165.2586,64.7949,56.3973,169.4444,37.0471
122,600481,双良节能,18.5842,162.9455,3.202,15.0094,169.3374,4.8778
123,300083,劲胜智能,80.7258,157.5109,9.4989,47.7153,154.5455,9.4989
124,002456,欧菲光,156.7361,156.9443,175.5578,140.7856,8.8889,175.5578
125,000611,*ST天首,665.0125,153.4178,-7.1743,-15.4184,100.0,-7.1743
126,002041,登海种业,90.4534,152.3459,30.6202,26.0992,121.9052,26.3505
127,300084,海默科技,41.6425,152.3067,0.3839,14.849,67.3203,-0.3447
128,000899,赣能股份,-7.5996,151.813,21.4146,-9.1849,151.778,21.5708
129,600629,华建集团,63.2935,150.545,32.9041,35.9366,36.0,-2.0946
130,000686,东北证券,,150.08100000000002,128.0148,46.6066,63.1579,125.64299999999999
131,600201,生物股份,17.859,145.5998,20.6643,8.0122,143.4783,20.8833
132,000977,浪潮信息,120.6549,144.9833,-12.2086,56.4796,134.1176,-12.2086
133,600246,万通地产,11.8163,144.8702,7.9778,0.7341,485.7988,9.7213
134,002096,南岭民爆,207.7511,143.4444,215.3479,163.2336,62.5,212.1445
135,600438,通威股份,6.2922,141.8113,2.2911,1.4802,97.1787,3.0315
136,000903,云内动力,12.8382,140.4579,3.8918,34.0811,90.3226,2.7665
137,603786,科博达,157.0903,140.0053,72.4192,79.0916,,65.0139
138,600795,国电电力,6.391,139.8132,35.4777,10.6316,120.5128,33.398
139,000625,长安汽车,40.6339,139.2988,11.4977,27.0093,141.6667,11.5817
140,600297,广汇汽车,-54.4181,139.2397,4.6828,-6.7875,164.8286,5.6598
141,600562,国睿科技,146.5091,138.8078,104.8534,67.1294,85.7143,115.4179
142,000517,荣安地产,393.0951,137.0197,25.8607,-18.0441,137.6455,25.2499
143,600100,同方股份,-3.3489999999999998,134.4401,15.1221,10.7241,175.7692,9.2611
144,300074,华平股份,84.285,133.4912,11.2685,18.3398,6.1798,11.2685
145,600390,五矿资本,-3.6857,132.2565,72.3591,11.7,14.7287,71.8679
146,002571,德力股份,33.8453,132.2164,11.9531,23.8819,15.4118,11.9371
147,002469,三维工程,79.6026,131.7117,19.7782,26.8763,42.1053,15.7442
148,600599,熊猫金控,-4.4585,130.9944,10.4258,-4.6262,133.3333,10.7563
149,600580,卧龙电驱,11.4079,129.9514,4.6055,7.5224,143.609,5.3123
150,600497,驰宏锌锗,38.9973,129.3876,87.1041,33.7132,97.3662,96.0543
151,000665,湖北广电,-2.1768,128.0837,561.2596,193.7635,152.6316,1095.9839
152,002049,紫光国微,41.3163,126.6516,102.4041,98.2438,81.5309,105.2025
153,002052,同洲电子,26.1383,126.1625,16.2285,10.885,0.0,16.2296
154,000403,双林生物,1.6537,125.0581,10.8328,21.2297,23.25,22.1703
155,600887,伊利股份,13.4094,125.0577,121.8021,47.1637,97.9167,127.7422
156,000757,浩物股份,-14.9928,124.4259,296.8643,4.1927,120.0,296.8643
157,601058,赛轮轮胎,18.221,124.3933,9.113999999999999,37.6689,126.6667,9.2462
158,600699,均胜电子,312.7717,124.3424,193.2233,291.407,63.3333,241.5473
159,000062,深圳华强,23.5524,123.2605,-13.7559,-15.7118,148.8889,-13.2218
160,000100,TCL科技,31.4661,122.2003,12.222999999999999,17.5483,121.5569,11.804
161,600352,浙江龙盛,73.3676,121.2242,17.0806,17.5702,102.1727,13.6037
162,300233,金城医药,18.9405,121.0447,4.0947,7.6099,118.1818,4.0947
163,600400,红豆股份,10.3526,120.2745,2.0209,6.2464,33.3333,1.8343
164,600985,淮北矿业,32.897,115.895,92.5625,84.9244,85.7143,110.6319
165,600088,中视传媒,2.519,114.1438,6.7592,0.6418,96.875,6.4099
166,300251,光线传媒,68.1518,112.1944,17.3049,34.7015,0.0,17.3049
167,600223,鲁商发展,120.6638,110.4219,24.5752,32.2579,50.8333,19.2836
168,000532,华金资本,-8.1885,109.0498,4.5467,2.8087,111.7647,4.8395
169,600148,长春一东,2.7527,109.0201,5.6281,-5.1691,393.3333,4.0179
170,000589,贵州轮胎,-5.8963,108.8801,5.3107,-0.2221,111.1111,5.4256
171,600335,国机汽车,13.2309,108.3112,24.0747,16.2186,101.024,24.9831
172,601601,中国太保,,107.8711,17.6156,12.5976,93.5484,17.8084
173,000718,苏宁环球,72.4076,107.1712,23.2268,8.8544,65.8416,20.445
174,002628,成都路桥,98.5463,105.5073,21.1492,63.2762,108.0,21.1492
175,000810,创维数字,-3.278,104.7725,3.3551,-10.6195,-364.8649,2.0769
176,600526,菲达环保,28.6541,104.5451,137.1065,15.5039,73.0769,138.2198
177,600783,鲁信创投,-27.1164,104.2583,4.7127,-1.4726,100.0,4.7527
178,000716,黑芝麻,79.9266,103.1096,177.2294,26.0955,80.8824,159.9721
179,601933,永辉超市,23.0614,102.2659,11.4221,8.3714,1.2,11.408
180,000682,东方电子,29.0762,101.92299999999999,4.828,22.9022,46.5116,1.9867
181,002547,春兴精工,33.6035,101.1154,-12.4496,8.7029,100.0,-12.3903
182,600856,ST中天,7.0575,100.7317,11.3947,-3.5410000000000004,200.0,11.4498
183,600790,轻纺城,88.2399,98.4053,110.1384,82.0002,50.0,110.1728
184,000404,长虹华意,37.2363,98.1085,138.2195,41.0462,38.1598,197.3033
185,002483,润邦股份,31.8179,98.0684,8.5651,14.4675,130.0,4.5961
186,600021,上海电力,2.9606,98.0327,10.5896,2.9560000000000004,53.3613,11.0975
187,300071,华谊嘉信,45.0842,97.816,14.5481,59.8229,,11.4941
188,000514,渝开发,57.1186,97.4173,1.4087,18.9727,18.1818,2.2337
189,600839,四川长虹,20.7263,97.0677,6.6939,9.0265,54.232,4.8661
190,002020,京新药业,8.7748,97.0422,0.5355,15.0112,-1.4652,0.5355
191,300228,富瑞特装,76.1803,96.0155,26.5705,62.3963,102.7027,26.6166
192,002344,海宁皮城,72.4889,94.9353,33.4651,25.7835,-1.3208,34.0628
193,002608,江苏国信,16.4792,94.2918,3.6702,46.5506,32.0,3.6262
194,002570,贝因美,25.0161,94.2002,5.7452,8.8415,27.6596,5.7452
195,002228,合兴包装,21.5288,92.669,7.2254,12.412,100.0,5.6001
196,600708,光明地产,11.2278,91.6057,11.1309,-1.962,92.9432,10.5797
197,002400,省广集团,20.9102,91.3885,22.4284,31.9987,-6.4516,16.9033
198,002410,广联达,65.7784,91.1527,14.8859,14.8025,45.8333,14.8143
199,600317,营口港,21.7038,91.1028,94.6041,40.6655,7.9231,110.6497
